BE- 10N,G    1.1000-01* ESTIMATE, BE9 REVISED                      410 3102
                                                                   410 3102
 4.01000+03 9.9275E+00          0         99          0          0 410 3102
 3.0000E+02 5.0402E+05          0          0          1        157 410 3102
        157          2                                             410 3102
 1.0000E-05 5.2558E-02 2.0000E-05 3.7158E-02 3.0000E-05 3.0349E-02 410 3102
 4.0000E-05 2.6279E-02 6.0000E-05 2.1461E-02 8.0000E-05 1.8579E-02 410 3102
 1.0000E-04 1.6621E-02 1.1422E-04 1.5552E-02 1.2974E-04 1.4593E-02 410 3102
 1.4736E-04 1.3692E-02 1.6738E-04 1.2847E-02 1.8908E-04 1.2088E-02 410 3102
 2.1240E-04 1.1405E-02 2.3860E-04 1.0760E-02 2.6803E-04 1.0152E-02 410 3102
 2.9943E-04 9.6054E-03 3.3451E-04 9.0878E-03 3.7369E-04 8.5981E-03 410 3102
 4.1516E-04 8.1574E-03 4.6124E-04 7.7393E-03 5.1242E-04 7.3426E-03 410 3102
 5.6615E-04 6.9856E-03 6.2550E-04 6.6459E-03 6.9108E-04 6.3227E-03 410 3102
 7.6353E-04 6.0152E-03 8.4358E-04 5.7227E-03 9.2688E-04 5.4595E-03 410 3102
 1.0184E-03 5.2084E-03 1.1189E-03 4.9689E-03 1.2226E-03 4.7535E-03 410 3102
 1.3359E-03 4.5475E-03 1.4597E-03 4.3504E-03 1.5950E-03 4.1618E-03 410 3102
 1.7428E-03 3.9814E-03 1.8938E-03 3.8194E-03 2.0579E-03 3.6640E-03 410 3102
 2.2361E-03 3.5149E-03 2.4299E-03 3.3719E-03 2.6258E-03 3.2437E-03 410 3102
 2.8533E-03 3.1117E-03 3.1005E-03 2.9851E-03 3.3691E-03 2.8636E-03 410 3102
 3.6609E-03 2.7471E-03 3.9781E-03 2.6353E-03 4.2988E-03 2.5351E-03 410 3102
 4.6455E-03 2.4387E-03 5.0200E-03 2.3460E-03 5.4248E-03 2.2568E-03 410 3102
 5.8298E-03 2.1769E-03 6.2999E-03 2.0942E-03 6.7703E-03 2.0200E-03 410 3102
 7.8190E-03 1.8798E-03 9.0301E-03 1.7491E-03 1.0371E-02 1.6322E-03 410 3102
