K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
                                                                  1939 3102
 1.90390+04 3.8629E+01          0         99          0          01939 3102
 3.0000E+02 7.8018E+06          0          0          1       27251939 3102
       2725          2                                            1939 3102
 1.0000E-05 1.0570E+02 1.1544E-05 9.8381E+01 1.3087E-05 9.2397E+011939 3102
 1.6174E-05 8.3113E+01 1.9261E-05 7.6161E+01 2.2349E-05 7.0706E+011939 3102
 2.5436E-05 6.6276E+01 2.8523E-05 6.2587E+01 3.4697E-05 5.6746E+011939 3102
 4.0872E-05 5.2284E+01 4.7046E-05 4.8733E+01 5.3220E-05 4.5819E+011939 3102
 5.9394E-05 4.3372E+01 7.1743E-05 3.9463E+01 8.4092E-05 3.6451E+011939 3102
 9.6440E-05 3.4037E+01 1.0879E-04 3.2047E+01 1.3349E-04 2.8931E+011939 3102
 1.5818E-04 2.6576E+01 1.8288E-04 2.4717E+01 2.0758E-04 2.3201E+011939 3102
 2.5697E-04 2.0853E+01 3.0637E-04 1.9099E+01 3.5576E-04 1.7724E+011939 3102
 4.0516E-04 1.6609E+01 5.0395E-04 1.4893E+01 6.0273E-04 1.3618E+011939 3102
 7.0152E-04 1.2623E+01 8.0031E-04 1.1818E+01 9.9789E-04 1.0584E+011939 3102
 1.1955E-03 9.6698E+00 1.3930E-03 8.9580E+00 1.5906E-03 8.3834E+001939 3102
 1.9858E-03 7.5036E+00 2.3809E-03 6.8531E+00 2.7761E-03 6.3468E+001939 3102
 3.1713E-03 5.9382E+00 3.9616E-03 5.3127E+00 4.7519E-03 4.8507E+001939 3102
 5.5422E-03 4.4916E+00 6.3325E-03 4.2019E+00 7.9131E-03 3.7589E+001939 3102
 9.4938E-03 3.4318E+00 1.1074E-02 3.1776E+00 1.2655E-02 2.9725E+001939 3102
 1.5816E-02 2.6587E+00 1.8977E-02 2.4266E+00 2.2139E-02 2.2461E+001939 3102
 2.5300E-02 2.1007E+00 2.9523E-02 1.9444E+00 3.3745E-02 1.8186E+001939 3102
 4.2191E-02 1.6268E+00 5.0637E-02 1.4852E+00 5.9082E-02 1.3747E+001939 3102
 6.7528E-02 1.2858E+00 7.5973E-02 1.2127E+00 9.2864E-02 1.0972E+001939 3102
 1.0976E-01 1.0087E+00 1.2665E-01 9.3868E-01 1.4354E-01 8.8163E-011939 3102
 1.6043E-01 8.3435E-01 1.9421E-01 7.5857E-01 2.2799E-01 6.9975E-011939 3102
 2.6177E-01 6.5283E-01 2.9556E-01 6.1475E-01 3.6312E-01 5.5479E-011939 3102
 4.3068E-01 5.0912E-01 4.9825E-01 4.7316E-01 5.6581E-01 4.4419E-011939 3102
 7.0094E-01 3.9917E-01 8.3607E-01 3.6529E-01 9.7120E-01 3.3879E-011939 3102
 1.1063E+00 3.1750E-01 1.3766E+00 2.8464E-01 1.6468E+00 2.6011E-011939 3102
 1.9171E+00 2.4099E-01 2.1874E+00 2.2562E-01 2.7279E+00 2.0200E-011939 3102
 3.2684E+00 1.8444E-01 3.8089E+00 1.7078E-01 4.3494E+00 1.5979E-011939 3102
 5.4304E+00 1.4294E-01 6.5115E+00 1.3044E-01 7.5925E+00 1.2072E-011939 3102
 8.6735E+00 1.1289E-01 1.0836E+01 1.0091E-01 1.2998E+01 9.2020E-021939 3102
 1.5160E+01 8.5108E-02 1.7322E+01 7.9541E-02 2.1646E+01 7.1008E-021939 3102
 2.5970E+01 6.4685E-02 3.0294E+01 5.9762E-02 3.4618E+01 5.5791E-021939 3102
 4.3266E+01 4.9699E-02 5.1915E+01 4.5180E-02 6.0563E+01 4.1655E-021939 3102
 6.9211E+01 3.8807E-02 8.6507E+01 3.4427E-02 1.0380E+02 3.1171E-021939 3102
 1.2110E+02 2.8624E-02 1.3840E+02 2.6560E-02 1.6867E+02 2.3721E-021939 3102
 2.4218E+02 1.9141E-02 2.7677E+02 1.7628E-02 3.4595E+02 1.5288E-021939 3102
 4.1514E+02 1.3543E-02 4.8432E+02 1.2174E-02 5.5351E+02 1.1065E-021939 3102
 6.5729E+02 9.7422E-03 7.9566E+02 8.4248E-03 8.9944E+02 7.7283E-031939 3102
 9.3403E+02 7.5793E-03 9.6862E+02 7.5195E-03 9.8592E+02 7.5524E-031939 3102
 1.0032E+03 7.6657E-03 1.0205E+03 7.9266E-03 1.0378E+03 8.4898E-031939 3102
 1.0465E+03 9.0023E-03 1.0551E+03 9.8223E-03 1.0638E+03 1.1190E-021939 3102
 1.0681E+03 1.2242E-02 1.0724E+03 1.3731E-02 1.0767E+03 1.5901E-021939 3102
 1.0811E+03 1.9167E-02 1.0832E+03 2.1472E-02 1.0854E+03 2.4528E-021939 3102
 1.0875E+03 2.8629E-02 1.0897E+03 3.4301E-02 1.0919E+03 4.2339E-021939 3102
 1.0929E+03 4.7728E-02 1.0940E+03 5.4503E-02 1.0951E+03 6.3139E-021939 3102
 1.0962E+03 7.4342E-02 1.0973E+03 8.9202E-02 1.0983E+03 1.0952E-011939 3102
 1.0989E+03 1.2265E-01 1.0994E+03 1.3857E-01 1.1000E+03 1.5806E-011939 3102
 1.1005E+03 1.8238E-01 1.1010E+03 2.1318E-01 1.1016E+03 2.5323E-011939 3102
 1.1021E+03 3.0659E-01 1.1024E+03 3.4033E-01 1.1027E+03 3.8054E-011939 3102
 1.1029E+03 4.2863E-01 1.1032E+03 4.8697E-01 1.1035E+03 5.5848E-011939 3102
 1.1038E+03 6.4732E-01 1.1040E+03 7.5765E-01 1.1043E+03 8.9558E-011939 3102
 1.1046E+03 1.0679E+00 1.1048E+03 1.2827E+00 1.1051E+03 1.5453E+001939 3102
 1.1054E+03 1.8620E+00 1.1055E+03 2.0415E+00 1.1058E+03 2.4418E+001939 3102
 1.1060E+03 2.8933E+00 1.1069E+03 4.3662E+00 1.1072E+03 4.9685E+001939 3102
 1.1074E+03 5.1950E+00 1.1076E+03 5.3646E+00 1.1077E+03 5.4424E+001939 3102
