K - 42N,G    1.0000+00* MASGAM                                    1942 3102
                                                                  1942 3102
 1.90420+04 4.1602E+01          0         99          0          01942 3102
 3.0000E+02 9.6424E+06          0          0          1         581942 3102
         58          5                                            1942 3102
 1.0000E-05 7.1700E+01 1.0000E-04 2.2674E+01 1.0000E-03 7.1700E+001942 3102
 1.0000E-02 2.2674E+00 2.5300E-02 1.4255E+00 1.0000E-01 7.1700E-011942 3102
 5.0000E-01 3.2065E-01 1.0000E+00 2.2674E-01 2.1500E+00 1.5463E-011942 3102
 4.6500E+00 1.0515E-01 1.0000E+01 7.1700E-02 1.5000E+01 5.8540E-021942 3102
 2.1500E+01 4.8900E-02 3.0000E+01 4.1400E-02 4.6500E+01 3.3250E-021942 3102
 7.0000E+01 2.7100E-02 1.0000E+02 2.2670E-02 1.5000E+02 1.8510E-021942 3102
 2.1500E+02 1.5460E-02 3.0000E+02 1.3090E-02 4.6500E+02 1.0510E-021942 3102
 7.0000E+02 8.5700E-03 1.0000E+03 7.1700E-03 1.5000E+03 5.8500E-031942 3102
 2.1500E+03 4.8900E-03 2.1500E+03 1.8363E-01 3.0000E+03 1.4395E-011942 3102
 4.6500E+03 1.0450E-01 7.0000E+03 7.6060E-02 1.0000E+04 5.6890E-021942 3102
 1.5000E+04 4.0490E-02 2.1500E+04 2.9890E-02 2.4500E+04 2.6810E-021942 3102
 3.0000E+04 2.2720E-02 4.6500E+04 1.6190E-02 7.0000E+04 1.2100E-021942 3102
 1.0000E+05 9.4800E-03 1.5000E+05 4.8600E-03 2.1500E+05 3.3400E-031942 3102
 3.0000E+05 2.4400E-03 4.6500E+05 1.7400E-03 7.0000E+05 1.2900E-031942 3102
 1.0000E+06 1.0500E-03 1.5000E+06 8.3000E-04 2.1500E+06 7.1000E-041942 3102
 3.0000E+06 6.5000E-04 4.6500E+06 4.6000E-04 7.0000E+06 3.3000E-041942 3102
 1.0000E+07 4.6000E-04 1.2000E+07 5.7000E-04 1.3000E+07 5.7000E-041942 3102
 1.4000E+07 5.6000E-04 1.5000E+07 5.1000E-04 1.6000E+07 4.8000E-041942 3102
 1.7000E+07 4.5000E-04 1.8000E+07 4.2000E-04 1.9000E+07 3.9000E-041942 3102
 2.0000E+07 3.6000E-04                                            1942 3102
                                                                  1942 3  0
