O - 18N,G    1.0000+00* ESTIMATE, O16                              818 3102
                                                                   818 3102
 8.01800+03 1.7845E+01          0         99          0          0 818 3102
 3.0000E+02 3.9588E+06          0          0          1       1647 818 3102
       1647          2                                             818 3102
 1.0000E-05 9.5595E-03 1.0749E-05 9.2206E-03 1.1544E-05 8.8974E-03 818 3102
 1.2295E-05 8.6212E-03 1.3087E-05 8.3563E-03 1.3809E-05 8.1350E-03 818 3102
 1.4563E-05 7.9216E-03 1.5351E-05 7.7155E-03 1.6174E-05 7.5166E-03 818 3102
 1.7662E-05 7.1931E-03 1.9261E-05 6.8880E-03 2.0757E-05 6.6352E-03 818 3102
 2.2349E-05 6.3946E-03 2.3851E-05 6.1900E-03 2.5436E-05 5.9940E-03 818 3102
 2.6943E-05 5.8240E-03 2.8523E-05 5.6604E-03 3.1484E-05 5.3877E-03 818 3102
 3.4697E-05 5.1322E-03 3.7679E-05 4.9250E-03 4.0872E-05 4.7288E-03 818 3102
 4.3868E-05 4.5644E-03 4.7046E-05 4.4076E-03 5.0054E-05 4.2731E-03 818 3102
 5.3220E-05 4.1441E-03 5.6237E-05 4.0314E-03 5.9395E-05 3.9228E-03 818 3102
 6.5326E-05 3.7405E-03 7.1743E-05 3.5693E-03 7.7713E-05 3.4294E-03 818 3102
 8.4092E-05 3.2968E-03 9.0090E-05 3.1852E-03 9.6440E-05 3.0785E-03 818 3102
 1.0246E-04 2.9867E-03 1.0879E-04 2.8985E-03 1.2061E-04 2.7528E-03 818 3102
 1.3349E-04 2.6166E-03 1.4540E-04 2.5071E-03 1.5818E-04 2.4036E-03 818 3102
 1.7016E-04 2.3175E-03 1.8288E-04 2.2354E-03 1.9490E-04 2.1653E-03 818 3102
 2.0758E-04 2.0981E-03 2.1911E-04 2.0421E-03 2.3118E-04 1.9881E-03 818 3102
 2.4379E-04 1.9360E-03 2.5697E-04 1.8856E-03 2.8077E-04 1.8039E-03 818 3102
 3.0637E-04 1.7269E-03 3.3030E-04 1.6631E-03 3.5576E-04 1.6025E-03 818 3102
 3.7979E-04 1.5510E-03 4.0516E-04 1.5016E-03 4.2819E-04 1.4607E-03 818 3102
 4.5231E-04 1.4212E-03 5.0395E-04 1.3465E-03 5.5150E-04 1.2871E-03 818 3102
