P - 32N,G    1.0000+00* MASGAM                                    1532 3102
                                                                  1532 3102
 1.50320+04 3.1699E+01          0         99          0          01532 3102
 3.0000E+02 1.0104E+07          0          0          1         581532 3102
         58          5                                            1532 3102
 1.0000E-05 1.4197E+01 1.0000E-04 4.4896E+00 1.0000E-03 1.4197E+001532 3102
 1.0000E-02 4.4896E-01 2.5300E-02 2.8226E-01 1.0000E-01 1.4197E-011532 3102
 5.0000E-01 6.3490E-02 1.0000E+00 4.4900E-02 2.1500E+00 3.0620E-021532 3102
 4.6500E+00 2.0820E-02 1.0000E+01 1.4200E-02 1.5000E+01 1.1590E-021532 3102
 2.1500E+01 9.6800E-03 3.0000E+01 8.2000E-03 4.6500E+01 6.5800E-031532 3102
 7.0000E+01 5.3700E-03 1.0000E+02 4.4900E-03 1.5000E+02 3.6700E-031532 3102
 2.1500E+02 3.0600E-03 3.0000E+02 2.5900E-03 4.6500E+02 2.0800E-031532 3102
 7.0000E+02 1.7000E-03 1.0000E+03 1.4200E-03 1.5000E+03 1.1600E-031532 3102
 2.1500E+03 9.7000E-04 3.0000E+03 8.2000E-04 4.6500E+03 6.6000E-041532 3102
 7.0000E+03 5.4000E-04 1.0000E+04 4.5000E-04 1.5000E+04 3.7000E-041532 3102
 2.1500E+04 3.1000E-04 2.4500E+04 2.9000E-04 3.0000E+04 2.6000E-041532 3102
 3.0000E+04 7.7094E-04 4.6500E+04 5.7000E-04 7.0000E+04 4.3000E-041532 3102
 1.0000E+05 2.2000E-04 1.5000E+05 1.3000E-04 2.1500E+05 9.0000E-051532 3102
 3.0000E+05 6.0000E-05 4.6500E+05 5.0000E-05 7.0000E+05 4.0000E-051532 3102
 1.0000E+06 3.0000E-05 1.5000E+06 3.0000E-05 2.1500E+06 2.0000E-051532 3102
 3.0000E+06 5.0000E-05 4.6500E+06 7.0000E-05 7.0000E+06 1.1000E-041532 3102
 1.0000E+07 2.6000E-04 1.2000E+07 3.9000E-04 1.3000E+07 4.3000E-041532 3102
 1.4000E+07 4.4000E-04 1.5000E+07 4.3000E-04 1.6000E+07 4.1000E-041532 3102
 1.7000E+07 3.9000E-04 1.8000E+07 3.7000E-04 1.9000E+07 3.4000E-041532 3102
 2.0000E+07 3.2000E-04                                            1532 3102
                                                                  1532 3  0
