S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
                                                                  1633 3102
 1.60330+04 3.2688E+01          0         99          0          01633 3102
 3.0000E+02 1.1419E+07          0          0          1       17391633 3102
       1739          2                                            1633 3102
 1.0000E-05 1.7611E+01 1.0772E-05 1.6969E+01 1.1544E-05 1.6392E+011633 3102
 1.2701E-05 1.5627E+01 1.4245E-05 1.4756E+01 1.5403E-05 1.4190E+011633 3102
 1.6174E-05 1.3848E+01 1.7718E-05 1.3231E+01 1.9261E-05 1.2690E+011633 3102
 2.0805E-05 1.2210E+01 2.2349E-05 1.1780E+01 2.4664E-05 1.1214E+011633 3102
 2.5436E-05 1.1042E+01 2.8523E-05 1.0428E+01 3.1610E-05 9.9055E+001633 3102
 3.4697E-05 9.4546E+00 3.7784E-05 9.0601E+00 4.0872E-05 8.7112E+001633 3102
 4.3187E-05 8.4745E+00 4.5502E-05 8.2560E+00 4.7046E-05 8.1195E+001633 3102
 5.1677E-05 7.7471E+00 5.3220E-05 7.6339E+00 5.9395E-05 7.2263E+001633 3102
 6.5569E-05 6.8776E+00 7.1743E-05 6.5750E+00 7.7918E-05 6.3091E+001633 3102
 8.4092E-05 6.0731E+00 8.8723E-05 5.9124E+00 9.3353E-05 5.7639E+001633 3102
 9.6440E-05 5.6709E+00 1.0570E-04 5.4167E+00 1.0879E-04 5.3393E+001633 3102
 1.1805E-04 5.1256E+00 1.2731E-04 4.9356E+00 1.3349E-04 4.8201E+001633 3102
 1.4584E-04 4.6114E+00 1.5818E-04 4.4278E+00 1.7053E-04 4.2644E+001633 3102
 1.8288E-04 4.1180E+00 2.0140E-04 3.9240E+00 2.2610E-04 3.7035E+001633 3102
 2.4462E-04 3.5606E+00 2.5697E-04 3.4740E+00 2.8167E-04 3.3183E+001633 3102
 3.0637E-04 3.1818E+00 3.3106E-04 3.0608E+00 3.5576E-04 2.9527E+001633 3102
 3.9281E-04 2.8101E+00 4.0516E-04 2.7670E+00 4.4220E-04 2.6486E+001633 3102
 4.7925E-04 2.5442E+00 5.0395E-04 2.4811E+00 5.5334E-04 2.3678E+001633 3102
 6.0273E-04 2.2688E+00 6.5213E-04 2.1812E+00 7.0152E-04 2.1030E+001633 3102
 7.7562E-04 2.0000E+00 8.0031E-04 1.9689E+00 8.7440E-04 1.8837E+001633 3102
 9.4850E-04 1.8086E+00 9.9789E-04 1.7632E+00 1.0967E-03 1.6819E+001633 3102
 1.1955E-03 1.6109E+00 1.2943E-03 1.5482E+00 1.3930E-03 1.4923E+001633 3102
 1.5412E-03 1.4187E+00 1.5906E-03 1.3965E+00 1.7388E-03 1.3357E+001633 3102
 1.8870E-03 1.2822E+00 1.9858E-03 1.2499E+00 2.1834E-03 1.1921E+001633 3102
 2.3809E-03 1.1416E+00 2.5785E-03 1.0970E+00 2.7761E-03 1.0573E+001633 3102
 3.0725E-03 1.0050E+00 3.1713E-03 9.8923E-01 3.4676E-03 9.4602E-011633 3102
 3.7640E-03 9.0800E-01 3.9616E-03 8.8506E-01 4.3567E-03 8.4395E-011633 3102
 4.7519E-03 8.0809E-01 5.1470E-03 7.7643E-01 5.5422E-03 7.4823E-011633 3102
 6.1349E-03 7.1116E-01 6.3325E-03 6.9998E-01 6.9252E-03 6.6935E-011633 3102
 7.5180E-03 6.4243E-01 7.9131E-03 6.2618E-01 8.7034E-03 5.9708E-011633 3102
 9.4938E-03 5.7169E-01 1.0284E-02 5.4929E-01 1.1074E-02 5.2932E-011633 3102
 1.2260E-02 5.0308E-01 1.2655E-02 4.9517E-01 1.3840E-02 4.7349E-011633 3102
 1.5026E-02 4.5442E-01 1.5816E-02 4.4293E-01 1.7397E-02 4.2232E-011633 3102
 1.8978E-02 4.0435E-01 2.0558E-02 3.8850E-01 2.2139E-02 3.7437E-011633 3102
 2.4510E-02 3.5580E-01 2.5300E-02 3.5020E-01 2.7704E-02 3.3466E-011633 3102
 3.0908E-02 3.1684E-01 3.1709E-02 3.1281E-01 3.4914E-02 2.9811E-011633 3102
 3.8119E-02 2.8531E-01 4.1324E-02 2.7402E-01 4.4528E-02 2.6397E-011633 3102
 4.9336E-02 2.5078E-01 5.0938E-02 2.4680E-01 5.5745E-02 2.3592E-011633 3102
 6.2154E-02 2.2342E-01 6.3757E-02 2.2060E-01 7.0166E-02 2.1028E-011633 3102
 7.6576E-02 2.0129E-01 8.2985E-02 1.9336E-01 8.9395E-02 1.8630E-011633 3102
 9.9009E-02 1.7702E-01 1.0221E-01 1.7422E-01 1.1183E-01 1.6656E-011633 3102
 1.2465E-01 1.5776E-01 1.2785E-01 1.5578E-01 1.4067E-01 1.4851E-011633 3102
 1.5349E-01 1.4217E-01 1.6631E-01 1.3658E-01 1.7913E-01 1.3161E-011633 3102
 1.9836E-01 1.2506E-01 2.0477E-01 1.2309E-01 2.2399E-01 1.1768E-011633 3102
 2.4963E-01 1.1147E-01 2.6886E-01 1.0741E-01 2.8168E-01 1.0493E-011633 3102
 3.0732E-01 1.0047E-01 3.3295E-01 9.6517E-02 3.5859E-01 9.3001E-021633 3102
 3.8423E-01 8.9848E-02 4.2269E-01 8.5662E-02 4.3551E-01 8.4390E-021633 3102
 4.7396E-01 8.0891E-02 5.1242E-01 7.7791E-02 5.3806E-01 7.5918E-021633 3102
 5.8933E-01 7.2545E-02 6.4061E-01 6.9575E-02 6.9189E-01 6.6943E-021633 3102
 7.4316E-01 6.4598E-02 8.2007E-01 6.1489E-02 8.4571E-01 6.0547E-021633 3102
 9.2263E-01 5.7970E-02 9.9954E-01 5.5686E-02 1.0508E+00 5.4312E-021633 3102
 1.1534E+00 5.1846E-02 1.2559E+00 4.9678E-02 1.3585E+00 4.7762E-021633 3102
 1.4610E+00 4.6057E-02 1.6148E+00 4.3802E-02 1.6661E+00 4.3120E-021633 3102
 1.8200E+00 4.1259E-02 1.9738E+00 3.9611E-02 2.0763E+00 3.8620E-021633 3102
 2.2814E+00 3.6845E-02 2.4865E+00 3.5287E-02 2.6916E+00 3.3912E-021633 3102
 2.8967E+00 3.2688E-02 3.2044E+00 3.1072E-02 3.3070E+00 3.0584E-021633 3102
 3.6146E+00 2.9253E-02 3.9223E+00 2.8076E-02 4.1274E+00 2.7368E-021633 3102
 4.5376E+00 2.6100E-02 4.9478E+00 2.4989E-02 5.3580E+00 2.4008E-021633 3102
 5.7682E+00 2.3136E-02 6.3835E+00 2.1985E-02 6.5886E+00 2.1637E-021633 3102
 7.2039E+00 2.0689E-02 7.8192E+00 1.9852E-02 8.2294E+00 1.9348E-021633 3102
 9.0498E+00 1.8445E-02 9.8703E+00 1.7655E-02 1.0691E+01 1.6958E-021633 3102
 1.1511E+01 1.6338E-02 1.2742E+01 1.5520E-02 1.3152E+01 1.5273E-021633 3102
 1.4383E+01 1.4598E-02 1.5613E+01 1.4003E-02 1.6434E+01 1.3645E-021633 3102
 1.8074E+01 1.3003E-02 1.9715E+01 1.2441E-02 2.1356E+01 1.1945E-021633 3102
 2.2997E+01 1.1504E-02 2.5458E+01 1.0922E-02 2.6279E+01 1.0746E-021633 3102
 2.8740E+01 1.0266E-02 3.1201E+01 9.8423E-03 3.2842E+01 9.5869E-031633 3102
 3.6123E+01 9.1291E-03 3.9405E+01 8.7289E-03 4.2687E+01 8.3753E-031633 3102
 4.5968E+01 8.0601E-03 5.0891E+01 7.6447E-03 5.2532E+01 7.5193E-031633 3102
 5.7454E+01 7.1758E-03 6.2377E+01 6.8729E-03 6.5658E+01 6.6901E-031633 3102
 7.2222E+01 6.3621E-03 7.8785E+01 6.0751E-03 8.5348E+01 5.8213E-031633 3102
 9.1912E+01 5.5949E-03 1.0176E+02 5.2962E-03 1.0504E+02 5.2059E-031633 3102
 1.1488E+02 4.9584E-03 1.2473E+02 4.7399E-03 1.3129E+02 4.6079E-031633 3102
 1.4442E+02 4.3707E-03 1.5754E+02 4.1629E-03 1.7067E+02 3.9789E-031633 3102
 1.8380E+02 3.8145E-03 2.0349E+02 3.5973E-03 2.1005E+02 3.5316E-031633 3102
 2.2974E+02 3.3511E-03 2.4943E+02 3.1917E-03 2.6256E+02 3.0952E-031633 3102
 2.8881E+02 2.9216E-03 3.1506E+02 2.7694E-03 3.4132E+02 2.6345E-031633 3102
 3.6757E+02 2.5137E-03 3.9382E+02 2.4048E-03 4.2008E+02 2.3059E-031633 3102
 4.5946E+02 2.1731E-03 4.9884E+02 2.0558E-03 5.2509E+02 1.9848E-031633 3102
 5.5134E+02 1.9188E-03 5.7760E+02 1.8572E-03 6.3010E+02 1.7454E-031633 3102
 6.8261E+02 1.6464E-03 7.3511E+02 1.5580E-03 7.8762E+02 1.4784E-031633 3102
 8.4013E+02 1.4064E-03 8.9263E+02 1.3407E-03 9.7139E+02 1.2523E-031633 3102
 1.0502E+03 1.1742E-03 1.1552E+03 1.0828E-03 1.2602E+03 1.0035E-031633 3102
 1.3127E+03 9.6754E-04 1.4177E+03 9.0205E-04 1.4702E+03 8.7213E-041633 3102
