V - 48N,G    1.0000+00* MASGAM                                    2348 3102
                                                                  2348 3102
 2.30480+04 4.7540E+01          0         99          0          02348 3102
 3.0000E+02 1.1554E+07          0          0          1         582348 3102
         58          5                                            2348 3102
 1.0000E-05 2.2403E+02 1.0000E-04 7.0845E+01 1.0000E-03 2.2403E+012348 3102
 1.0000E-02 7.0845E+00 2.5300E-02 4.4540E+00 1.0000E-01 2.2403E+002348 3102
 5.0000E-01 1.0019E+00 1.0000E+00 7.0845E-01 2.1500E+00 4.8316E-012348 3102
 4.6500E+00 3.2854E-01 1.0000E+01 2.2403E-01 1.5000E+01 1.8292E-012348 3102
 2.1500E+01 1.5279E-01 3.0000E+01 1.2935E-01 4.6500E+01 1.0389E-012348 3102
 7.0000E+01 8.4680E-02 1.0000E+02 7.0850E-02 1.5000E+02 5.7840E-022348 3102
 2.1500E+02 4.8320E-02 3.0000E+02 4.0900E-02 3.0000E+02 2.6016E+002348 3102
 4.6500E+02 1.7829E+00 7.0000E+02 1.2530E+00 1.0000E+03 9.3197E-012348 3102
 1.5000E+03 6.7801E-01 2.1500E+03 5.2099E-01 3.0000E+03 4.1438E-012348 3102
 4.6500E+03 3.1093E-01 7.0000E+03 2.3833E-01 1.0000E+04 1.8763E-012348 3102
 1.5000E+04 1.4094E-01 2.1500E+04 1.0787E-01 2.4500E+04 9.7640E-022348 3102
 3.0000E+04 8.3520E-02 4.6500E+04 5.9480E-02 7.0000E+04 4.3820E-022348 3102
 1.0000E+05 3.4150E-02 1.5000E+05 2.6390E-02 2.1500E+05 2.1330E-022348 3102
 3.0000E+05 1.7530E-02 4.6500E+05 1.0040E-02 7.0000E+05 6.7900E-032348 3102
 1.0000E+06 4.9500E-03 1.5000E+06 3.8700E-03 2.1500E+06 3.2900E-032348 3102
 3.0000E+06 2.8300E-03 4.6500E+06 1.6500E-03 7.0000E+06 9.5000E-042348 3102
 1.0000E+07 8.5000E-04 1.2000E+07 7.5000E-04 1.3000E+07 7.0000E-042348 3102
 1.4000E+07 6.4000E-04 1.5000E+07 5.4000E-04 1.6000E+07 5.0000E-042348 3102
 1.7000E+07 4.6000E-04 1.8000E+07 4.3000E-04 1.9000E+07 3.9000E-042348 3102
 2.0000E+07 3.6000E-04                                            2348 3102
                                                                  2348 3  0
