V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
                                                                  2350 3102
 2.30500+04 4.9518E+01          0         99          0          02350 3102
 3.0000E+02 1.1053E+07          0          0          1        9302350 3102
        930          5                                            2350 3102
 1.0000E-05 2.0172E+03 1.2489E-05 1.8051E+03 1.4977E-05 1.6483E+032350 3102
 1.7465E-05 1.5263E+03 1.9954E-05 1.4280E+03 2.4931E-05 1.2775E+032350 3102
 2.9908E-05 1.1664E+03 3.4885E-05 1.0800E+03 3.9862E-05 1.0104E+032350 3102
 4.4839E-05 9.5265E+02 4.9816E-05 9.0381E+02 5.9770E-05 8.2511E+022350 3102
 6.9724E-05 7.6391E+02 7.9678E-05 7.1460E+02 8.9632E-05 6.7378E+022350 3102
 1.0954E-04 6.0948E+02 1.2945E-04 5.6066E+02 1.4936E-04 5.2196E+022350 3102
 1.6926E-04 4.9030E+02 2.0908E-04 4.4115E+02 2.4890E-04 4.0433E+022350 3102
 2.8871E-04 3.7541E+02 3.2853E-04 3.5192E+02 4.0816E-04 3.1573E+022350 3102
 4.8779E-04 2.8881E+02 5.6742E-04 2.6778E+02 6.4705E-04 2.5076E+022350 3102
 8.0632E-04 2.2463E+02 9.6558E-04 2.0526E+02 1.1248E-03 1.9018E+022350 3102
 1.2841E-03 1.7799E+02 1.6026E-03 1.5932E+02 1.9212E-03 1.4551E+022350 3102
 2.2397E-03 1.3476E+02 2.5582E-03 1.2608E+02 3.1953E-03 1.1281E+022350 3102
 3.8323E-03 1.0300E+02 4.4694E-03 9.5372E+01 5.1064E-03 8.9218E+012350 3102
 6.3805E-03 7.9805E+01 7.6547E-03 7.2850E+01 8.9288E-03 6.7445E+012350 3102
 1.0203E-02 6.3086E+01 1.2751E-02 5.6417E+01 1.5299E-02 5.1491E+012350 3102
 1.7848E-02 4.7661E+01 2.0396E-02 4.4573E+01 2.5300E-02 4.0000E+012350 3102
 2.5492E-02 3.9848E+01 3.0589E-02 3.6359E+01 3.5685E-02 3.3645E+012350 3102
 4.0782E-02 3.1456E+01 5.0974E-02 2.8106E+01 6.1167E-02 2.5631E+012350 3102
 7.1360E-02 2.3706E+01 8.1553E-02 2.2152E+01 1.0194E-01 1.9772E+012350 3102
 1.2232E-01 1.8012E+01 1.4271E-01 1.6642E+01 1.6310E-01 1.5535E+012350 3102
 2.0387E-01 1.3838E+01 2.4464E-01 1.2580E+01 2.8541E-01 1.1600E+012350 3102
 3.2618E-01 1.0806E+01 4.0772E-01 9.5873E+00 4.8927E-01 8.6813E+002350 3102
 5.7081E-01 7.9738E+00 6.5235E-01 7.3992E+00 8.1544E-01 6.5151E+002350 3102
 9.7853E-01 5.8560E+00 1.1416E+00 5.3393E+00 1.3047E+00 4.9198E+002350 3102
 1.6309E+00 4.2724E+00 1.7940E+00 4.0151E+00 1.9570E+00 3.7897E+002350 3102
 2.2832E+00 3.4119E+00 2.6094E+00 3.1060E+00 2.9356E+00 2.8519E+002350 3102
 3.2617E+00 2.6368E+00 3.5879E+00 2.4519E+00 3.9141E+00 2.2909E+002350 3102
 4.5664E+00 2.0240E+00 5.2188E+00 1.8110E+00 5.8711E+00 1.6370E+002350 3102
 6.5234E+00 1.4922E+00 7.1758E+00 1.3699E+00 7.8281E+00 1.2654E+002350 3102
 9.1328E+00 1.6409E+00 1.0438E+01 1.4461E+00 1.1742E+01 1.2924E+002350 3102
 1.3047E+01 1.1686E+00 1.4352E+01 1.0674E+00 1.5656E+01 9.8347E-012350 3102
 1.8266E+01 8.5369E-01 1.9570E+01 8.0297E-01 2.0875E+01 7.5942E-012350 3102
 2.3484E+01 6.8914E-01 2.6094E+01 6.3574E-01 2.8703E+01 5.9464E-012350 3102
 3.1313E+01 5.6276E-01 3.6531E+01 5.1881E-01 4.1750E+01 4.9324E-012350 3102
 4.6969E+01 4.8039E-01 5.2188E+01 4.7716E-01 5.7406E+01 4.8185E-012350 3102
 6.2625E+01 4.9363E-01 6.7844E+01 5.1231E-01 7.3063E+01 5.3815E-012350 3102
 7.8281E+01 5.7192E-01 8.3500E+01 6.1486E-01 8.8719E+01 6.6885E-012350 3102
 9.3938E+01 7.3660E-01 9.9156E+01 8.2201E-01 1.0438E+02 9.3074E-012350 3102
 1.0698E+02 9.9633E-01 1.0959E+02 1.0712E+00 1.1220E+02 1.1570E+002350 3102
 1.1481E+02 1.2561E+00 1.1742E+02 1.3712E+00 1.2003E+02 1.5058E+002350 3102
 1.2264E+02 1.6646E+00 1.2525E+02 1.8538E+00 1.2786E+02 2.0815E+002350 3102
 1.3047E+02 2.3590E+00 1.3308E+02 2.7019E+00 1.3569E+02 3.1326E+002350 3102
 1.3699E+02 3.3907E+00 1.3830E+02 3.6842E+00 1.3960E+02 4.0199E+002350 3102
 1.4091E+02 4.4064E+00 1.4221E+02 4.8546E+00 1.4352E+02 5.3783E+002350 3102
 1.4482E+02 5.9956E+00 1.4613E+02 6.7304E+00 1.4743E+02 7.6146E+002350 3102
 1.4873E+02 8.6916E+00 1.5004E+02 1.0022E+01 1.5134E+02 1.1693E+012350 3102
 1.5200E+02 1.2693E+01 1.5265E+02 1.3830E+01 1.5330E+02 1.5131E+012350 3102
 1.5395E+02 1.6627E+01 1.5460E+02 1.8360E+01 1.5526E+02 2.0384E+012350 3102
 1.5591E+02 2.2765E+01 1.5656E+02 2.5595E+01 1.5722E+02 2.8992E+012350 3102
 1.5787E+02 3.3119E+01 1.5852E+02 3.8199E+01 1.5917E+02 4.4547E+012350 3102
 1.5950E+02 4.8331E+01 1.5982E+02 5.2617E+01 1.6015E+02 5.7498E+012350 3102
 1.6048E+02 6.3088E+01 1.6080E+02 6.9527E+01 1.6113E+02 7.6994E+012350 3102
 1.6145E+02 8.5716E+01 1.6178E+02 9.5984E+01 1.6211E+02 1.0818E+022350 3102
 1.6243E+02 1.2279E+02 1.6276E+02 1.4048E+02 1.6309E+02 1.6215E+022350 3102
 1.6341E+02 1.8900E+02 1.6374E+02 2.2273E+02 1.6390E+02 2.4288E+022350 3102
 1.6406E+02 2.6569E+02 1.6423E+02 2.9162E+02 1.6439E+02 3.2119E+022350 3102
 1.6455E+02 3.5503E+02 1.6472E+02 3.9387E+02 1.6488E+02 4.3856E+022350 3102
 1.6504E+02 4.9008E+02 1.6521E+02 5.4950E+02 1.6537E+02 6.1793E+022350 3102
 1.6553E+02 6.9642E+02 1.6569E+02 7.8574E+02 1.6602E+02 9.9618E+022350 3102
 1.6635E+02 1.2316E+03 1.6651E+02 1.3423E+03 1.6667E+02 1.4340E+032350 3102
 1.6684E+02 1.4946E+03 1.6700E+02 1.5147E+03 1.6822E+02 8.2300E+022350 3102
 1.6884E+02 5.2460E+02 1.6914E+02 4.2447E+02 1.6945E+02 3.4781E+022350 3102
 1.7006E+02 2.4252E+02 1.7067E+02 1.7693E+02 1.7128E+02 1.3400E+022350 3102
 1.7190E+02 1.0464E+02 1.7312E+02 6.8492E+01 1.7373E+02 5.6972E+012350 3102
 1.7434E+02 4.8093E+01 1.7556E+02 3.5530E+01 1.7679E+02 2.7273E+012350 3102
 1.7924E+02 1.7466E+01 1.8046E+02 1.4422E+01 1.8168E+02 1.2102E+012350 3102
 1.8413E+02 8.8611E+00 1.8658E+02 6.7572E+00 1.8902E+02 5.3166E+002350 3102
 1.9147E+02 4.2880E+00 1.9392E+02 3.5289E+00 1.9637E+02 2.9530E+002350 3102
 2.0126E+02 2.1526E+00 2.0616E+02 1.6363E+00 2.1105E+02 1.2846E+002350 3102
 2.1594E+02 1.0347E+00 2.2084E+02 8.5105E-01 2.2573E+02 7.1227E-012350 3102
 2.3552E+02 5.2039E-01 2.4531E+02 3.9747E-01 2.6489E+02 2.5552E-012350 3102
 2.7468E+02 2.1259E-01 2.8447E+02 1.8034E-01 3.0405E+02 1.3613E-012350 3102
