V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
                                                                  2351 3102
 2.30510+04 5.0506E+01          0         99          0          02351 3102
 3.0000E+02 7.3114E+06          0          0          1       32642351 3102
       3264          2                                            2351 3102
 1.0000E-05 2.4698E+02 1.1544E-05 2.2987E+02 1.3087E-05 2.1589E+022351 3102
 1.6174E-05 1.9420E+02 1.9261E-05 1.7796E+02 2.2349E-05 1.6521E+022351 3102
 2.5436E-05 1.5486E+02 2.8523E-05 1.4624E+02 3.4697E-05 1.3259E+022351 3102
 4.0872E-05 1.2217E+02 4.7046E-05 1.1387E+02 5.3220E-05 1.0706E+022351 3102
 5.9394E-05 1.0134E+02 7.1743E-05 9.2211E+01 8.4092E-05 8.5172E+012351 3102
 9.6440E-05 7.9533E+01 1.0879E-04 7.4883E+01 1.3349E-04 6.7603E+012351 3102
 1.5818E-04 6.2103E+01 1.8288E-04 5.7759E+01 2.0758E-04 5.4216E+012351 3102
 2.5697E-04 4.8730E+01 3.0637E-04 4.4632E+01 3.5576E-04 4.1420E+012351 3102
 4.0516E-04 3.8814E+01 5.0395E-04 3.4804E+01 6.0273E-04 3.1825E+012351 3102
 7.0152E-04 2.9499E+01 8.0031E-04 2.7619E+01 9.9789E-04 2.4735E+012351 3102
 1.1955E-03 2.2599E+01 1.3930E-03 2.0936E+01 1.5906E-03 1.9594E+012351 3102
 1.9858E-03 1.7537E+01 2.3809E-03 1.6016E+01 2.7761E-03 1.4832E+012351 3102
 3.1713E-03 1.3877E+01 3.9616E-03 1.2416E+01 4.7519E-03 1.1336E+012351 3102
 5.5422E-03 1.0497E+01 6.3325E-03 9.8204E+00 7.9131E-03 8.7849E+002351 3102
 9.4938E-03 8.0202E+00 1.1074E-02 7.4261E+00 1.2655E-02 6.9472E+002351 3102
 1.5816E-02 6.2139E+00 1.8977E-02 5.6711E+00 2.2139E-02 5.2490E+002351 3102
 2.5300E-02 4.9096E+00 2.9018E-02 4.5849E+00 3.2736E-02 4.3180E+002351 3102
 4.0171E-02 3.8986E+00 4.7607E-02 3.5798E+00 5.5043E-02 3.3281E+002351 3102
 6.2478E-02 3.1238E+00 6.9914E-02 2.9541E+00 8.4785E-02 2.6834E+002351 3102
 9.9656E-02 2.4739E+00 1.1453E-01 2.3069E+00 1.2940E-01 2.1701E+002351 3102
 1.4427E-01 2.0563E+00 1.7401E-01 1.8729E+00 2.0376E-01 1.7300E+002351 3102
 2.3350E-01 1.6156E+00 2.6324E-01 1.5225E+00 3.2273E-01 1.3755E+002351 3102
 3.8221E-01 1.2633E+00 4.4170E-01 1.1747E+00 5.0118E-01 1.1033E+002351 3102
 6.2015E-01 9.9209E-01 7.3912E-01 9.0834E-01 8.5809E-01 8.4278E-012351 3102
 9.7706E-01 7.9003E-01 1.2150E+00 7.0859E-01 1.4529E+00 6.4776E-012351 3102
 1.6909E+00 6.0033E-01 1.9288E+00 5.6219E-01 2.4047E+00 5.0358E-012351 3102
 2.8806E+00 4.6000E-01 3.3565E+00 4.2609E-01 3.8324E+00 3.9883E-012351 3102
 4.7841E+00 3.5702E-01 5.7359E+00 3.2603E-01 6.6876E+00 3.0193E-012351 3102
 7.6394E+00 2.8255E-01 9.5429E+00 2.5287E-01 1.1446E+01 2.3090E-012351 3102
 1.3350E+01 2.1383E-01 1.5254E+01 2.0010E-01 1.9061E+01 1.7909E-012351 3102
 2.2868E+01 1.6355E-01 2.6675E+01 1.5149E-01 3.0482E+01 1.4178E-012351 3102
 3.8096E+01 1.2694E-01 4.5710E+01 1.1598E-01 5.3324E+01 1.0747E-012351 3102
 6.0938E+01 1.0063E-01 7.6166E+01 9.0178E-02 9.1395E+01 8.2474E-022351 3102
 1.0662E+02 7.6502E-02 1.2185E+02 7.1704E-02 1.5231E+02 6.4395E-022351 3102
 1.8276E+02 5.9028E-02 2.1322E+02 5.4884E-02 2.4368E+02 5.1570E-022351 3102
 3.0459E+02 4.6558E-02 3.6550E+02 4.2924E-02 4.2642E+02 4.0157E-022351 3102
 4.8733E+02 3.7982E-02 6.0915E+02 3.4794E-02 7.3098E+02 3.2609E-022351 3102
 8.5281E+02 3.1074E-02 9.7463E+02 2.9998E-02 1.2183E+03 2.8823E-022351 3102
 1.4619E+03 2.8628E-02 1.7056E+03 2.9272E-02 1.9492E+03 3.0792E-022351 3102
 2.1320E+03 3.2619E-02 2.3147E+03 3.5209E-02 2.4365E+03 3.7488E-022351 3102
 2.5584E+03 4.0344E-02 2.6802E+03 4.3946E-02 2.7411E+03 4.6101E-022351 3102
 2.8020E+03 4.8545E-02 2.8629E+03 5.1327E-02 2.9238E+03 5.4510E-022351 3102
 2.9848E+03 5.8169E-02 3.0457E+03 6.2403E-02 3.1066E+03 6.7334E-022351 3102
 3.1675E+03 7.3119E-02 3.2284E+03 7.9964E-02 3.2893E+03 8.8131E-022351 3102
 3.3198E+03 9.2817E-02 3.3502E+03 9.7981E-02 3.3807E+03 1.0368E-012351 3102
 3.4111E+03 1.1000E-01 3.4416E+03 1.1701E-01 3.4721E+03 1.2483E-012351 3102
 3.5025E+03 1.3357E-01 3.5330E+03 1.4338E-01 3.5634E+03 1.5443E-012351 3102
 3.5939E+03 1.6692E-01 3.6243E+03 1.8108E-01 3.6548E+03 1.9721E-012351 3102
 3.6853E+03 2.1562E-01 3.7157E+03 2.3672E-01 3.7462E+03 2.6096E-012351 3102
 3.7766E+03 2.8884E-01 3.8071E+03 3.2094E-01 3.8375E+03 3.5785E-012351 3102
 3.8680E+03 4.0009E-01 3.8984E+03 4.4806E-01 3.9296E+03 5.0314E-012351 3102
 3.9608E+03 5.6355E-01 4.0232E+03 6.9123E-01 4.0544E+03 7.4967E-012351 3102
