Y - 91N,G    1.0000+00* JEF-2.2                                   3991 3102
                                                                  3991 3102
 3.90910+04 9.0126E+01          0         99          0          03991 3102
 3.0000E+02 6.5581E+06          0          0          1        5623991 3102
        562          2                                            3991 3102
 1.0000E-05 7.0354E+01 1.0651E-05 6.8169E+01 1.1338E-05 6.6073E+013991 3102
 1.2038E-05 6.4122E+01 1.2775E-05 6.2247E+01 1.3605E-05 6.0318E+013991 3102
 1.4480E-05 5.8467E+01 1.5376E-05 5.6737E+01 1.6319E-05 5.5074E+013991 3102
 1.7424E-05 5.3299E+01 1.8591E-05 5.1600E+01 1.9794E-05 5.0007E+013991 3102
 2.1061E-05 4.8480E+01 2.2367E-05 4.7044E+01 2.3739E-05 4.5664E+013991 3102
 2.5150E-05 4.4365E+01 2.6631E-05 4.3114E+01 2.8423E-05 4.1733E+013991 3102
 3.0314E-05 4.0410E+01 3.2273E-05 3.9165E+01 3.4336E-05 3.7971E+013991 3102
 3.6469E-05 3.6844E+01 3.8712E-05 3.5761E+01 4.1029E-05 3.4737E+013991 3102
 4.3460E-05 3.3752E+01 4.6371E-05 3.2675E+01 4.9444E-05 3.1644E+013991 3102
 5.2635E-05 3.0670E+01 5.5995E-05 2.9736E+01 5.9480E-05 2.8852E+013991 3102
 6.3144E-05 2.8003E+01 6.6939E-05 2.7198E+01 7.0922E-05 2.6423E+013991 3102
 7.5732E-05 2.5571E+01 8.0811E-05 2.4755E+01 8.6043E-05 2.3990E+013991 3102
 9.1555E-05 2.3257E+01 9.7226E-05 2.2569E+01 1.0319E-04 2.1908E+013991 3102
 1.0931E-04 2.1286E+01 1.1574E-04 2.0687E+01 1.2354E-04 2.0024E+013991 3102
 1.3177E-04 1.9389E+01 1.4029E-04 1.8791E+01 1.4926E-04 1.8218E+013991 3102
 1.5852E-04 1.7678E+01 1.6827E-04 1.7159E+01 1.7832E-04 1.6669E+013991 3102
 1.8887E-04 1.6197E+01 2.0168E-04 1.5675E+01 2.1520E-04 1.5175E+013991 3102
 2.2913E-04 1.4707E+01 2.4381E-04 1.4258E+01 2.5891E-04 1.3836E+013991 3102
 2.7479E-04 1.3431E+01 2.9111E-04 1.3049E+01 3.0822E-04 1.2682E+013991 3102
 3.2900E-04 1.2275E+01 3.5093E-04 1.1886E+01 3.7361E-04 1.1520E+013991 3102
 3.9750E-04 1.1168E+01 4.2219E-04 1.0837E+01 4.4813E-04 1.0519E+013991 3102
 4.7490E-04 1.0218E+01 5.0299E-04 9.9291E+00 5.3708E-04 9.6090E+003991 3102
 5.7308E-04 9.3025E+00 6.1018E-04 9.0154E+00 6.4926E-04 8.7401E+003991 3102
 6.8948E-04 8.4815E+00 7.3176E-04 8.2329E+00 7.7523E-04 7.9989E+003991 3102
 8.2083E-04 7.7737E+00 8.7618E-04 7.5244E+00 9.3460E-04 7.2855E+003991 3102
 9.9502E-04 7.0610E+00 1.0587E-03 6.8456E+00 1.1244E-03 6.6426E+003991 3102
 1.1935E-03 6.4475E+00 1.2647E-03 6.2632E+00 1.3395E-03 6.0859E+003991 3102
 1.4303E-03 5.8897E+00 1.5261E-03 5.7017E+00 1.6249E-03 5.5257E+003991 3102
 1.7289E-03 5.3568E+00 1.8361E-03 5.1981E+00 1.9487E-03 5.0457E+003991 3102
 2.0645E-03 4.9021E+00 2.1860E-03 4.7639E+00 2.3334E-03 4.6109E+003991 3102
 2.4891E-03 4.4644E+00 2.6500E-03 4.3267E+00 2.8195E-03 4.1947E+003991 3102
 2.9945E-03 4.0702E+00 3.1785E-03 3.9507E+00 3.3682E-03 3.8378E+003991 3102
 3.5673E-03 3.7292E+00 3.8089E-03 3.6090E+00 4.0639E-03 3.4939E+003991 3102
 4.3270E-03 3.3861E+00 4.6040E-03 3.2826E+00 4.8894E-03 3.1854E+003991 3102
