date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:16	16916/16916	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202003%2023:00:00%20GMT	https://www-nds.iaea.org/pgaa/egaf.html	E:/My%20Web/1/www-nds.iaea.org/pgaa/egaf.html	(from )
18:19:17	160/160	---MCZ	200	added ('OK')	text/plain	etag:W/%22176-49158f75c1800%22	https://www-nds.iaea.org/robots.txt		(from )
18:19:18	4217/4217	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202003%2023:00:00%20GMT	https://www-nds.iaea.org/pgaa/isoexpl/isoexpl.htm	E:/My%20Web/1/www-nds.iaea.org/pgaa/isoexpl/isoexpl.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:18	2880/2880	---M--	200	added ('OK')	text/html	etag:%22b40-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/2H_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/2H_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:18	2886/2886	---M--	200	added ('OK')	text/html	etag:%22b46-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/3H_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/3H_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:19	871/871	---M--	200	added ('OK')	text/html	etag:%22367-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/4HE_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/4HE_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:19	3407/3407	---M--	200	added ('OK')	text/html	etag:%22d4f-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/7LI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/7LI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:20	3408/3408	---M--	200	added ('OK')	text/html	etag:%22d50-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/8LI_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/8LI_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:20	6570/6570	---M--	200	added ('OK')	text/html	etag:%2219aa-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/10BE_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/10BE_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:21	4422/4422	---M--	200	added ('OK')	text/html	etag:%221146-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/11B_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/11B_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:21	4688/4688	---M--	200	added ('OK')	text/html	etag:%221250-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/13C_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/13C_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:21	5016/5016	---M--	200	added ('OK')	text/html	etag:%221398-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/14C_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/14C_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:22	19853/19853	---M--	200	added ('OK')	text/html	etag:%224d8d-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/15N_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/15N_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:22	3906/3906	---M--	200	added ('OK')	text/html	etag:%22f42-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/17O_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/17O_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:23	6315/6315	---M--	200	added ('OK')	text/html	etag:%2218ab-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/18O_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/18O_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
18:19:24	10164/10164	---M--	200	added ('OK')	text/html	etag:%2227b4-3db5afee39800%22	https://www-nds.iaea.org/pgaa/EGAF/21NE_EGAF.ens	E:/My%20Web/1/www-nds.iaea.org/pgaa/EGAF/21NE_EGAF.html	(from https://www-nds.iaea.org/pgaa/egaf.html)
