  28AL    27AL(N,G) E=THERMAL           82SC14                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        100.9 8         0.0            0.0            0.0       
      30.6383 10         29.7 7           30           0.0            0.0       
        972.38 4         0.98 8        1.30 10        0.32 13        0.32 13    
     1013.626 16        5.96 15          7.1 6          1.1 6          1.1 6    
       1372.95 3        2.55 11        1.78 15       -0.77 18       -0.77 18    
       1620.32 5        1.40 11        1.77 20        0.37 23        0.37 23    
       1622.92 3        4.12 13          5.0 5          0.8 5          0.8 5    
       2138.92 3        4.70 12        5.38 16        0.68 20        0.68 20    
       2201.46 5       0.255 12         0.45 3         0.20 3         0.20 3    
       2271.77 3        1.65 12        2.10 10        0.45 15        0.45 15    
       2486.18 3         0.43 3         0.91 8         0.48 9         0.48 9    
       2565.68 8        0.159 9         0.32 7         0.16 7         0.16 7    
        2582.0 3        0.061 6       0.053 10      -0.008 12      -0.008 12    
       2656.09 5       0.305 13        1.40 11        1.10 11        1.10 11    
      2987.53 13       0.473 20         0.73 7         0.25 8         0.25 8    
       3296.39 5         0.96 7         0.65 4        -0.31 8        -0.31 8    
       3347.19 4       0.453 20         0.55 3         0.10 4         0.10 4    
       3465.29 4          7.1 3          8.0 4          0.9 5          0.9 5    
       3591.45 4          7.3 3        7.93 23          0.6 4          0.6 4    
       3670.77 5       0.342 13       0.143 11      -0.199 17      -0.199 17    
       3709.21 5         0.73 4         1.22 9         0.49 *         0.49 *    
       3875.78 4        3.19 20        3.46 11        0.27 23        0.27 23    
       3900.99 5         0.56 3         0.50 3        -0.06 5        -0.06 5    
       3935.58 5         0.87 4       0.845 25        -0.02 5        -0.02 5    
      4244.41 10       0.170 22        0.083 4      -0.087 23      -0.087 23    
       4461.92 9       0.100 10        0.099           0.0            0.0       
       4596.51 6         0.32 5        0.261          -0.06 5        -0.06 5    
       4691.10 5          8.8 4        7.51 22         -1.3 5         -1.3 5    
       4764.91 5       0.340 20          8.9 3          8.6 3          8.6 3    
       4903.58 5        3.98 21        3.37 20         -0.6 3         -0.6 3    
       5015.42 7         0.69 4         0.38 5        -0.31 7        -0.31 7    
       5134.84 6        4.20 20        3.45 10       -0.75 22       -0.75 22    
       5176.97 7       0.150 10        0.129 9      -0.021 13      -0.021 13    
       5377.81 7       0.160 10        0.123 6      -0.037 12      -0.037 12    
       5442.28 6        4.70 20        3.49 12       -1.21 23       -1.21 23    
       5741.12 6        1.10 10         0.66 4       -0.44 11       -0.44 11    
       5797.55 6        1.20 20         0.88 3       -0.32 20       -0.32 20    
       5860.78 7         0.46 7       0.322 11        -0.14 7        -0.14 7    
       6019.61 7         0.39 5       0.316 10        -0.07 5        -0.07 5    
       6198.88 7        1.80 20         1.05 4       -0.75 20       -0.75 20    
       6316.80 7          3.1 3        2.72 12         -0.4 3         -0.4 3    
      6419.84 14         0.19 5         0.47 3         0.28 6         0.28 6    
       6441.45 7        1.10 10         0.92 3       -0.19 10       -0.19 10    
       6623.08 9        0.70 20         0.44 6       -0.26 21       -0.26 21    
       6651.17 8         0.57 7       0.353 21        -0.22 7        -0.22 7    
      6756.67 10         0.42 6       0.290 13        -0.13 6        -0.13 6    
       6893.70 8        1.30 20         1.28 4         0.0            0.0       
       7176.49 9         0.23 3        0.181 8        -0.05 3        -0.05 3    
      7269.48 11         0.29 7       0.462 25         0.17 7         0.17 7    
       7725.05 6         0.0            92.3 9         92.3 9         92.3 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.9 14       100.9 14    
             TOTAL UNPLACED GAMMA INTENSITY =          4.49 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
