  28AL    27AL(N,G) E=THERMAL           82SC14                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.232 3         0.0            0.0            0.0       
       30.6383 7       0.0651 6      0.0849 21      0.0199 22      0.0199 22    
        972.40 3      0.00207 6      0.00246 5      0.00039 8      0.00039 8    
     1013.608 10     0.01270 22     0.01457 17       0.0019 3       0.0019 3    
     1372.993 20     0.00307 13     0.00379 18     0.00072 22     0.00072 22    
       1620.30 3     0.00249 15      0.00268 8      1.9E-0417      1.9E-0417    
     1622.927 18     0.00870 25     0.01060 16       0.0019 3       0.0019 3    
     2138.921 10     0.01010 23     0.01056 15       0.0005 3       0.0005 3    
       2201.43 3      0.00060 8      0.00105 6     0.00045 10     0.00045 10    
     2271.785 21     0.00320 14     0.00396 10     0.00076 18     0.00076 18    
     2486.162 19      0.00075 5     0.00131 10     0.00057 11     0.00057 11    
      2565.69 10      1.6E-04 4     0.00071 17     0.00055 17     0.00055 17    
      2581.98 17     1.19E-0413     1.03E-0420     -1.6E-0524     -1.6E-0524    
       2656.08 3      0.00051 5      0.00068 4      1.7E-04 7      1.7E-04 7    
      2987.82 10     0.00104 22      0.00150 7     0.00045 23     0.00045 23    
     3296.380 13     0.00215 13      0.00126 7    -0.00089 15    -0.00089 15    
     3347.185 13      0.00108 8      0.00116 5        8E-0510        8E-0510    
      3465.288 7       0.0163 3       0.0166 3       0.0003 4       0.0003 4    
      3591.436 8       0.0156 3     0.01635 25       0.0007 4       0.0007 4    
       3670.78 4      0.00071 7      0.00034 5     -0.00037 9     -0.00037 9    
     3709.203 14      0.00166 7     0.00239 19     0.00073 20     0.00073 20    
      3875.775 8     0.00716 17     0.00766 17     0.00049 24     0.00049 24    
     3900.981 24      0.00114 7      0.00095 9     -1.9E-0411     -1.9E-0411    
     3935.569 12      0.00191 8      0.00163 8    -0.00028 11    -0.00028 11    
       4244.41 7      0.00028 6     1.63E-04 9     -1.2E-04 6     -1.2E-04 6    
       4461.91 7     1.96E-0420     1.45E-0412     -5.1E-0523     -5.1E-0523    
       4596.52 3      0.00054 4      0.00055 6         0.0            0.0       
      4691.097 5       0.0179 3       0.0175 3      -0.0004 4      -0.0004 4    
     4764.912 11      0.00063 4       0.0194 3       0.0188 3       0.0188 3    
      4903.574 6     0.00752 15     0.00771 19      1.9E-0424      1.9E-0424    
       5015.41 3      0.00140 7     0.00085 12    -0.00055 14    -0.00055 14    
      5134.849 8     0.00807 16     0.00830 24        2E-04 3        2E-04 3    
       5176.97 5      0.00026 4      2.5E-04 4         0.0            0.0       
       5377.82 4      0.00034 3      0.00026 4       -8E-05 5       -8E-05 5    
      5442.276 8     0.00890 17     0.00794 21      -0.0010 3      -0.0010 3    
     5741.116 13      0.00207 8      0.00152 8    -0.00055 11    -0.00055 11    
     5797.572 25      0.00262 7     0.00190 11    -0.00072 13    -0.00072 13    
       5860.78 3      0.00091 4      0.00083 8       -8E-05 9       -8E-05 9    
     6019.605 22      0.00080 5    0.000619 21     -1.8E-04 5     -1.8E-04 5    
     6198.879 11      0.00339 9     0.00297 16    -0.00042 18    -0.00042 18    
      6316.789 9     0.00640 13     0.00650 22         0.0            0.0       
       6419.92 7      0.00043 4      0.00168 8      0.00125 9      0.00125 9    
     6441.445 11      0.00222 6     0.00201 10     -2.1E-0411     -2.1E-0411    
       6623.09 4      0.00103 4      0.00082 6     -2.1E-04 8     -2.1E-04 8    
       6651.20 4      0.00100 4      0.00115 7      1.5E-04 8      1.5E-04 8    
       6756.68 4      0.00079 3      0.00067 6     -1.2E-04 7     -1.2E-04 7    
     6893.731 22      0.00269 7     0.00243 11    -0.00026 13    -0.00026 13    
       7176.47 3    0.000533 16    0.000354 16    -1.79E-0423    -1.79E-0423    
       7269.39 6    0.000774 22      0.00085 7        8E-05 7        8E-05 7    
      7725.170 4         0.0         0.1872 17      0.1872 17      0.1872 17    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.232 3        0.232 3    
             TOTAL UNPLACED GAMMA INTENSITY =          4.49 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
