  28AL    27AL(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0      0.2104 18         0.0            0.0            0.0       
            31         0.0632 6       0.0651 6       0.0019 8       0.0019 8    
           970        0.00146 4      0.00246 5      0.00100 7      0.00100 7    
       1013.65 3     0.01187 22     0.01457 17       0.0027 3       0.0027 3    
          1400       0.00294 13      0.00350 7     0.00056 15     0.00056 15    
          1600        0.00196 6      0.00252 7      0.00056 9      0.00056 9    
       1622.92 3     0.00798 24     0.01060 16       0.0026 3       0.0026 3    
       2138.94 3     0.00929 18     0.01056 15     0.00127 24     0.00127 24    
          2200        0.00055 8      0.00082 5     0.00027 10     0.00027 10    
        2271.8 3      0.00171 9     0.00396 10     0.00225 13     0.00225 13    
       2486.07 6      0.00054 5     0.00131 10     0.00077 11     0.00077 11    
          2600        1.4E-04 4      2.4E-04 9      1.0E-0410      1.0E-0410    
        2582.0 3         0.0            0.0            0.0            0.0       
       2656.03 7      0.00037 5      0.00068 4      0.00031 6      0.00031 6    
       2987.65 6     0.00100 22      0.00145 6     0.00045 23     0.00045 23    
       3296.39 7      0.00185 8      0.00044 4     -0.00141 9     -0.00141 9    
       3347.09 8      0.00103 8      0.00111 5        8E-05 9        8E-05 9    
       3465.29 4       0.0163 3       0.0166 3       0.0003 4       0.0003 4    
       3591.45 4       0.0156 3     0.01635 25       0.0008 4       0.0008 4    
          3700        0.00061 7      2.0E-04 5     -0.00041 9     -0.00041 9    
       3709.06 8      0.00166 7      0.00088 8    -0.00078 11    -0.00078 11    
       3875.70 5     0.00699 17     0.00756 17     0.00057 24     0.00057 24    
       3900.91 9      0.00114 7      0.00087 6    -0.00027 10    -0.00027 10    
       3935.58 7      0.00191 8      0.00156 8    -0.00035 11    -0.00035 11    
      4244.34 10      1.8E-04 4         0.0        -1.8E-04 4     -1.8E-04 4    
       4461.92 9         0.0            0.0            0.0            0.0       
      4596.50 11      0.00054 4      0.00028 6     -0.00026 7     -0.00026 7    
       4691.10 5       0.0179 3       0.0172 3      -0.0007 4      -0.0007 4    
       4764.93 4      0.00063 4       0.0194 3       0.0188 3       0.0188 3    
       4903.58 6     0.00752 15     0.00763 19         0.0            0.0       
       5015.31 8      0.00140 7      0.00060 6     -0.00080 9     -0.00080 9    
       5134.84 5     0.00807 16     0.00819 24         0.0            0.0       
      5176.86 20      0.00026 4      1.7E-04 4       -9E-05 6       -9E-05 6    
      5377.67 13      0.00034 3      1.8E-04 4     -1.6E-04 5     -1.6E-04 5    
       5442.28 4     0.00890 17     0.00785 21      -0.0011 3      -0.0011 3    
          5700        0.00207 8      0.00148 8    -0.00059 11    -0.00059 11    
       5797.55 5      0.00262 7     0.00188 11    -0.00074 13    -0.00074 13    
       5860.78 7      0.00091 4      0.00069 8     -2.2E-04 9     -2.2E-04 9    
       6019.46 7      0.00080 5         0.0        -0.00080 5     -0.00080 5    
       6198.88 5      0.00339 9     0.00281 16    -0.00058 18    -0.00058 18    
       6316.80 5     0.00640 13     0.00624 22     -1.6E-0425     -1.6E-0425    
       6419.68 7      0.00043 4      0.00156 8      0.00113 9      0.00113 9    
       6441.45 5      0.00222 6      0.00175 9    -0.00047 11    -0.00047 11    
          6600        0.00103 4      0.00043 5     -0.00060 6     -0.00060 6    
          6700        0.00100 4      0.00093 7       -7E-05 8       -7E-05 8    
          6800        0.00079 3      0.00027 6     -0.00052 7     -0.00052 7    
       6893.70 5      0.00269 7     0.00179 10    -0.00090 12    -0.00090 12    
       7176.50 5    0.000533 16         0.0      -0.000533 16   -0.000533 16    
          7300      0.000774 22      2.4E-04 5     -0.00053 6     -0.00053 6    
       7725.18 3         0.0         0.1869 17      0.1869 17      0.1869 17    
 *****************************************************************************
                       TOTAL BETA INTENSITY =       0.2104 20      0.2104 20    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
