                    
 
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.   167.28 17                      
    3.   516.1 2                        
    4.  1034.7 5                        
    5.  1353.93 22                      
    7.  2398.2 4                        
    8.  2693.9 9                        
    9.  2733.4 7                        
   10.  2948.8 6                        
   11.  3009.7 7                        
   12.  3111.5 22                       
   13.  3278.8 22                       
   14.  3326.9 5                        
   15.  3430.9 9                        
   16.  3564.9 25                       
   17.  3572.9 25                       
   18.  3703.0 21                       
   19.  3732.1 25                       
   20.  3968.3 5                        
   21.  4270.3 10                       
   22.  6099.1 4                        
 
   GAMMA ENERGIES
       40AR(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
           167.30 20           167.28 17     2  1                                                                                   
             348.7 3           348.82 19     3  2                                                                                   
             516.0 3           516.10 20     3  1                                                                                   
    (S        0.0                518.6 5     4  3                                                                                   
             837.7 3           837.82 20     5  3                                                                                   
             867.3 6             867.4 5     4  2                                                                                   
            1044.3 4            1044.2 3     7  5                                                                                   
            1186.8 3          1186.63 20     5  2                                                                                   
            1354.0 4          1353.91 22     5  1                                                                                   
    (S        0.0               1379.5 7     9  5                                                                                   
           1828.8 12           1828.8 10    22 21                                                                                   
           1881.5 10            1882.0 4     7  3                                                                                   
           1972.7 12            1972.9 5    14  5                                                                                   
            2130.8 8            2130.7 5    22 20                                                                                   
           2229.5 20            2230.8 4     7  2                                                                                   
           2291.7 20            2292.1 7    14  4                                                                                   
            2432.5 8            2432.6 6    10  3                                                                                   
            2566.1 8            2566.1 6     9  2                                                                                   
            2614.4 8            2614.3 5    20  5                                                                                   
           2668.2 20            2668.1 9    22 15                                                                                   
           2668.2 20           2668.2 20    18  4                                                                                   
           2693.9 10            2693.8 9     8  1                                                                                   
            2771.9 8            2772.1 5    22 14                                                                                   
           2781.8 15            2781.4 6    10  2                                                                                   
            2810.6 8            2810.7 5    14  3                                                                                   
           2842.6 10            2842.4 7    11  2                                                                                   
           3089.5 10            3089.3 7    22 11                                                                                   
           3111.4 22           3111.4 22    12  1                                                                                   
           3150.3 10            3150.2 6    22 10                                                                                   
    (S        0.0               3326.7 6    14  6                                                                                   
           3365.6 10            3365.5 7    22  9                                                                                   
           3405.5 25           3405.1 10    22  8                                                                                   
           3405.5 25           3405.5 25    17  2                                                                                   
           3430.8 10            3430.8 9    15  1                                                                                   
           3452.0 10            3452.1 5    20  3                                                                                   
           3564.7 25           3564.7 25    16  1                                                                                   
           3658.7 18           3658.7 18     0  0                                                                                   
            3700.6 8            3700.8 4    22  7                                                                                   
           4102.7 15           4102.8 10    21  2                                                                                   
            4745.3 8            4744.9 3    22  5                                                                                   
           4917.1 20           4917.1 20     0  0                                                                                   
           5064.0 10            5064.1 6    22  4                                                                                   
           5449.0 25           5449.0 25     0  0                                                                                   
            5582.4 8            5582.6 3    22  3                                                                                   
           5960.7 25           5960.7 25     0  0                                                                                   
           6063.1 25           6063.1 25     0  0                                                                                   
           6082.8 25           6082.8 25     0  0                                                                                   
           6093.3 25           6093.3 25     0  0                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .1270         F= 19
      CHISQ/F =  .1270      (FIT OF   40GAMMAS -  20LEVELS)
 
