
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1942.66 16                      
    3.  2009.9 3                        
    4.  2462.17 19                      
    5.  2670.0 3                        
    6.  3049.7 14                       
    7.  3400.0 3                        
    8.  3524.0 10                       
    9.  3613.40 22                      
   10.  3844.5 5                        
   11.  3944.2 3                        
   12.  4603.5 5                        
   13.  4752.6 3                        
   14.  4777.7 6                        
   15.  5011.2 12                       
   16.  8362.9 3                        
 
   GAMMA ENERGIES
       404839CA(N,G) E=TH-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
            182.0 10            182.0 10     0  0                                                                                   
    (S        0.0               379.7 14     6  5                                                                                   
             444.5 4             444.5 4    10  7                                                                                   
           519.50 13           519.51 11     4  2                                                                                   
             660.2 6             660.1 4     5  3                                                                                   
             727.3 4             727.3 3     5  2                                                                                   
    (S        0.0                943.4 3     9  5                                                                                   
           1040.1 15           1039.8 13     6  3                                                                                   
    (S        0.0              1107.0 14     6  2                                                                                   
          1151.22 20          1151.21 15     9  4                                                                                   
          1390.13 20          1390.15 19     7  3                                                                                   
            1482.0 3          1482.03 21    11  4                                                                                   
    (S        0.0              1611.1 12    15  7                                                                                   
          1670.67 20          1670.70 15     9  2                                                                                   
    (S        0.0               1834.6 4    10  3                                                                                   
    (S        0.0               1901.8 5    10  2                                                                                   
          1942.61 17          1942.61 16     2  1                                                                                   
            2001.6 3          2001.52 21    11  2                                                                                   
            2009.8 3            2009.8 3     3  1                                                                                   
            2290.3 3          2290.31 22    13  4                                                                                   
            2606.5 5            2606.5 5     0  0                                                                                   
           2660.3 20            2660.8 5    12  2                                                                                   
           2768.8 20            2767.7 7    14  3                                                                                   
            2809.8 5          2809.79 23    13  2                                                                                   
    (S        0.0              3001.2 12    15  3                                                                                   
           3067.3 20           3068.4 12    15  2                                                                                   
           3351.0 15           3351.6 12    16 15                                                                                   
           3523.9 10           3523.9 10     8  1                                                                                   
            3585.2 6            3585.1 6    16 14                                                                                   
            3610.2 3          3610.21 23    16 13                                                                                   
            3759.2 4            3759.2 4    16 12                                                                                   
              3947 3              3947 3     0  0                                                                                   
            4418.6 5            4418.4 3    16 11                                                                                   
              4518 3            4518.1 5    16 10                                                                                   
              4560 3              4560 3     0  0                                                                                   
            4749.1 6          4749.24 25    16  9                                                                                   
              4839 3           4838.6 10    16  8                                                                                   
            4962.4 6            4962.6 3    16  7                                                                                   
              5314 3           5312.9 14    16  6                                                                                   
            5692.5 7            5692.5 4    16  5                                                                                   
            5900.1 6          5900.30 23    16  4                                                                                   
              6352 3            6352.6 3    16  3                                                                                   
           6420.7 10          6419.73 23    16  2                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .1397         F= 18
      CHISQ/F =  .1571      (FIT OF   32GAMMAS -  15LEVELS)
