
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.   372.71 17                      
    3.   593.32 22                      
    4.   990.4 3                        
    5.  1394.5 5                        
    6.  1957.4 8                        
    7.  2046.34 21                      
    8.  2102.8 5                        
   10.  2610.9 4                        
   11.  2878.2 5                        
   12.  2943.5 4                        
   13.  3286.1 6                        
   14.  3315.4 5                        
   15.  3572.6 4                        
   16.  4207.3 4                        
   17.  4901.3 10                       
   18.  5037.8 5                        
   19.  7932.7 3                        
 
   GAMMA ENERGIES
       42CA(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
             220.6 3           220.60 20     3  2                                                                                   
           372.70 20           372.71 17     2  1                                                                                   
             396.9 4           397.04 25     4  3                                                                                   
             404.0 8             404.2 5     5  4                                                                                   
             564.4 6             564.6 4    10  7                                                                                   
             593.4 6           593.31 22     3  1                                                                                   
             617.7 3           617.64 23     4  2                                                                                   
             651.6 6             651.8 4     7  5                                                                                   
    (S        0.0                801.2 5     5  3                                                                                   
            831.4 10             831.9 4    11  7                                                                                   
            840.9 10             840.7 5    12  8                                                                                   
            967.5 15             967.0 8     6  4                                                                                   
    (S        0.0                990.3 3     4  1                                                                                   
           1021.5 10            1021.8 5     5  2                                                                                   
            1055.9 6            1056.0 3     7  4                                                                                   
           1239.1 12            1239.8 6    13  7                                                                                   
            1268.9 6            1269.1 5    14  7                                                                                   
           1363.9 10            1364.0 7     6  3                                                                                   
          1370.48 10          1370.48 10     0  0                                                                                   
    (S        0.0               1394.5 5     5  1                                                                                   
            1453.0 3          1452.99 19     7  3                                                                                   
    (S        0.0               1509.4 5     8  3                                                                                   
           1525.4 10            1526.3 4    15  7                                                                                   
            1673.5 4          1673.59 20     7  2                                                                                   
           1729.9 10            1730.0 5     8  2                                                                                   
            2017.8 8            2017.6 4    10  3                                                                                   
            2046.3 3          2046.28 21     7  1                                                                                   
            2102.7 6            2102.7 5     8  1                                                                                   
            2161.1 6            2160.9 3    16  7                                                                                   
           2285.4 10            2284.9 5    11  3                                                                                   
            2350.3 4            2350.1 3    12  3                                                                                   
    (S        0.0               2692.7 6    13  3                                                                                   
    (S        0.0              2798.4 11    17  8                                                                                   
            2895.1 5            2894.8 5    19 18                                                                                   
    (S        0.0               2913.3 6    13  2                                                                                   
    (S        0.0              2943.9 13    17  6                                                                                   
            2978.9 7            2979.2 4    15  3                                                                                   
    (1     2992.4 10            2991.4 5    18  7                                                                                   
           3031.3 10           3031.3 10    19 17                                                                                   
    (S        0.0               3080.3 9    18  6                                                                                   
    (S        0.0               3199.8 4    15  2                                                                                   
            3613.4 8            3613.8 3    16  3                                                                                   
            3654.7 6            3654.7 6     0  0                                                                                   
            3725.3 3            3725.3 3    19 16                                                                                   
    (S        0.0               4047.2 5    18  4                                                                                   
    (S        0.0              4307.8 10    17  3                                                                                   
            4359.5 5            4359.9 4    19 15                                                                                   
            4616.6 9            4617.0 5    19 14                                                                                   
            4646.2 6            4646.4 5    19 13                                                                                   
            4836.8 9            4836.8 9     0  0                                                                                   
    (S        0.0              4901.0 11    17  9                                                                                   
            4989.2 5            4988.9 3    19 12                                                                                   
            5054.2 5            5054.2 4    19 11                                                                                   
            5321.4 5            5321.4 4    19 10                                                                                   
           5828.6 15            5829.5 5    19  8                                                                                   
            5886.0 4          5885.97 23    19  7                                                                                   
           5975.2 15            5974.9 8    19  6                                                                                   
            7339.0 7          7338.75 24    19  3                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .2139         F= 30
      CHISQ/F =  .2674      (FIT OF   42GAMMAS -  17LEVELS)
