  44CA    43CA(N,G) E=THERMAL           72WH02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100           0.0            0.0            0.0       
     1157.047 15           90             97             7.             7.      
       1883.51 5         0.0            0.40           0.40           0.40      
       2283.14 3           46             54             8.             8.      
       2656.50 5           1.             6.             4.             4.      
       3044.33 7           6.             12             5.             5.      
       3285.00 4           5.             6.             1.             1.      
      3301.30 20           6.             2.            -3.            -3.      
       3307.86 7           6.             8.             2.             2.      
      3357.20 20           8.             13             3.             3.      
       3676.07 7           3.             2.            -1.            -1.      
       3711.80 7           1.             6.             5.             5.      
       3776.20 7         0.65             1.           0.81           0.81      
      3913.55 10           2.             4.             2.             2.      
        3922.6 3           1.             3.             2.             2.      
        4011.4 5        0.080           0.11          0.030          0.030      
        4092.0 3           1.             2.           0.79           0.79      
        4195.7 4         0.88             2.             1.             1.      
       4358.42 9         0.75           0.62          -0.13          -0.13      
        4399.4 5         0.14           0.56           0.42           0.42      
        4479.8 5         0.42           0.63           0.21           0.21      
        4564.9 4         0.56             2.             2.             2.      
        4584.1 3           3.             3.           0.47           0.47      
        4651.0 4           2.             1.          -0.45          -0.45      
        4690.2 6         0.39           0.75           0.36           0.36      
        4803.7 5         0.59             6.             5.             5.      
        4904.6 4         0.84             1.           0.50           0.50      
        5005.9 4           3.             4.           0.76           0.76      
        5096.8 5           1.           0.62          -0.56          -0.56      
        5130.4 3           3.             4.           0.80           0.80      
        5230.7 4           7.             7.           0.13           0.13      
        5289.3 4           1.             1.         -0.030         -0.030      
        5300.4 5           1.           0.53          -0.47          -0.47      
        5342.2 5         0.35           0.13          -0.22          -0.22      
        5375.1 5         0.85           0.69          -0.16          -0.16      
        5458.8 5         0.50           0.66           0.16           0.16      
       5549.0 16         0.99             4.             3.             3.      
        5733.5 4           3.             3.          -0.62          -0.62      
        5775.9 5           2.             2.         -0.090         -0.090      
        5866.7 5           1.           0.80          -0.39          -0.39      
        6039.5 9         0.40           0.24          -0.16          -0.16      
        6146.1 5           1.             1.           0.16           0.16      
        6211.4 6         0.90           0.20          -0.70          -0.70      
        6673.4 5           1.             1.          -0.57          -0.57      
     11131.55 19         0.0              49             49             49      
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100            100      
             TOTAL UNPLACED GAMMA INTENSITY =            41                     
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
