  44CA    43CA(N,G) E=THERMAL           72WH02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          7.3 5         0.0            0.0            0.0       
      1156.95 12        5.90 23          6.5 3          0.6 4          0.6 4    
        1883.7 7      0.0054 11        0.60 17        0.59 17        0.59 18    
      2283.08 15        3.11 15        3.49 17        0.38 23        0.38 23    
      2656.31 19         0.26 4         0.42 8         0.16 9         0.16 9    
      3044.32 16         0.44 5        0.87 11        0.42 12        0.42 12    
      3285.00 17         0.37 5         0.47 6         0.10 8         0.10 8    
        3301.7 4         0.43 8         0.16 3        -0.27 8        -0.27 8    
      3307.66 18         0.40 6         0.56 9        0.16 11        0.16 11    
      3357.23 18         0.60 6         0.81 8        0.21 11        0.21 11    
        3661.5 4         0.0           0.022 3        0.022 3        0.022 4    
      3676.25 25         0.23 4       0.154 23        -0.08 4        -0.08 4    
      3711.95 19       0.093 20         0.44 7         0.34 7         0.34 7    
        3776.3 4        0.044 7       0.096 22       0.053 23       0.053 24    
      3913.72 18         0.19 3         0.33 5         0.13 6         0.13 6    
      3922.59 19       0.104 22         0.26 3         0.15 4         0.15 4    
        4011.4 4      0.0054 11       0.007 15         0.0            0.0       
      4092.01 21       0.087 13       0.142 24         0.05 3         0.05 3    
        4195.7 4       0.059 12         0.13 3         0.07 3         0.07 3    
        4358.3 3       0.050 10        0.041 9      -0.009 14      -0.009 14    
        4399.1 6      0.0096 22        0.038 7        0.028 8        0.028 8    
        4479.8 5        0.028 6        0.042 9       0.014 11       0.014 11    
      4564.80 20        0.038 7         0.19 3         0.15 3         0.15 4    
      4584.06 25         0.21 3         0.25 3         0.04 5         0.04 5    
        4651.0 4         0.16 3          0.1 4         0.0            0.0       
        4689.9 5        0.026 5       0.050 10       0.024 12       0.024 12    
        4801.1 4        0.040 8         0.41 7         0.37 8         0.37 8    
        4904.4 4       0.056 12       0.090 13       0.033 18       0.033 18    
        5005.7 3         0.25 5         0.30 4         0.05 6         0.05 6    
        5096.8 4       0.079 16        0.041 9      -0.038 19      -0.038 19    
      5130.09 24         0.23 4         0.29 4         0.06 6         0.06 6    
      5230.29 24        0.47 10         0.48 6         0.0            0.0       
        5289.2 3       0.079 16       0.076 16         0.0            0.0       
        5300.4 4       0.067 14        0.036 7      -0.032 16      -0.032 16    
        5342.1 5        0.024 5      0.0087 18       -0.015 6       -0.015 6    
        5374.7 5       0.057 12         0.19 4         0.13 4         0.13 4    
        5458.8 4        0.033 7        0.044 7        0.011 9        0.011 9    
        5548.8 3       0.067 13         0.28 4         0.21 4         0.21 4    
        5733.3 3         0.25 5       0.212 25        -0.04 6        -0.04 6    
        5775.7 3         0.19 4       0.188 19         0.0            0.0       
        5866.7 4       0.080 16        0.054 9      -0.026 19      -0.026 19    
        6039.9 5        0.027 5        0.016 4       -0.010 6       -0.010 6    
        6146.1 4       0.076 16       0.086 12       0.011 20       0.011 20    
        6211.3 5       0.061 13        0.013 3      -0.047 13      -0.047 13    
        6673.0 4         0.13 3       0.090 13        -0.04 3        -0.04 3    
     11131.54 18         0.0           3.32 16        3.32 16          3.3 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           7.3 6          7.3 8    
             TOTAL UNPLACED GAMMA INTENSITY =            41                     
              NORMALIZATION UNCERTAINTY (%) =   7.4224                          
