
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1156.91 14                      
    3.  1883.4 3                        
    4.  2283.07 16                      
    5.  2656.32 20                      
    6.  3044.34 17                      
    7.  3285.03 19                      
    8.  3302.2 3                        
    9.  3307.63 19                      
   10.  3357.22 19                      
   11.  3676.19 25                      
   12.  3711.92 20                      
   13.  3776.2 4                        
   14.  3913.74 19                      
   15.  3922.66 20                      
   16.  4011.4 4                        
   17.  4092.03 22                      
   18.  4195.7 4                        
   19.  4358.2 3                        
   20.  4399.1 6                        
   21.  4479.8 5                        
   22.  4564.83 21                      
   23.  4584.06 23                      
   24.  4651.0 4                        
   25.  4689.9 5                        
   26.  4801.8 3                        
   27.  4904.4 4                        
   28.  5005.7 3                        
   29.  5096.8 4                        
   30.  5130.07 25                      
   31.  5230.28 25                      
   32.  5289.2 4                        
   33.  5300.4 4                        
   34.  5342.1 6                        
   35.  5374.9 6                        
   36.  5458.8 4                        
   37.  5548.7 3                        
   38.  5733.3 3                        
   39.  5775.8 3                        
   40.  5866.6 4                        
   41.  6039.9 5                        
   42.  6146.1 3                        
   43.  6211.3 5                        
   44.  6672.9 4                        
   45. 11131.51 19                      
 
   GAMMA ENERGIES
       43CA(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
             204.3 4             204.3 4     0  0                                                                                   
    (S        0.0              263.29 15     9  6                                                                                   
             264.8 4             264.8 4     0  0                                                                                   
             299.5 4             299.5 4    16 12                                                                                   
             302.1 4             302.1 4     0  0                                                                                   
             368.8 3           368.56 21    11  9                                                                                   
             372.3 4             372.3 4     0  0                                                                                   
    (S        0.0                374.0 3    11  8                                                                                   
             374.4 4             374.4 4     0  0                                                                                   
           404.34 10            404.29 9    12  9                                                                                   
             418.7 3             418.7 3     0  0                                                                                   
             440.6 6             440.6 6     0  0                                                                                   
             443.6 6             443.6 6     0  0                                                                                   
             472.9 3             472.9 3     0  0                                                                                   
             476.4 6             476.4 6     0  0                                                                                   
             594.3 6             594.3 6     0  0                                                                                   
             597.4 6             597.4 6     0  0                                                                                   
             606.0 6             606.0 6     0  0                                                                                   
           628.69 10            628.71 9    14  7                                                                                   
           637.63 12           637.63 10    15  7                                                                                   
    (S        0.0              646.31 21    19 12                                                                                   
           651.07 12           651.08 11    22 14                                                                                   
    (S        0.0              651.31 21     9  5                                                                                   
    (S        0.0              667.57 16    12  6                                                                                   
    (S        0.0                682.0 3    19 11                                                                                   
             726.5 3             726.5 3     3  2                                                                                   
           761.19 10            761.26 8     6  4                                                                                   
           806.95 15           807.00 14    17  7                                                                                   
           869.45 15           869.39 11    14  6                                                                                   
    (1     878.10 20           878.31 12    15  6                                                                                   
           966.53 20           966.53 20     0  0                                                                                   
          1001.85 15          1001.94 10     7  4                                                                                   
            1017.8 7            1017.8 7     0  0                                                                                   
    (S        0.0               1019.9 3    11  5                                                                                   
          1024.66 20          1024.55 13     9  4                                                                                   
          1050.54 20          1050.59 19    19  9                                                                                   
          1074.13 15          1074.13 12    10  4                                                                                   
            1092.2 7          1091.89 24    28 14                                                                                   
    (S        0.0               1119.9 4    13  5                                                                                   
          1126.03 15          1126.15 10     4  2                                                                                   
          1156.89 15          1156.89 14     2  1                                                                                   
            1183.1 4            1183.0 3    29 14                                                                                   
            1266.3 8            1266.3 8     0  0                                                                                   
            1276.0 8          1276.40 21    23  9                                                                                   
            1283.2 8            1283.2 8     0  0                                                                                   
            1314.6 8            1314.6 8     0  0                                                                                   
    (1    1428.56 25          1428.82 14    12  4                                                                                   
            1442.4 8            1442.4 8     0  0                                                                                   
    (S        0.0               1494.2 3    26  9                                                                                   
          1499.30 18          1499.38 16     5  2                                                                                   
    (1    1499.30 18          1499.60 17    26  8                                                                                   
    (1    1539.40 25          1539.68 18    23  6                                                                                   
            1543.8 8            1543.8 8     0  0                                                                                   
            1577.5 4            1577.5 4     0  0                                                                                   
            1588.7 4            1588.5 4    33 12                                                                                   
           1623.5 10           1623.5 10     0  0                                                                                   
    (2      1640.7 5          1639.55 13    15  4                                                                                   
            1640.7 5          1641.21 25    38 17                                                                                   
            1648.1 5          1648.40 23    28 10                                                                                   
           1658.7 10           1658.7 10     0  0                                                                                   
    (S        0.0               1701.9 3    19  5                                                                                   
           1729.8 10           1729.8 10     0  0                                                                                   
            1773.3 5          1772.82 22    30 10                                                                                   
    (S        0.0               1774.6 4    40 17                                                                                   
            1808.9 5          1808.92 16    17  4                                                                                   
            1872.7 3          1872.45 24    37 11                                                                                   
            1872.7 3          1873.02 20    31 10                                                                                   
    (S        0.0               1883.4 3     3  1                                                                                   
            1887.3 3          1887.39 12     6  2                                                                                   
           1901.2 10           1901.2 10     0  0                                                                                   
            1912.8 5            1912.8 5     0  0                                                                                   
           1983.8 10           1983.8 10     0  0                                                                                   
           1994.2 10            1994.6 4    24  5                                                                                   
            2053.9 5            2054.0 3    42 17                                                                                   
    (1      2088.2 5            2088.8 3    44 23                                                                                   
            2099.3 5            2099.6 3    39 11                                                                                   
    (1      2144.5 5            2145.2 3     8  2                                                                                   
            2150.9 3          2150.66 14     9  2                                                                                   
           2178.8 10           2178.8 10     0  0                                                                                   
           2186.2 10          2185.88 21    31  6                                                                                   
            2200.1 3          2200.25 14    10  2                                                                                   
           2223.3 20            2223.4 3    42 15                                                                                   
            2248.2 5            2248.0 4    27  5                                                                                   
            2281.7 5          2281.69 15    22  4                                                                                   
            2293.1 6            2293.1 6     0  0                                                                                   
            2297.5 6            2297.5 5    43 14                                                                                   
            2300.6 5          2300.92 18    23  4                                                                                   
            2343.4 6            2343.4 6     0  0                                                                                   
            2376.1 5          2375.99 23    38 10                                                                                   
            2415.6 6            2415.6 6     0  0                                                                                   
            2447.4 6            2447.4 6     0  0                                                                                   
            2467.9 6            2467.9 6     0  0                                                                                   
    (2      2474.9 6            2473.6 3    39  8                                                                                   
    (S        0.0             2490.74 24    39  7                                                                                   
            2509.2 6            2509.3 3    40 10                                                                                   
            2518.9 5          2519.21 22    11  2                                                                                   
            2549.9 6            2549.9 6     0  0                                                                                   
            2582.0 6            2582.0 6     0  0                                                                                   
            2612.9 6            2612.9 6     0  0                                                                                   
            2619.1 5            2619.2 4    13  2                                                                                   
            2656.2 5          2656.23 20     5  1                                                                                   
            2682.8 6            2682.6 5    41 10                                                                                   
            2688.7 5          2688.85 22    38  6                                                                                   
    (S        0.0               2718.5 6    35  5                                                                                   
            2722.4 3          2722.49 22    28  4                                                                                   
    (1      2730.7 6          2731.41 23    39  6                                                                                   
            2746.4 6            2746.4 6     0  0                                                                                   
    (S        0.0               2759.1 3    44 14                                                                                   
            2786.2 6            2786.2 6     0  0                                                                                   
            2815.0 6            2815.0 6     0  0                                                                                   
            2846.8 3          2846.90 21    30  4                                                                                   
            2862.0 5            2862.0 5     0  0                                                                                   
    (1      2891.2 6            2892.3 3    37  5                                                                                   
            2896.7 6            2896.6 4    44 13                                                                                   
    (S        0.0             2935.02 18    17  2                                                                                   
            2947.4 3          2947.10 20    31  4                                                                                   
            2969.7 5            2969.7 5     0  0                                                                                   
            2995.1 6            2995.1 6     0  0                                                                                   
            3006.0 4            3006.0 3    32  4                                                                                   
            3038.7 4            3038.7 3    18  2                                                                                   
            3052.6 6            3052.6 6     0  0                                                                                   
            3100.8 7            3100.8 7     0  0                                                                                   
            3109.1 9            3109.1 9     0  0                                                                                   
            3115.5 9            3115.5 9     0  0                                                                                   
           3120.5 15            3119.4 3    39  5                                                                                   
            3149.8 7            3149.8 7     0  0                                                                                   
            3158.9 7            3158.9 7     0  0                                                                                   
            3176.2 7            3175.6 4    36  4                                                                                   
            3200.1 7            3200.1 7     0  0                                                                                   
    (S        0.0             3201.20 23    19  2                                                                                   
            3203.7 7            3203.7 7     0  0                                                                                   
            3219.5 7            3219.5 7     0  0                                                                                   
            3234.5 7            3234.5 7     0  0                                                                                   
            3242.1 7            3242.1 6    20  2                                                                                   
            3259.2 7            3259.2 7     0  0                                                                                   
            3265.3 7          3265.48 25    37  4                                                                                   
            3301.5 6            3302.1 3     8  1                                                                                   
    (S        0.0             3307.50 19     9  1                                                                                   
            3312.4 7            3312.4 7     0  0                                                                                   
            3322.8 6            3322.7 5    21  2                                                                                   
            3335.5 7            3335.5 7     0  0                                                                                   
