  45CA    44CA(N,G) E=THERMAL           68GR11                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           99           0.0            0.0            0.0       
      174.269 24           79             77            -1.            -1.      
       1434.74 7           25             27             2.             2.      
      1879.91 16         0.16           0.16           0.0            0.0       
        1884.3 3           1.             1.           0.10           0.10      
       1899.90 9           62             61            -1.            -1.      
      2249.08 10           14             17             3.             3.      
      2392.38 14           1.             1.          -0.24          -0.24      
      2842.07 15           4.             5.           0.50           0.50      
      3241.35 24           2.             1.            -1.            -1.      
      3418.34 14           10             8.            -1.            -1.      
      3783.28 22           1.           0.70          -0.30          -0.30      
      3838.03 20           1.             1.          -0.25          -0.25      
       4467.7 10         0.30           0.0           -0.30          -0.30      
      4615.76 15           3.             2.            -1.            -1.      
      4999.76 19           2.             2.           0.10           0.10      
          5237 3         0.20           0.0           -0.20          -0.20      
        7414.8 3         0.0             100            100            100      
 *****************************************************************************
                       TOTAL BETA INTENSITY =            99             99      
             TOTAL UNPLACED GAMMA INTENSITY =            4.                     
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
