
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.   174.11 12                      
    3.  1434.79 9                       
    5.  1884.3 4                        
    6.  1899.96 16                      
    7.  2249.32 20                      
    8.  2392.6 3                        
    9.  2842.19 25                      
   10.  3241.9 5                        
   11.  3418.7 3                        
   12.  3783.1 4                        
   13.  3838.2 4                        
   14.  4467.8 7                        
   15.  4615.9 3                        
   16.  4999.8 5                        
   17.  5236.9 21                       
   18.  7415.1 3                        
 
   GAMMA ENERGIES
       44CA(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
    (1       174.5 3           174.11 12     2  1                                                                                   
             349.2 3           349.36 20     7  6                                                                                   
             465.1 3           465.17 15     6  3                                                                                   
             492.5 6             492.7 3     8  6                                                                                   
            565.6 10            565.6 10     0  0                                                                                   
             576.7 4             576.5 3    11  9                                                                                   
             814.5 3           814.52 19     7  3                                                                                   
            917.0 10            917.0 10     0  0                                                                                   
            942.7 10             942.2 3     9  6                                                                                   
             957.9 3           957.82 25     8  3                                                                                   
             957.9 3             957.9 3     9  5                                                                                   
    (S        0.0                992.5 5    10  7                                                                                   
            1026.0 6            1026.1 3    11  8                                                                                   
            1169.4 6            1169.4 3    11  7                                                                                   
            1186.6 5            1186.6 5     0  0                                                                                   
          1260.70 10           1260.66 9     3  2                                                                                   
          1434.72 10           1434.76 9     3  1                                                                                   
           1710.2 20            1710.1 4     5  2                                                                                   
            1725.8 3          1725.81 16     6  2                                                                                   
            1751.1 3            1751.1 3     0  0                                                                                   
            1900.0 3          1899.91 16     6  1                                                                                   
    (S        0.0               1938.2 4    13  6                                                                                   
              1942 4              1942 4     0  0                                                                                   
           1983.6 20            1983.9 3    11  3                                                                                   
            2075.5 4          2075.15 19     7  2                                                                                   
              2179 3           2178.1 21    18 17                                                                                   
    (S        0.0               2218.5 3     8  2                                                                                   
            2287.5 6            2287.5 6     0  0                                                                                   
    (S        0.0               2392.6 4     8  4                                                                                   
           2403.6 10            2403.3 4    13  3                                                                                   
            2415.4 5            2415.2 5    18 16                                                                                   
           2608.3 15            2607.1 5    16  8                                                                                   
            2668.1 3          2667.99 23     9  2                                                                                   
            2716.1 4            2715.8 3    15  6                                                                                   
            2799.3 4            2799.1 3    18 15                                                                                   
            2841.6 8          2842.09 25     9  1                                                                                   
           2947.1 10            2947.2 7    18 14                                                                                   
            3067.6 6            3067.6 5    10  2                                                                                   
    (S        0.0               3099.7 5    16  6                                                                                   
            3180.8 6            3181.0 3    15  3                                                                                   
    (S        0.0               3241.7 5    10  1                                                                                   
    (1      3243.7 6            3244.5 3    11  2                                                                                   
           3565.0 15            3564.9 5    16  3                                                                                   
            3576.8 4            3576.8 4    18 13                                                                                   
            3608.5 5            3608.8 4    12  2                                                                                   
            3631.5 5            3631.8 4    18 12                                                                                   
            3996.0 5            3996.2 3    18 11                                                                                   
           4121.6 10           4121.6 10     0  0                                                                                   
            4173.0 8            4173.0 5    18 10                                                                                   
           4467.5 10            4467.6 7    14  1                                                                                   
            4572.5 8            4572.7 3    18  9                                                                                   
            5165.5 8            5165.5 3    18  7                                                                                   
              5237 3           5236.6 21    17  1                                                                                   
           5515.1 10            5514.8 3    18  6                                                                                   
           5980.3 10          5979.90 25    18  3                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .3326         F= 27
      CHISQ/F =  .3592      (FIT OF   42GAMMAS -  16LEVELS)
