  44CA    43CA(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          7.1 3         0.0            0.0            0.0       
     1157.047 15          5.4 3          6.5 3          1.2 4          1.2 4    
       1883.51 5         0.0           0.57 17        0.57 17        0.57 17    
       2283.14 3        2.87 20        3.48 17          0.6 3          0.6 3    
       2656.50 5        0.99 14         0.0          -0.99 14       -0.99 14    
       3044.33 7        1.39 19         0.50 7       -0.90 20       -0.90 20    
       3285.00 4         0.0            0.48 6         0.48 6         0.48 6    
      3301.30 20        2.51 20         0.0          -2.51 20       -2.51 20    
       3307.86 7        4.08 22         0.0          -4.08 22       -4.08 22    
      3357.20 20         0.21 8         0.67 8        0.47 12        0.47 12    
       3676.07 7         0.0           0.56 11        0.56 11        0.56 11    
       3711.80 7         0.0            0.0            0.0            0.0       
       3776.20 7         0.0            0.0            0.0            0.0       
      3913.55 10         0.24 6         0.73          0.49 11        0.49 11    
        3922.6 3         0.0            0.0            0.0            0.0       
        4011.4 5         0.0            0.0            0.0            0.0       
        4092.0 3         0.0            0.0            0.0            0.0       
        4195.7 4         0.0            0.0            0.0            0.0       
       4358.42 9         0.0            0.0            0.0            0.0       
        4399.4 5         0.0           1.01 15        1.01 15        1.01 15    
        4479.8 5         0.0            0.30           0.30 *         0.30 *    
        4564.9 4         0.0            0.0            0.0            0.0       
        4584.1 3         0.0           4.08 22        4.08 22          4.1 3    
        4651.0 4         0.0            0.0            0.0            0.0       
        4690.2 6         0.0            0.0            0.0            0.0       
        4803.7 5         0.0           0.77 16        0.77 16        0.77 16    
        4904.6 4         0.0            0.0            0.0            0.0       
        5005.9 4         0.0           0.96 13        0.96 13        0.96 14    
        5096.8 5         0.0            0.24 6         0.24 6         0.24 6    
        5130.4 3         0.0            0.0            0.0            0.0       
        5230.7 4         0.0           0.67 16        0.67 16        0.67 17    
        5289.3 4         0.0            0.0            0.0            0.0       
        5300.4 5         0.0            0.0            0.0            0.0       
        5342.2 5         0.0            0.0            0.0            0.0       
        5375.1 5         0.0           0.99 14        0.99 14        0.99 15    
        5458.8 5         0.0            0.26 8         0.26 8         0.26 8    
       5549.0 16         0.0            0.0            0.0            0.0       
        5733.5 4        1.56 22         0.21 8       -1.35 24       -1.35 24    
        5775.9 5         0.0           1.74 13        1.74 13        1.74 15    
        5866.7 5         0.0            0.0            0.0            0.0       
        6039.5 9         0.0            0.0            0.0            0.0       
        6146.1 5         0.0            0.0            0.0            0.0       
        6211.4 6         0.0            0.0            0.0            0.0       
        6673.4 5         0.0            0.0            0.0            0.0       
     11131.55 19         0.0           1.56 22        1.56 22        1.56 23    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           7.1 7          7.1 7    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =   4.0486                          
