
 
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1156.89 6                       
    3.  1885.1 4                        
    4.  2282.93 9                       
    5.  2656.50 5                       
    6.  3043.96 16                      
    7.  3284.55 15                      
    8.  3301.3 2                        
    9.  3307.86 7                       
   10.  3356.99 16                      
   11.  3675.1 4                        
   12.  3711.80 7                       
   13.  3776.20 7                       
   14.  3913.59 23                      
   15.  3922.6 3                        
   16.  4011.4 5                        
   17.  4092.0 3                        
   18.  4195.7 4                        
   19.  4358.42 9                       
   20.  4399.5 3                        
   21.  4481.1 4                        
   22.  4564.9 4                        
   23.  4582.31 9                       
   24.  4651.0 4                        
   25.  4690.2 6                        
   26.  4800.7 4                        
   27.  4904.6 4                        
   28.  5005.51 20                      
   29.  5098.0 3                        
   30.  5130.4 3                        
   31.  5229.4 4                        
   32.  5289.3 4                        
   33.  5300.4 5                        
   34.  5342.2 5                        
   35.  5374.16 20                      
   36.  5460.6 4                        
   37.  5549.0 16                       
   38.  5732.8 5                        
   39.  5774.84 23                      
   40.  5866.7 5                        
   41.  6039.5 9                        
   42.  6146.1 5                        
   43.  6211.4 6                        
   44.  6673.4 5                        
   45. 11130.1 7                        
 
   GAMMA ENERGIES
       43CA(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
           761.02 13           761.02 13     6  4                                                                                   
           869.62 17           869.62 17    14  6                                                                                   
          1001.61 12          1001.61 12     7  4                                                                                   
          1074.04 13          1074.04 13    10  4                                                                                   
           1126.03 7           1126.03 7     4  2                                                                                   
           1156.87 6           1156.87 6     2  1                                                                                   
          1184.43 24          1184.43 24    29 14                                                                                   
           1274.43 6           1274.43 6    23  9                                                                                   
            1499.4 3            1499.4 3    26  8                                                                                   
            1885.1 4            1885.1 4     3  1                                                                                   
            2185.4 4            2185.4 4    31  6                                                                                   
            2375.7 5            2375.7 5    38 10                                                                                   
          2473.46 11          2473.46 11    39  8                                                                                   
            2518.1 4            2518.1 4    11  2                                                                                   
           2656.41 5           2656.41 5     5  1                                                                                   
          2717.57 19          2717.57 19    35  5                                                                                   
          2722.49 18          2722.49 18    28  4                                                                                   
            3177.5 4            3177.5 4    36  4                                                                                   
            3242.5 3            3242.5 3    20  2                                                                                   
          3301.17 20          3301.17 20     8  1                                                                                   
           3307.73 7           3307.73 7     9  1                                                                                   
            3324.1 4            3324.1 4    21  2                                                                                   
           3711.63 7           3711.63 7    12  1                                                                                   
           3776.03 7           3776.03 7    13  1                                                                                   
            3922.4 3            3922.4 3    15  1                                                                                   
            4011.2 5            4011.2 5    16  1                                                                                   
            4091.8 3            4091.8 3    17  1                                                                                   
            4195.5 4            4195.5 4    18  1                                                                                   
           4358.19 9           4358.19 9    19  1                                                                                   
            4564.6 4            4564.6 4    22  1                                                                                   
            4650.7 4            4650.7 4    24  1                                                                                   
            4689.9 6            4689.9 6    25  1                                                                                   
            4904.3 4            4904.3 4    27  1                                                                                   
            5130.1 3            5130.1 3    30  1                                                                                   
            5289.0 4            5289.0 4    32  1                                                                                   
            5300.1 5            5300.1 5    33  1                                                                                   
            5341.9 5            5341.9 5    34  1                                                                                   
            5397.0 4            5397.0 4    45 38                                                                                   
           5548.6 16           5548.6 16    37  1                                                                                   
            5866.3 5            5866.3 5    40  1                                                                                   
            6039.1 9            6039.1 9    41  1                                                                                   
            6145.6 5            6145.6 5    42  1                                                                                   
            6210.9 6            6210.9 6    43  1                                                                                   
            6672.9 5            6672.9 5    44  1                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .0000         F= -1
      CHISQ/F =  .0000      (FIT OF   44GAMMAS -  44LEVELS)
