  36CL    35CL(N,G) E=THERMAL           82KR12,85EE04,96CO16                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.5 11         0.0            0.0            0.0       
      788.4374 4         16.1 4         16.3 4          0.2 6          0.2 6    
     1164.8857 5         26.4 5         27.2 7          0.8 9          0.8 9    
    1601.1114 19         3.36 8        4.60 18        1.24 20        1.24 20    
     1951.1970 6        32.6 14         32.0 8        -0.6 16        -0.6 16    
    1959.4044 18       12.13 22         13.3 3          1.2 4          1.2 4    
     2468.2744 7         24.0 7        25.1 14         1.1 15         1.1 15    
      2492.316 4         1.23 5        1.52 19        0.29 20        0.29 20    
      2518.410 5         0.34 4         0.36 4         0.0            0.0       
     2676.426 13         1.66 5         1.59 4        -0.07 6        -0.07 6    
      2810.589 4         0.54 4         0.90 7         0.36 8         0.36 8    
      2863.945 6        5.86 16        6.19 12        0.33 20        0.33 20    
      2896.337 3         0.72 4        1.30 11        0.58 12        0.58 12    
      2994.688 7         0.78 4        1.03 11        0.25 12        0.25 12    
    3100.7180 21         0.43 3         0.35 5        -0.08 6        -0.08 6    
      3332.307 5        1.01 11         1.04 8         0.0            0.0       
       3470.02 3         0.62 4         0.31 3        -0.31 5        -0.31 5    
      3599.544 4         3.69          4.03 11        0.35 14        0.35 14    
     3634.992 17         1.76 9         1.37 8       -0.39 12       -0.39 12    
     3660.333 25         0.35 6         0.49 4         0.14 7         0.14 7    
       3941.31 4       0.167 16       0.125 17      -0.041 23      -0.041 23    
     3962.915 19         1.12 6         1.11 6         0.0            0.0       
       4031.90 3         0.57 3         0.62 9         0.05 9         0.05 9    
     4061.487 21       0.435 24         0.45 3         0.02 4         0.02 4    
     4138.986 16       1.083 25         0.64 6        -0.44 6        -0.44 6    
       4205.66 5         0.29 3       0.361 24         0.07 4         0.07 4    
       4299.68 4        0.047 9       0.192 25         0.14 3         0.14 3    
      4315.63 10       0.147 19       0.176 18         0.03 3         0.03 3    
       4410.06 3         0.35 3       0.226 14        -0.12 3        -0.12 3    
       4496.75 3         0.79 4         0.63 5        -0.15 6        -0.15 6    
     4525.192 20         0.70 4         0.67 3        -0.04 5        -0.04 5    
       4551.43 7       0.226 21       0.173 15        -0.05 3        -0.05 3    
       4598.49 5         1.03 6         0.97 6        -0.06 8        -0.06 8    
       4754.35 4         0.88 5         0.60 3        -0.27 6        -0.27 6    
     4758.001 20         0.11 6         1.01 6         0.90 8         0.90 8    
       4829.55 4       0.309 17       0.279 14      -0.030 22      -0.030 22    
       4997.20 3       0.191 17         0.38 5         0.19 5         0.19 5    
       5018.09 3         0.86 5         0.82 6        -0.04 8        -0.04 8    
       5079.15 4         0.49 3        0.152 9        -0.34 3        -0.34 3    
     5150.634 22         0.93 5         0.71 4        -0.22 6        -0.22 6    
       5204.60 4         0.60 3         0.57 4        -0.03 5        -0.03 5    
       5246.62 4         0.83 4        0.73 10       -0.10 11       -0.10 11    
       5263.11 9       0.257 14       0.272 19       0.015 24       0.015 24    
       5329.16 5       0.317 17        0.121 9      -0.196 19      -0.196 19    
     5463.541 23         0.99 6         0.85 4        -0.14 7        -0.14 7    
       5473.73 5         0.27 3       0.214 15        -0.05 3        -0.05 3    
     5517.664 17         3.59 7         3.19 7        -0.40 *        -0.40 *    
     5563.560 20         1.13 6         0.97 5        -0.16 8        -0.16 8    
     5578.473 20         0.76 4         0.55 4        -0.21 6        -0.21 6    
       5604.31 3       1.046 25         0.76 5        -0.29 6        -0.29 6    
       5703.06 3         0.60 6         0.67 4         0.06 7         0.06 7    
     5734.044 14        1.29 13         1.32 7         0.0            0.0       
       5778.48 5         0.83 9         0.46 3        -0.38 9        -0.38 9    
     5956.690 25         0.63 6       0.434 17        -0.20 7        -0.20 7    
       6042.32 3         0.45 5         0.43 3        -0.02 6        -0.02 6    
       6089.89 5         0.46 5         0.62 4         0.17 6         0.17 6    
       6184.94 5       0.156 17        0.082 6      -0.074 18      -0.074 18    
       6253.56 4       0.234 24       0.197 20        -0.04 3        -0.04 3    
     6268.190 19        1.09 11         1.08 5         0.0            0.0       
       6339.88 4       0.242 25        0.073 9        -0.17 3        -0.17 3    
       6344.42 5       0.190 20       0.283 23         0.09 3         0.09 3    
       6354.90 4       0.165 18       0.172 14         0.0            0.0       
     6379.483 20         0.39 4       0.277 16        -0.11 4        -0.11 4    
     6423.391 19         0.68 7       0.473 19        -0.21 7        -0.21 7    
       6487.75 4       0.206 21       0.247 15         0.04 3         0.04 3    
       6538.21 3         0.59 6       0.507 23        -0.09 7        -0.09 7    
     6544.972 18         0.76 8         0.32 3        -0.43 8        -0.43 8    
       6604.34 4         0.69 7         0.48 3        -0.22 8        -0.22 8    
     6642.651 22         0.43 4         0.25 3        -0.18 6        -0.18 6    
       6773.21 5       0.159 18       0.258 21         0.10 3         0.10 3    
       6836.49 3         0.25 3       0.352 19         0.10 3         0.10 3    
       6952.61 4         0.30 3       0.298 18         0.0            0.0       
       7082.65 4         0.17 3       0.106 12        -0.06 3        -0.06 3    
       7559.17 5       0.073 11        0.084 9       0.011 14       0.011 14    
      8579.669 9         0.0            98.7 9         98.7 9         98.7 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.5 21       100.5 21    
             TOTAL UNPLACED GAMMA INTENSITY =         3.58 13                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
