  36CL     35CL(N,G): SET 2             76SP06                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.0 11         0.0            0.0            0.0       
        788.42 4         15.0 7         15.5 3          0.4 8          0.4 8    
         829.1 4         0.0            0.25 4         0.25 4         0.25 4    
       1164.77 3         24.6 6         26.5 8          1.9 *          1.9 *    
       1600.91 3        4.62 22        4.47 19         -0.2 3         -0.2 3    
       1951.07 3         31.5 9         30.5 9        -1.0 13        -1.0 13    
       1959.26 3         13.9 3         13.1 4         -0.7 5         -0.7 5    
       2467.97 5       23.46 15         23.9 9          0.5 9          0.5 9    
       2492.14 5        2.25 14        1.69 14       -0.56 20       -0.56 20    
      2518.18 12         1.31 9        0.37 19       -0.94 21       -0.94 21    
      2676.10 12        1.72 15         1.75 5         0.0            0.0       
       2810.44 8         0.67 6         0.85 4         0.18 8         0.18 8    
       2863.72 7        5.98 12        6.96 21        0.98 24        0.98 24    
       2896.08 6         0.37 8        0.97 17        0.60 19        0.60 19    
       2994.41 7         0.71 6         1.08 5         0.37 8         0.37 8    
      3100.72 10        0.022 5       0.330 21       0.308 21       0.308 21    
      3209.12 16         0.65 7         0.36 5        -0.29 8        -0.29 8    
       3331.91 5         1.42 9        0.89 12       -0.54 15       -0.54 15    
        3469.7 3         0.25 4         0.10 3        -0.14 5        -0.14 5    
       3599.15 5        3.64 15        3.36 13       -0.28 20       -0.28 20    
      3635.42 14          0.9 3         1.29 5          0.4 3          0.4 3    
      3661.55 21       0.062 21        0.76 11        0.70 11        0.70 11    
      3723.85 13       0.062 21       0.114 21         0.05 3         0.05 3    
        3830.7 4         0.31 6         0.11 4        -0.20 7        -0.20 7    
       3962.73 8         0.67 5        1.15 11        0.48 12        0.48 12    
        3997.2 3       0.052 21         0.67          0.62 10        0.62 10    
        4033.9 3         0.46 9         0.23 3        -0.24 9        -0.24 9    
      4138.92 10         1.03 5         1.32 5         0.29 7         0.29 7    
        4315.4 6       0.062 21         0.32 5         0.26 6         0.26 6    
        4409.0 7       0.052 21        0.46 15        0.41 15        0.41 15    
      4496.52 24         0.69 4         0.15 3        -0.54 5        -0.54 5    
      4525.44 12         0.96 8        0.80 11       -0.15 13       -0.15 13    
        4553.0 7         0.13 5         0.24 6         0.10 8         0.10 8    
      4598.41 16         0.95 6         0.40 5        -0.55 8        -0.55 8    
        4735.8 7       0.082 21         0.24 7         0.15 7         0.15 7    
      4757.81 19         1.02 5        0.66 10       -0.36 11       -0.36 11    
          4800           0.31 4         0.0           -0.31 4        -0.31 4    
      4844.12 25       0.165 21         0.41 4         0.25 5         0.25 5    
        4884.7 5       0.072 21       0.113 21         0.04 3         0.04 3    
        4957.1 4       0.155 21         0.24 5         0.08 5         0.08 5    
        4998.8 3         0.21 7         0.66 7        0.45 10        0.45 10    
      5018.34 16         0.61 5         0.77 6         0.16 8         0.16 8    
        5079.5 3         0.25 3         0.13 3        -0.11 4        -0.11 4    
      5150.93 15         0.84 4        0.48 11       -0.35 12       -0.35 12    
      5204.78 18        0.49 11         0.58 4        0.08 12        0.08 12    
      5246.83 18         0.76 3        0.64 12       -0.12 13       -0.12 13    
        5263.0 4         0.22 3         0.24 4         0.02 5         0.02 5    
        5307.1 3         0.12 4         0.33 4         0.21 6         0.21 6    
        5329.5 3         0.31 3         0.46 6         0.15 6         0.15 6    
      5463.66 14         0.97 6         0.64 5        -0.33 8        -0.33 8    
      5517.98 11        3.61 21        2.81 11       -0.79 23       -0.79 23    
        5550.2 6         0.14 4         0.24 5         0.09 6         0.09 6    
      5563.75 18         1.01 5        0.87 12       -0.14 13       -0.14 13    
      5578.32 17         0.76 4         0.85 9        0.08 10        0.08 10    
        5588.8 5         0.14 4         0.44 5         0.30 6         0.30 6    
      5605.19 14         1.18 6         0.60 6        -0.58 9        -0.58 9    
        5627.1 4         0.18 3         0.19 3         0.0            0.0       
        5703.5 3        0.59 11         0.65 7        0.06 13        0.06 13    
      5734.36 12         1.21 4        1.30 21        0.09 22        0.09 22    
      5777.62 17        0.61 10         1.59 9        0.98 14        0.98 14    
        5837.9 5         0.14 3         0.21 4         0.06 5         0.06 5    
        5914.2 3         0.31 3         0.12 3        -0.19 4        -0.19 4    
        5956.6 3         0.61 7         0.41 5        -0.20 9        -0.20 9    
      5972.01 25         0.20 9         0.64          0.44 13        0.44 13    
        6090.2 4        0.51 13         0.58 7        0.07 15        0.07 15    
      6268.82 13         1.12 5         0.76 8        -0.36 *        -0.36 *    
        6345.2 4         0.22 4         0.15 3        -0.06 5        -0.06 5    
       6379.92 9       0.381 21         0.42 5         0.04 6         0.04 6    
        6422.7 3         0.0            0.32 5         0.32 5         0.32 5    
      6487.65 20         0.36 6         0.14 3        -0.22 7        -0.22 7    
        6509.9 4         0.0            0.59 8         0.59 8         0.59 8    
      6545.50 10         0.62 3         0.76 7         0.14 7         0.14 7    
      6643.02 14         0.49 3         0.38 8        -0.11 9        -0.11 9    
        6951.3 4         0.24 4         0.22 4        -0.02 6        -0.02 6    
       8579.99 5         0.0            96.8 6         96.8 6         96.8 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.0 19       100.0 19    
             TOTAL UNPLACED GAMMA INTENSITY =          22.9 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
