  36CL    35CL(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       43.84 17         0.0            0.0            0.0       
     788.4374 10        7.09 12         7.15 7         0.0            0.0       
    1164.8852 12       11.49 12        11.76 5        0.27 13        0.27 13    
      1601.110 4         1.88 8       2.035 11         0.15 8         0.15 8    
    1951.1965 15        13.92 9        13.87 7        -0.0           -0.0       
      1959.404 4        5.64 12         5.71 4        0.07 12        0.07 12    
    2468.2739 16        10.52 9        10.36 7       -0.16 11       -0.16 11    
      2492.316 9         0.83 6         0.76 5        -0.07 8        -0.07 8    
      2518.411 9         0.37 3       0.141 16        -0.23 3        -0.23 3    
       2676.41 3         0.89 5        0.710 6        -0.18 5        -0.18 5    
      2810.590 7         0.54 3        0.381 9        -0.16 3        -0.16 3    
     2863.941 12         2.82 4       2.750 17        -0.07 4        -0.07 4    
      2896.337 8         0.34 4       0.497 12         0.16 4         0.16 4    
     2994.682 15       0.390 25       0.460 15         0.07 3         0.07 3    
      3100.717 5         0.27 3        0.158 3        -0.11 3        -0.11 3    
          3101 5       0.176 11       0.152 19      -0.024 22      -0.024 22    
     3332.304 11         0.87 4       0.413 19        -0.46 5        -0.46 5    
       3470.1 24        0.29 12       0.132 10       -0.16 12       -0.16 12    
      3599.543 9       1.655 14         1.74 3         0.08 3         0.08 3    
       3634.95 3       0.858 21         0.59 4        -0.27 5        -0.27 5    
       3660.37 9         0.0            0.31 4         0.31 4         0.31 4    
       3660.6 25         0.19 3       0.047 10        -0.15 3        -0.15 3    
       3941.32 8         0.19 4        0.051 8        -0.14 4        -0.14 4    
       3962.90 4       0.454 25       0.462 21         0.0            0.0       
        4031.9 5       0.331 18       0.350 21         0.02 3         0.02 3    
       4061.45 5       0.177 12         0.17 7         0.0            0.0       
       4138.99 4        0.512 7         0.44 8        -0.07 8        -0.07 8    
       4205.65 9       0.046 17        0.069 7       0.022 18       0.022 18    
