  38CL    37CL(N,G) E=THERMAL           73SP06                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          101 3         0.0            0.0            0.0       
       671.361 8         14.0 4         12.4 3         -1.6 5         -1.6 5    
      755.424 10         29.7           29.0 6        -0.7 12        -0.7 12    
     1309.047 14         14.7 5         15.2 4          0.5 6          0.5 6    
     1617.411 15        24.1 13         24.1 9         0.0            0.0       
     1692.461 18        17.2 19         22.8 6         5.6 20         5.6 20    
       1745.81 4          5.3 5        6.00 20          0.7 6          0.7 6    
      1784.81 17          3.1 3        2.20 20         -0.9 4         -0.9 4    
     1941.998 14        1.00 20        0.70 20         -0.3 3         -0.3 3    
     1981.190 16        22.2 18         22.7 4         0.0            0.0       
      2742.88 12         8.9 13          7.9 5        -1.0 14        -1.0 14    
        2894.9 4         13.4 4        1.70 20        -11.7 4        -11.7 4    
          3100           0.0           0.40 20        0.40 20        0.40 20    
        3538.1 6        0.40 20          1.5 6          1.1 6          1.1 6    
        3564.8 5          0.9 3         15.2 4         14.3 5         14.3 5    
      3685.20 20          4.8 4          3.7 3         -1.1 5         -1.1 5    
        3756.2 4          1.1 3         0.30           -0.8 3         -0.8 3    
      3821.57 17        2.30 20        1.20 20         -1.1 3         -1.1 3    
        3862.4 5        1.20 20        1.20 20         0.0            0.0       
      3893.39 11        5.80 20          5.6 8         0.0            0.0       
      3974.10 19        2.90 20         6.0 10         3.1 11         3.1 11    
        4010.8 3        1.80 20        1.80 20         0.0            0.0       
          4100            1.0 5        0.40 20         -0.6 5         -0.6 5    
        4287.0 4        0.90 20          0.9 3         0.0            0.0       
          4400            0.5 4          3.4 4          2.9 5          2.9 5    
        4834.6 3        0.70 20          1.2 3          0.5 4          0.5 4    
      6107.78 10         0.0              92 4           92 4           92 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           101 5          101 5    
             TOTAL UNPLACED GAMMA INTENSITY =         13.5 12                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
