  38CL    37CL(N,G) E=THERMAL           73SP06                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       0.553 23         0.0            0.0            0.0       
       671.24 11        0.050 3        0.050 3         0.0            0.0       
        755.30 7        0.123 7        0.118 8        -0.0           -0.0       
       1308.77 8        0.060 4        0.062 4         0.0            0.0       
       1617.15 7        0.098 9        0.100 5         0.0            0.0       
      1692.22 10        0.057 4        0.093 6        0.036 8        0.036 8    
      1745.43 13        0.021 3      0.0244 21        0.003 4        0.003 4    
      1784.77 11      0.0129 17      0.0089 10     -0.0040 20     -0.0040 20    
      1941.85 21       0.0040 9       0.0028 8     -0.0012 12     -0.0012 12    
       1980.99 7        0.087 9       0.238 17       0.151 19       0.151 19    
       2742.87 9       0.036 10      0.0325 22        -0.0           -0.0       
        2894.0 4      0.0041 12      0.0069 10      0.0028 16      0.0028 16    
        2956.4 4         0.0          0.0016 8       0.0016 8       0.0016 8    
       3538.4 10       0.0016 9      0.0062 25        0.005 3        0.005 3    
        3564.5 3       0.093 21      0.0046 17      -0.088 21      -0.088 21    
      3684.79 20      0.0099 21        0.015 4        0.005 4        0.005 4    
      3756.26 23      0.0045 12       0.0012 7     -0.0033 14     -0.0033 14    
      3822.09 17        0.009 3      0.0050 17       -0.005 4       -0.005 4    
        3862.5 3      0.0050 21      0.0050 17         0.0            0.0       
      3893.29 11        0.024 8        0.021 5         0.0            0.0       
      3973.88 21        0.012 4        0.008 5       -0.004 6       -0.004 6    
      4011.27 14        0.007 3      0.0021 12       -0.005 3       -0.005 3    
      4073.15 18      0.0041 25      0.0016 10       -0.003 3       -0.003 3    
        4287.7 3       0.035 10      0.0037 16      -0.031 10      -0.031 10    
        4405.8 4       0.070 25        0.014 4      -0.056 25      -0.056 25    
      4834.69 18      0.0029 12      0.0049 16      0.0020 20      0.0020 20    
       6107.73 9         0.0            0.55 4         0.55 4         0.55 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          0.55 5         0.55 5    
             TOTAL UNPLACED GAMMA INTENSITY =            56 5                   
              NORMALIZATION UNCERTAINTY (%) =    .1695                          
