  36CL    35CL(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           43 3         0.0            0.0            0.0       
      788.4374 4         6.62 9            6 3         0.0            0.0       
     1164.8857 5        11.5 22        11.77 9         0.0            0.0       
    1601.1114 19         1.62 3       2.054 21         0.43 4         0.43 4    
     1951.1970 6       13.29 11        14.3 22         1.0 22         1.0 22    
    1959.4044 18         5.19 7         5.82 5         0.63 9         0.63 9    
     2468.2744 7       11.03 15       10.27 10       -0.75 18       -0.75 18    
      2492.316 4       0.494 25       0.589 10         0.10 3         0.10 3    
      2518.410 5        0.108 3         0.0          -0.108 3       -0.108 3    
     2676.426 13       0.678 24       0.692 13         0.01 3         0.01 3    
      2810.589 4       0.367 11        0.367 9         0.0            0.0       
      2863.945 6         2.70 5         2.77 4         0.07 7         0.07 7    
      2896.337 3        0.171 8       0.615 16       0.444 18       0.444 18    
      2994.688 7       0.217 16       0.416 13       0.199 20       0.199 20    
    3100.7180 21        0.098 7        0.125 4        0.028 8        0.028 8    
      3332.307 5       0.516 19       0.588 13       0.072 23       0.072 23    
       3470.02 3       0.194 13        0.112 9      -0.082 16      -0.082 16    
      3599.544 4         1.67 3       1.723 23         0.05 4         0.05 4    
     3634.992 17       0.713 15       0.607 19      -0.106 25      -0.106 25    
     3660.333 25        0.100         0.194 10       0.094 14       0.094 14    
       3941.31 4        0.040 7        0.021 4       -0.018 8       -0.018 8    
     3962.915 19       0.273 15       0.306 15       0.033 21       0.033 21    
       4031.90 3       0.251 13       0.255 17         0.0            0.0       
     4061.487 21        0.098 9       0.128 10       0.030 13       0.030 13    
     4138.986 16       0.478 16       0.186 10      -0.292 19      -0.292 19    
       4205.66 5        0.049 9        0.116 9       0.067 12       0.067 12    
       4299.68 4        0.025 5         0.0          -0.025 5       -0.025 5    
      4315.63 10        0.044 3        0.028 7       -0.016 7       -0.016 7    
       4410.06 3        0.116 8        0.077 9      -0.040 12      -0.040 12    
       4496.75 3       0.322 13        0.063 5      -0.259 14      -0.259 14    
     4525.192 20       0.261 12       0.253 12      -0.008 17      -0.008 17    
       4551.43 7        0.084 9        0.046 7      -0.038 11      -0.038 11    
       4598.49 5       0.438 16       0.366 12      -0.073 20      -0.073 20    
       4754.35 4       0.335 14        0.190 9      -0.145 17      -0.145 17    
     4758.001 20       0.420 15       0.323 14      -0.096 20      -0.096 20    
       4829.55 4        0.128 8       0.129 10         0.0            0.0       
       4997.20 3        0.059 7        0.038 7       -0.021 9       -0.021 9    
       5018.09 3         0.29 7       0.284 14         0.0            0.0       
       5079.15 4        0.129 8        0.057 8      -0.073 11      -0.073 11    
     5150.634 22       0.343 11       0.341 16         0.0            0.0       
       5204.60 4       0.231 11       0.391 20       0.160 23       0.160 23    
       5246.62 4       0.311 11       0.152 15      -0.160 18      -0.160 18    
       5263.11 9        0.116 8       0.125 12       0.009 14       0.009 14    
       5329.16 5        0.100 8        0.022 5       -0.078 *       -0.078 *    
     5463.541 23       0.380 11       0.350 17      -0.030 20      -0.030 20    
       5473.73 5          0.2 3       0.054 10         -0.1 3         -0.1 3    
     5517.664 17       1.460 25         1.30 4        -0.16 5        -0.16 5    
     5563.560 20       0.437 13       0.321 13      -0.116 18      -0.116 18    
     5578.473 20       0.281 11        0.086 9      -0.195 14      -0.195 14    
       5604.31 3       0.483 16         0.37 4        -0.11 4        -0.11 4    
       5703.06 3        0.212 9       0.181 15      -0.032 17      -0.032 17    
     5734.044 14       0.471 13       0.252 17      -0.219 22      -0.219 22    
       5778.48 5       0.238 11       0.156 13      -0.082 17      -0.082 17    
     5956.690 25        0.232 9       0.203 16      -0.029 18      -0.029 18    
       6042.32 3        0.165 9         0.0          -0.165 9       -0.165 9    
       6089.89 5        0.185 9       0.195 14       0.011 17       0.011 17    
       6184.94 5        0.073 7        0.046 9      -0.026 11      -0.026 11    
       6253.56 4        0.090 7          0.2 3         0.0            0.0       
     6268.190 19       0.347 11         0.40 7         0.06 7         0.06 7    
       6339.88 4        0.083 5         0.0          -0.083 5       -0.083 5    
       6344.42 5        0.074 5       0.059 13      -0.015 14      -0.015 14    
       6354.90 4        0.048 7        0.038 7       -0.009 9       -0.009 9    
     6379.483 20        0.165 8       0.084 11      -0.081 13      -0.081 13    
     6423.391 19       0.269 11       0.169 15      -0.100 18      -0.100 18    
       6487.75 4        0.095 7       0.048 11      -0.048 12      -0.048 12    
       6538.21 3        0.158 7       0.157 12         0.0            0.0       
     6544.972 18        0.326 9        0.077 9      -0.249 13      -0.249 13    
       6604.34 4         0.0          0.074 10       0.074 10       0.074 10    
     6642.651 22         0.0          0.104 12       0.104 12       0.104 12    
       6773.21 5        0.078 7        0.051 9      -0.026 11      -0.026 11    
       6836.49 3        0.119 7       0.135 11       0.016 13       0.016 13    
       6952.61 4        0.127 8       0.119 12      -0.008 15      -0.008 15    
       7082.65 4        0.090 7         0.0          -0.090 7       -0.090 7    
       7559.17 5        0.045 4        0.029 8       -0.016 9       -0.016 9    
      8579.669 9         0.0          43.64 23       43.64 23       43.64 24    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            43 4           43 4    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0909                          
