  60CO    59CO(N,G), (POL N,G) E=TH     1984KO29                  93ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        99.8 16         0.0            0.0            0.0       
       58.546 14       51.97 24        51.9 16         0.0            0.0       
      277.173 13       14.47 13        15.36 8        0.88 15        0.88 15    
      288.369 14       15.51 13        16.70          1.18 16        1.18 16    
        435.71 3         3.37 7         4.40 4         1.02 8         1.02 8    
        506.19 3         6.67           7.74          1.07 14        1.07 14    
      542.787 19        4.10 13         4.88 6        0.79 14        0.79 14    
      614.523 13       13.94 20       13.65 11       -0.28 23       -0.28 23    
      738.757 18         1.22 4       1.113 12        -0.11 4        -0.11 4    
       785.706 9       11.45 21        11.16 9       -0.29 22       -0.29 22    
     1003.879 15       0.539 19         4.61 5         4.07 5         4.07 5    
     1005.767 14          8.5 4         4.89 3         -3.6 4         -3.6 4    
      1132.13 16       0.156 15       0.223 12       0.067 19       0.067 19    
       1150.69 4       0.231 19        0.189 8      -0.042 21      -0.042 21    
     1207.806 20         0.93 4         1.39 4         0.47 5         0.47 5    
      1216.39 16       0.119 19          0.6 3          0.4 3          0.4 3    
       1216.84 3         1.11 3       1.954 22         0.84 4         0.84 4    
     1341.834 25         0.75 4       0.842 20         0.09 4         0.09 4    
       1379.78 6         0.0            0.50 3         0.50 3         0.50 3    
       1380.95 3         0.72 4       0.680 20        -0.04 4        -0.04 4    
       1451.18 3       0.663 23       0.419 10      -0.244 25      -0.244 25    
       1508.32 8         0.33 3        0.150          -0.18 3        -0.18 3    
     1515.797 11        7.69 15        7.88 17        0.19 23        0.19 23    
     1565.919 21         2.13 6         2.33 6         0.20 8         0.20 8    
     1639.852 22       0.674 24       0.616 14        -0.06 3        -0.06 3    
       1686.20 4        0.061 8        0.252 9       0.191 12       0.191 12    
      1709.62 12       0.322 17       0.142 13      -0.180 21      -0.180 21    
     1749.273 20         2.59 6         2.26 5        -0.33 8        -0.33 8    
       1787.57 3         0.76 3         0.63 7        -0.13 7        -0.13 7    
       1799.95 3       0.438 11         0.99 3         0.55 4         0.55 4    
       1808.86 8         1.18 7        0.44 11       -0.74 13       -0.74 13    
     1830.892 19        7.85 17        6.48 21         -1.4 3         -1.4 3    
       1833.22 3       0.089 16         1.02 3         0.93 4         0.93 4    
     1852.746 24         1.16 4         1.55 6         0.39 7         0.39 7    
       1877.17 4         1.14 3         0.75 3        -0.40 5        -0.40 5    
     1888.895 25         1.30 3       0.937 24        -0.36 4        -0.36 4    
      1924.22 19       0.109 13       0.081 12      -0.028 18      -0.028 18    
       1981.19 4       0.544 15         0.76 3         0.21 4         0.21 4    
      1983.75 10       0.059 12        0.543 8       0.484 14       0.484 14    
      2032.62 10       0.210 12        0.085 8      -0.125 14      -0.125 14    
      2045.45 11        0.099         0.148 14       0.049 17       0.049 17    
       2080.96 9       0.540 19       0.246 19        -0.29 3        -0.29 3    
       2121.80 5       0.724 21       0.365 20        -0.36 3        -0.36 3    
