  60CO    59CO(N,G), (POL N,G) E=TH     1984KO29                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         38.4 3         0.0            0.0            0.0       
       58.483 21       20.76 14       20.76 20         0.0            0.0       
      277.161 17         5.41 5         6.77 8         1.36 9         1.36 9    
      288.363 21         6.13 6         7.18 8        1.05 10        1.05 10    
      435.678 17         1.22 8       1.993 18         0.78 8         0.78 8    
        506.20 3        1.66 13         3.42 4        1.76 14        1.76 14    
      542.742 23         1.60 9       2.098 19         0.49 9         0.49 9    
      614.458 21         4.93 7         5.99 6         1.06 9         1.06 9    
        738.64 3       0.238 12        0.463 6       0.225 13       0.225 13    
      785.634 21         4.14 6         4.75 8        0.61 10        0.61 10    
     1003.805 24       0.339 10         2.00 4         1.66 4         1.66 4    
     1005.677 22         3.17 5       2.083 22        -1.08 6        -1.08 6    
       1132.60 4        0.052 7        0.021 5       -0.031 9       -0.031 9    
       1150.67 6       0.081 17        0.079 8         0.0            0.0       
       1207.78 3       0.334 24       0.610 25         0.28 4         0.28 4    
      1216.45 18       0.052 15        0.24 22        0.19 22        0.19 22    
       1216.85 3       0.369 14       0.160 10      -0.209 17      -0.209 17    
       1341.71 7       0.292 25       0.327 12         0.04 3         0.04 3    
       1379.76 6         0.0            0.22 7         0.22 7         0.22 7    
       1380.90 6       0.249 12       0.277 12       0.028 17       0.028 17    
       1451.12 4       0.191 14        0.177 5      -0.014 15      -0.014 15    
      1508.01 12       0.116 20        0.069 5      -0.047 21      -0.047 21    
     1515.741 25          3.0 4         2.45 3         -0.5 4         -0.5 4    
       1565.84 4       0.700 18       0.744 25         0.04 3         0.04 3    
       1639.70 4       0.229 13        0.279 9       0.050 16       0.050 16    
       1686.06 6        0.032 4        0.121 7        0.089 8        0.089 8    
      1709.55 13       0.124 10        0.065 4      -0.059 11      -0.059 11    
       1749.22 3       0.831 23       0.673 22        -0.16 3        -0.16 3    
       1787.48 4       0.286 19         0.23 5        -0.06 5        -0.06 5    
       1799.95 4        0.024 6        0.269 7        0.245 9        0.245 9    
       1808.85 7       0.263 11        0.211 7      -0.052 13      -0.052 13    
