  60CO    59CO(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       37.00 24         0.0            0.0            0.0       
        58.537 9       19.80 14       19.80 20         0.0            0.0       
       277.189 8         5.41 5         6.77 8         1.36 9         1.36 9    
      288.384 10         6.16 6         7.18 8         1.02 *         1.02 *    
       435.696 9       0.882 21       1.993 18         1.11 3         1.11 3    
      506.252 14        2.29 13         3.42 4        1.13 14        1.13 14    
      542.784 11       1.407 24       2.098 19         0.69 3         0.69 3    
      614.491 10         4.87 6         5.99 6         1.12 9         1.12 9    
      738.666 17       0.360 12        0.463 6       0.103 14       0.103 14    
      785.630 11         4.14 6         4.69 8        0.55 10        0.55 10    
     1003.826 14        0.339         1.018 14       0.679 17       0.679 17    
     1005.689 12         3.17 5       2.083 22        -1.08 6        -1.08 6    
     1132.621 20        0.038 5        0.143 6        0.105 8        0.105 8    
      1150.56 12        0.019 6        0.079 8       0.060 10       0.060 10    
       1207.69 3       0.299 13       0.610 25         0.31 3         0.31 3    
      1216.39 16         0.0            0.0            0.0            0.0       
       1216.87 5       0.369 14       0.820 16       0.451 21       0.451 21    
       1341.59 3        0.186 9       0.327 12       0.141 15       0.141 15    
       1379.78 6         0.0            0.0            0.0            0.0       
       1380.81 5       0.249 12       0.277 12       0.028 17       0.028 17    
     1451.000 25       0.191 14        0.177 5      -0.014 15      -0.014 15    
       1507.99 7        0.036 6        0.069 5        0.033 8        0.033 8    
     1515.660 14          3.0 4         2.45 3         -0.5 4         -0.5 4    
     1565.770 22       0.700 18       0.638 11      -0.062 21      -0.062 21    
       1639.65 3       0.229 13        0.279 9       0.050 16       0.050 16    
       1685.85 7        0.032 4        0.121 7        0.089 8        0.089 8    
      1709.57 10        0.100 4        0.065 4       -0.035 6       -0.035 6    
       1749.07 4       0.831 23       0.673 22        -0.16 3        -0.16 3    
       1787.45 4       0.222 11        0.146 6      -0.076 12      -0.076 12    
       1799.92 4       0.207 10        0.269 7       0.062 12       0.062 12    
       1808.81 4       0.263 11        0.211 7      -0.052 13      -0.052 13    
       1830.82 3         1.89 6       1.824 24        -0.07 7        -0.07 7    
       1833.20 9         0.0            0.30 8         0.30 8         0.30 8    
       1852.74 3       0.416 16       0.456 10       0.040 19       0.040 19    
       1877.12 4       0.399 15        0.216 8      -0.183 17      -0.183 17    
     1888.755 25       0.434 16       0.525 12       0.091 20       0.091 20    
      1924.10 18         0.0           0.034 4        0.034 4        0.034 4    
       1981.24 8       0.163 11       0.214 14       0.051 18       0.051 18    
       1984.09 9        0.028 5      0.0116 13       -0.016 5       -0.016 5    
