  51CR    50CR(N,G),(POL N,G) E=THERMAL 1974KOYY,1972KO15,1972LO2697ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           96 8         0.0            0.0            0.0       
       749.02 12           53 4           81 8           28 9           28 9    
           780             35 3         0.0             -35 3          -35 3    
        1352.6 3        2.20 21        0.93 16         -1.3 3         -1.3 3    
        1899.0 3        15.2 14        18.3 15         3.1 21         3.1 21    
        2001.6 5        2.68 24        2.12 20         -0.6 3         -0.6 3    
        2828.1 4         0.27 7        0.73 10        0.45 12        0.45 12    
        2889.8 3          4.0 4          6.4 5          2.3 6          2.3 6    
        2908.2 5         0.07 4         0.07 4         0.0            0.0       
          3100           0.21 5         0.28 7         0.07 9         0.07 9    
        3125.6 3          8.2 8          7.8 8        -0.4 12        -0.4 12    
        3348.5 5         0.26 6         0.09 4        -0.17 7        -0.17 7    
        3766.7 3        2.17 21          2.1 3         0.0            0.0       
        3770.6 3        1.78 19        1.59 21         -0.2 3         -0.2 3    
        3970.9 6         0.16 4         0.36 8         0.20 9         0.20 9    
        4039.6 3          2.3 3          2.7 3          0.4 4          0.4 4    
          4300           0.42 9        0.61 20        0.18 22        0.18 22    
        4560.7 6         0.14 4         0.14 6         0.0            0.0       
        4636.6 3        1.11 20        1.05 16         0.0            0.0       
        4769.7 3        0.65 13        0.70 17         0.0            0.0       
        4833.5 4         0.31 7         0.25 5        -0.06 9        -0.06 9    
        5204.4 5         0.14 4         0.07 4        -0.07 6        -0.07 6    
       5239.6 11         0.0            0.0            0.0            0.0       
        5668.0 3        0.91 20         0.71         -0.20 22       -0.20 22    
        5955.7 7         0.07 4         0.0           -0.07 4        -0.07 4    
        7208.4 5         0.09 3         0.20 5         0.11 6         0.11 6    
        7247.9 5        0.81 20         0.42 7       -0.38 21       -0.38 21    
      9261.67 22         0.0             100 5          100 5          100 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            96 *           96 *    
             TOTAL UNPLACED GAMMA INTENSITY =         1.82 22                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
