  51CR    50CR(N,G),(POL N,G) E=THERMAL 1974KOYY,1972KO15,1972LO26               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       15.73 21         0.0            0.0            0.0       
        749.10 3         13.2 3       13.09 21         0.0            0.0       
        777.07 8        5.54 17        5.36 17       -0.18 24       -0.18 24    
      1164.84 12         0.0           0.037 5        0.037 5        0.037 5    
       1353.07 5       0.357 24       0.403 16         0.05 3         0.05 3    
       1898.94 3        2.27 13         2.60 5        0.33 14        0.33 14    
       2001.10 5        0.63 14       0.458 23       -0.17 14       -0.17 14    
        2828.4 3       0.044 13       0.127 20       0.083 24       0.083 24    
       2890.05 7          0.6 4        0.94 15          0.3 4          0.3 4    
        2908.2 4        0.012 7        0.012 7         0.0            0.0       
      3055.59 19        0.035 9        0.060 9       0.025 13       0.025 13    
       3125.65 5         1.86 9         1.42 8       -0.44 12       -0.44 12    
        3348.1 5       0.041 12       0.035 14        -0.0           -0.0       
      3766.32 11         0.39 7         0.40 3         0.0            0.0       
      3770.46 12         0.55 9       0.331 20        -0.22 9        -0.22 9    
        3970.9 5        0.025 9        0.035 7       0.009 12       0.009 12    
      4039.62 11         0.42 4         0.43 3         0.0            0.0       
        4289.6 3       0.069 18       0.179 23         0.11 3         0.11 3    
        4560.9 3        0.021 7       0.062 12       0.041 13       0.041 13    
      4636.30 17       0.170 21         0.23 3         0.06 4         0.06 4    
      4769.55 23       0.179 21       0.133 25        -0.05 3        -0.05 3    
        4833.5 3       0.051 14        0.041 9      -0.009 17      -0.009 17    
        5204.2 3       0.044 14        0.012 7      -0.032 15      -0.032 15    
       5239.6 13         0.0            0.0            0.0            0.0       
      5667.72 16       0.166 14       0.113 18      -0.053 23      -0.053 23    
        5955.2 6         0.0            0.0            0.0            0.0       
        7207.9 4        0.014 7        0.032 9       0.018 12       0.018 12    
      7248.04 19       0.129 14       0.067 15      -0.062 20      -0.062 20    
       9260.63 8         0.0            16.0 5         16.0 5         16.0 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          15.7 6         15.7 6    
             TOTAL UNPLACED GAMMA INTENSITY =            41 5                   
              NORMALIZATION UNCERTAINTY (%) =    .3042                          
