  54CR    53CR(N,G),(POL N,G) E=TH,RES  1989HO15,1988LI30,1994CO0993ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 4         0.0            0.0            0.0       
      834.862 18        75.7 23           79 4            3 5            3 5    
       1823.94 3         0.37 3         0.76 5         0.39 6         0.39 6    
       2619.68 3         10.2 4        10.34 8         0.0            0.0       
       2829.55 4        3.11 17        2.93 15       -0.18 22       -0.18 22    
       3074.03 4         10.6 6         11.1 6          0.6 9          0.6 9    
       3159.22 6       0.040 20       0.060 10       0.020 22       0.020 22    
       3393.44 6        1.24 12         1.82 9        0.58 15        0.58 15    
       3436.86 5        2.29 14        2.38 13        0.09 19        0.09 19    
        3656.1 5         0.0            0.0            0.0            0.0       
       3719.97 4          5.0 3        5.05 22         0.0            0.0       
        3786.7 7         0.0            0.0            0.0            0.0       
        3799.4 6         0.0            0.0            0.0            0.0       
       3861.00 5         1.21 8         1.25 6        0.04 10        0.04 10    
       3925.55 7         0.22 5         0.35 5         0.13 7         0.13 7    
       3927.69 7         0.61 7         0.52 7       -0.09 10       -0.09 10    
       4012.86 6        1.35 11         1.40 8        0.05 14        0.05 14    
       4083.20 5         0.28 5         0.28 3         0.0            0.0       
      4126.68 15       0.040 20         0.0         -0.040 20      -0.040 20    
       4127.13 7       0.060 10         0.19 4         0.13 4         0.13 4    
        4190.8 4         0.0            0.0            0.0            0.0       
       4217.54 4       0.130 20         0.24 4         0.11 5         0.11 5    
        4239.1 5         0.0            0.0            0.0            0.0       
        4256.4 3         0.0            0.0            0.0            0.0       
       4380.72 9         0.46 5         0.32 4        -0.14 6        -0.14 6    
        4453.6 4         0.0            0.0            0.0            0.0       
        4458.4 4         0.0            0.0            0.0            0.0       
        4571.2 6         0.0            0.0            0.0            0.0       
       4633.52 9         0.23 6       0.240 20         0.0            0.0       
        4844.9 6         0.0            0.0            0.0            0.0       
       4872.33 5         1.96 7         1.68 9       -0.28 11       -0.28 11    
        5113.6 4         0.0            0.0            0.0            0.0       
      5189.57 10         0.19 5       0.020 10        -0.17 5        -0.17 5    
       5226.20 7         0.13 5         0.21 3         0.08 6         0.08 6    
       5268.45 8         0.45 5         0.35 4        -0.10 7        -0.10 7    
        5291.3 4         0.0            0.0            0.0            0.0       
       5294.44 8         0.58 6         0.67 6         0.09 9         0.09 9    
        5345.6 8         0.0            0.0            0.0            0.0       
       5586.84 6         0.48 5         0.45 6        -0.03 8        -0.03 8    
      5821.46 10       0.110 20       0.100 20        -0.01 3        -0.01 3    
      5856.35 11         0.39 5         0.16 6        -0.23 8        -0.23 8    
       6143.56 9         0.20 4       0.130 22        -0.07 5        -0.07 5    
       6316.38 6         0.17 7         0.07 3        -0.10 8        -0.10 8    
       9720.13 4         0.0           96.0 25        96.0 25        96.0 25    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 5          100 5    
             TOTAL UNPLACED GAMMA INTENSITY =          0.85 8                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
