  54CR    53CR(N,G),(POL N,G) E=TH,RES  1989HO15,1988LI30,1994CO09               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         19.0 4         0.0            0.0            0.0       
      834.856 22         14.1 5         14.5 3          0.4 6          0.4 6    
       1823.94 3       0.145 11        0.146 5         0.0            0.0       
       2619.58 5        1.96 10       1.934 21         0.0            0.0       
       2829.42 6         0.58 3       0.574 15         0.0            0.0       
       3073.95 8        1.97 14         1.98 3         0.0            0.0       
       3159.21 7        0.007 4      0.0113 24        0.004 5        0.004 5    
      3393.11 11       0.233 25       0.322 10         0.09 3         0.09 3    
       3436.71 8         0.43 4       0.460 17         0.03 4         0.03 4    
        3656.1 6         0.0            0.0            0.0            0.0       
       3719.84 6         0.92 7         0.91 3         0.0            0.0       
        3786.7 8         0.0            0.0            0.0            0.0       
        3798.2 4         0.0           0.036 6        0.036 6        0.036 6    
       3860.93 8       0.280 22       0.261 11      -0.019 25      -0.019 25    
      3925.45 10       0.041 10        0.083 8       0.042 13       0.042 13    
      3927.64 10       0.149 13        0.103 6      -0.046 15      -0.046 15    
      4012.74 15         0.25 4        0.246 8         0.0            0.0       
       4083.14 7       0.052 10        0.054 5         0.0            0.0       
        4126.5 4         0.0            0.0            0.0            0.0       
      4126.58 19        0.007 4        0.013 3        0.005 5        0.005 5    
       4127.09 9       0.032 11        0.036 7         0.0            0.0       
        4190.8 5         0.0            0.0            0.0            0.0       
      4217.69 16        0.025 4        0.058 9       0.033 10       0.033 10    
        4238.9 4       0.056 14        0.018 4      -0.038 14      -0.038 14    
        4256.4 3        0.044 8         0.0          -0.044 8       -0.044 8    
      4380.54 14       0.071 12        0.062 5      -0.008 13      -0.008 13    
        4453.5 4         0.0            0.0            0.0            0.0       
        4458.4 5         0.0            0.0            0.0            0.0       
        4571.2 7         0.0            0.0            0.0            0.0       
      4633.37 11        0.051 8        0.043 3       -0.007 9       -0.007 9    
        4844.9 7         0.0           0.007 6        0.007 6        0.007 6    
       4872.20 8       0.364 16       0.324 21        -0.04 3        -0.04 3    
        5113.6 5         0.0            0.0            0.0            0.0       
      5189.50 12        0.048 5       0.029 10      -0.019 11      -0.019 11    
      5226.21 10       0.024 10        0.048 9       0.024 13       0.024 13    
      5268.43 11        0.082 8         0.55 3         0.47 3         0.47 3    
        5291.3 5         0.0            0.0            0.0            0.0       
      5294.26 19       0.124 10       0.124 13         0.0            0.0       
        5345.5 9         0.0            0.0            0.0            0.0       
       5586.71 9        0.094 7        0.080 9      -0.014 11      -0.014 11    
      5821.34 11       0.040 10        0.019 5      -0.021 11      -0.021 11    
      5856.27 15        0.072 6       0.029 13      -0.042 14      -0.042 14    
      6143.75 11        0.033 5        0.024 5       -0.008 7       -0.008 7    
       6316.30 8        0.028 5        0.013 6       -0.016 8       -0.016 8    
       9720.00 5         0.0            18.2 6         18.2 6         18.2 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          19.0 7         19.0 7    
             TOTAL UNPLACED GAMMA INTENSITY =          0.85 8                   
              NORMALIZATION UNCERTAINTY (%) =    .1805                          
