                                                                       
 
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.   241.87 4                       
    3.   517.68 5                       
    4.   565.90 4                       
    5.   880.75 9                       
    6.  1474.19 6                       
    7.  2083.83 13                      
    8.  2269.23 18                      
    9.  2686.98 14                      
   10.  2894.53 13                      
   11.  4044.24 21                      
   12.  6246.29 18                      
 
   GAMMA ENERGIES
       54CR(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
           104.75 18           104.75 18     0  0                                                                                   
           211.66 12           211.66 12     0  0                                                                                   
            241.85 6            241.87 4     2  1                                                                                   
            324.03 5            324.03 4     4  2                                                                                   
           351.65 14           351.65 14     0  0                                                                                   
            517.68 5            517.68 5     3  1                                                                                   
            565.89 5            565.90 4     4  1                                                                                   
             575.6 4             575.6 4     0  0                                                                                   
            651.05 9            651.05 9     0  0                                                                                   
            840.93 7            840.93 7     0  0                                                                                   
           846.51 13           846.51 13     0  0                                                                                   
            880.74 9            880.74 9     5  1                                                                                   
            908.27 8            908.28 6     6  4                                                                                   
          1086.74 21          1086.74 21     0  0                                                                                   
            1197.2 4            1197.2 4     0  0                                                                                   
            1209.5 3            1209.5 3     0  0                                                                                   
          1232.21 11           1232.30 6     6  2                                                                                   
            1283.2 3            1283.2 3     0  0                                                                                   
          1298.69 15          1298.69 15     0  0                                                                                   
            1340.2 4            1340.2 4     0  0                                                                                   
            1343.6 3            1343.6 3     0  0                                                                                   
          1399.86 24          1399.86 24     0  0                                                                                   
          1419.55 21          1419.55 21     0  0                                                                                   
            1435.6 6            1435.6 6     0  0                                                                                   
          1474.28 12           1474.16 6     6  1                                                                                   
            1630.6 3            1630.6 3     0  0                                                                                   
          1647.03 24          1647.03 24     0  0                                                                                   
            1660.1 5            1660.1 5     0  0                                                                                   
          1664.87 24          1664.87 24     0  0                                                                                   
            1689.1 3            1689.1 3     0  0                                                                                   
            1695.9 5            1695.9 5     0  0                                                                                   
          1703.19 23          1703.30 18     8  4                                                                                   
            1803.7 6            1803.7 6     0  0                                                                                   
            1816.4 3            1816.4 3     0  0                                                                                   
          1842.05 21          1841.93 13     7  2                                                                                   
            1873.3 4            1873.3 4     0  0                                                                                   
            1908.3 3            1908.3 3     0  0                                                                                   
          2078.29 18          2078.29 18     0  0                                                                                   
          2083.70 17          2083.79 13     7  1                                                                                   
          2120.97 19          2121.03 14     9  4                                                                                   
          2143.61 16          2143.61 16     0  0                                                                                   
          2202.00 14          2202.00 13    12 11                                                                                   
            2269.4 3          2269.18 18     8  1                                                                                   
          2328.66 16          2328.57 13    10  4                                                                                   
          2379.48 15          2379.48 15     0  0                                                                                   
            2408.6 4            2408.6 4     0  0                                                                                   
            2444.9 3          2445.05 14     9  2                                                                                   
          2454.86 24          2454.86 24     0  0                                                                                   
            2457.8 3            2457.8 3     0  0                                                                                   
            2463.9 3            2463.9 3     0  0                                                                                   
            2576.5 7            2576.5 7     0  0                                                                                   
            2652.4 3          2652.59 13    10  2                                                                                   
            2687.0 3          2686.91 14     9  1                                                                                   
            2697.4 3            2697.4 3     0  0                                                                                   
            2718.0 6            2718.0 6     0  0                                                                                   
            2782.0 8            2782.0 8     0  0                                                                                   
            2894.3 3          2894.44 13    10  1                                                                                   
            2912.3 9            2912.3 9     0  0                                                                                   
            2930.6 3            2930.6 3     0  0                                                                                   
            3019.0 9            3019.0 9     0  0                                                                                   
            3221.1 4            3221.1 4     0  0                                                                                   
           3267.1 12           3267.1 12     0  0                                                                                   
            3351.5 7          3351.66 21    12 10                                                                                   
            3478.1 7          3478.23 21    11  4                                                                                   
            3506.0 8            3506.0 8     0  0                                                                                   
           3524.5 16           3524.5 16     0  0                                                                                   
            3548.5 5            3548.5 5     0  0                                                                                   
    (1      3558.6 5          3559.19 21    12  9                                                                                   
            3659.5 9            3659.5 9     0  0                                                                                   
           3791.2 11           3791.2 11     0  0                                                                                   
            3801.6 6            3801.6 6     0  0                                                                                   
            3977.0 6          3976.91 24    12  8                                                                                   
            4044.1 5          4044.08 21    11  1                                                                                   
            4162.2 5          4162.29 21    12  7                                                                                   
            4219.5 8            4219.5 8     0  0                                                                                   
            4466.3 7            4466.3 7     0  0                                                                                   
            4771.8 4          4771.89 18    12  6                                                                                   
           4868.8 10           4868.8 10     0  0                                                                                   
            5047.3 7            5047.3 7     0  0                                                                                   
            5421.3 5            5421.3 5     0  0                                                                                   
           5586.1 13           5586.1 13     0  0                                                                                   
            5680.4 5          5680.08 18    12  4                                                                                   
            6004.4 6          6004.07 18    12  2                                                                                   
            6246.4 6          6245.91 18    12  1                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .4386         F= 17
      CHISQ/F =  .4386      (FIT OF   29GAMMAS -  11LEVELS)
