  54CR    53CR(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         16.2 3         0.0            0.0            0.0       
      834.862 18         5.69 6         14.5 3          8.8 3          8.8 3    
       1823.94 3       0.137 11        0.147 6       0.011 13       0.011 13    
       2619.68 3       0.402 14         1.94 3         1.53 4         1.53 4    
       2829.55 4        0.117 8       0.581 17       0.464 19       0.464 19    
       3074.03 4        0.038 5         1.97 3         1.93 3         1.93 3    
       3159.22 6         0.0            0.0            0.0            0.0       
       3393.44 6         0.0          0.312 12       0.312 12       0.312 12    
       3436.86 5        0.095 6       0.458 16       0.363 17       0.363 17    
        3656.1 5         0.0            0.0            0.0            0.0       
       3719.97 4         0.0            0.88 3         0.88 3         0.88 3    
        3786.7 7         0.0            0.0            0.0            0.0       
        3799.4 6         0.0           0.036 6        0.036 6        0.036 6    
       3861.00 5       0.280 22        0.264        -0.016 24      -0.016 24    
       3925.55 7         0.0           0.068 8        0.068 8        0.068 8    
       3927.69 7       0.145 14        0.104 7      -0.041 16      -0.041 16    
       4012.86 6         0.0          0.237 11       0.237 11       0.237 11    
       4083.20 5        0.040 4        0.056 7        0.016 8        0.016 8    
      4126.68 15        0.089 4         0.0          -0.089 4       -0.089 4    
       4127.13 7        0.033 5        0.013 3       -0.020 6       -0.020 6    
        4190.8 4         0.0            0.0            0.0            0.0       
       4217.54 4       0.035 14        0.033 5         0.0            0.0       
        4239.1 5       0.056 14        0.018 4      -0.038 14      -0.038 14    
        4256.4 3        0.044 8         0.0          -0.044 8       -0.044 8    
       4380.72 9        0.020 3        0.065 8        0.045 9        0.045 9    
        4453.6 4         0.0            0.0            0.0            0.0       
        4458.4 4         0.0            0.0            0.0            0.0       
        4571.2 6         0.0            0.0            0.0            0.0       
       4633.52 9       0.056 13        0.039 5      -0.017 14      -0.017 14    
        4844.9 6         0.0           0.007 6        0.007 6        0.007 6    
       4872.33 5       0.296 18       0.343 18       0.047 25       0.047 25    
        5113.6 4         0.0            0.0            0.0            0.0       
      5189.57 10        0.051 6        0.025        -0.025 11      -0.025 11    
       5226.20 7         0.0           0.045 8        0.045 8        0.045 8    
       5268.45 8       0.077 15         0.51 3         0.43 3         0.43 3    
        5291.3 4         0.0            0.0            0.0            0.0       
       5294.44 8       0.118 13        0.028 7      -0.089 15      -0.089 15    
        5345.6 8         0.0            0.0            0.0            0.0       
       5586.84 6       0.099 12       0.187 10       0.088 16       0.088 16    
      5821.46 10        0.042 7         0.0          -0.042 7       -0.042 7    
      5856.35 11        0.069           0.0          -0.069 *       -0.069 *    
       6143.56 9        0.027 6         0.0          -0.027 6       -0.027 6    
       6316.38 6        0.027 5         0.0          -0.027 5       -0.027 5    
       9720.13 4         0.0            1.40 5         1.40 5         1.40 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          16.2 3         16.2 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .1805                          
