  64CU    63CU(N,G), (POL N,G) E=TH     1983DE28                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           96 5         0.0            0.0            0.0       
       159.283 3         17.1 8        15.2 22        -1.9 24        -1.9 24    
       278.257 8         24.8 5           24 4         0.0            0.0       
       343.899 9        4.65 23          6.1 9          1.4 9          1.4 9    
       362.231 6        3.99 11          5.1 7          1.1 7          1.1 7    
      574.629 11        1.06 18         1.04 9         0.0            0.0       
       608.785 8        9.98 13          9.9 4         0.0            0.0       
        663.00 3         4.90 7          5.4 5          0.6 5          0.6 5    
       739.051 8         2.91 5         3.93 9         1.02 *         1.02 *    
      746.246 11         1.88 4         1.81 7        -0.07 8        -0.07 8    
      878.277 18         1.02 4         1.74 6         0.71 8         0.71 8    
      895.715 19         1.01 3        1.00 18         0.0            0.0       
       927.079 9         3.82 6        3.87 12        0.05 13        0.05 13    
     1241.091 12         2.17 4         1.66 4        -0.51 5        -0.51 5    
       1242.65 7       0.291 22         0.50 6         0.21 6         0.21 6    
       1287.15 5       0.216 24        0.170 6      -0.046 25      -0.046 25    
     1298.123 14         1.19 3       1.231 22         0.04 4         0.04 4    
     1320.329 20         0.91 3       0.732 20        -0.18 4        -0.18 4    
       1354.25 3       0.238 13       0.527 14       0.289 20       0.289 20    
       1363.21 8       0.309 13         0.0         -0.309 13      -0.309 13    
       1438.69 3       0.430 17       0.620 16       0.190 23       0.190 23    
      1461.35 13       0.155 16       0.060 10      -0.095 19      -0.095 19    
       1499.18 3         0.56 3       0.574 16         0.0            0.0       
     1521.147 19       1.392 25         1.10 3        -0.29 4        -0.29 4    
      1550.54 11       0.106 11        0.077 7      -0.029 13      -0.029 13    
       1594.22 3        0.051 7        0.390 9       0.339 11       0.339 11    
     1594.319 21         0.50 3       0.429 11        -0.07 4        -0.07 4    
       1607.31 4       0.440 15        0.043 4      -0.397 16      -0.397 16    
     1683.123 25       0.472 18       0.476 21         0.0            0.0       
       1700.65 5       0.236 12        0.157 9      -0.079 15      -0.079 15    
       1739.85 6        0.069 5        0.120 6        0.051 8        0.051 8    
       1742.59 4       0.318 21       0.295 15        -0.02 3        -0.02 3    
      1749.21 21       0.166 16         0.0         -0.166 16      -0.166 16    
       1768.99 6       0.383 11        0.089 8      -0.294 14      -0.294 14    
       1779.54 4       0.197 12       0.291 11       0.094 16       0.094 16    
       1852.65 3       0.662 19       0.533 21        -0.13 3        -0.13 3    
       1900.28 5       0.229 21       0.241 13       0.012 25       0.012 25    
     1905.093 14         1.78 3       0.933 17        -0.85 4        -0.85 4    
      1976.33 18        0.024 6        0.079 8       0.055 10       0.055 10    
       2050.00 8       0.144 11       0.125 11      -0.019 15      -0.019 15    
       2075.12 9        0.168 9       0.096 10      -0.072 13      -0.072 13    
      2092.26 16        0.348 9       0.079 10      -0.269 13      -0.269 13    
       2144.53 6       0.509 22       0.410 19        -0.10 3        -0.10 3    
      2254.07 11        0.127 6        0.080 9      -0.047 11      -0.047 11    
       2267.01 5       0.216 10       0.190 11      -0.026 15      -0.026 15    
       2274.27 8        0.088 6       0.151 13       0.063 14       0.063 14    
       2279.79 5       0.518 16        0.163 8      -0.355 18      -0.355 18    
       2301.09 6       0.494 16       0.259 17      -0.235 23      -0.235 23    
       2316.50 7       0.097 13       0.175 11       0.078 17       0.078 17    
      2324.75 13       0.142 14         0.0         -0.142 14      -0.142 14    
       2354.63 6         0.55 6        0.112 6        -0.44 6        -0.44 6    
      2360.47 11       0.274 13        0.036 6      -0.238 14      -0.238 14    
       2376.37 8        0.243 5       0.102 11      -0.141 12      -0.141 12    
      2387.95 11         0.45 4        0.053 7        -0.40 4        -0.40 4    
       2456.69 8        0.069 9        0.114 7       0.045 11       0.045 11    
      2465.47 10       0.158 11       0.128 11      -0.030 16      -0.030 16    
       2493.57 7       0.229 15       0.189 11      -0.040 19      -0.040 19    
     2497.587 25         1.99 3         1.22 3        -0.77 5        -0.77 5    
       2507.29 8       0.399 15         0.0         -0.399 15      -0.399 15    
       2533.66 7       0.188 21       0.139 15        -0.05 3        -0.05 3    
        2594.9 4       0.055 10         0.0         -0.055 10      -0.055 10    
      2635.53 11       0.250 17         0.33 4         0.08 4         0.08 4    
      2647.91 11       0.080 14        0.067 5      -0.013 15      -0.013 15    
       2657.34 5       1.031 24         1.24 7         0.21 7         0.21 7    
       2695.22 8         0.0           0.127 8        0.127 8        0.127 8    
       2717.97 9        0.089 7        0.041 7       -0.048 *       -0.048 *    
       2726.19 5       0.668 18       0.462 23        -0.21 3        -0.21 3    
       2732.33 8       0.652 19         0.33 3        -0.33 3        -0.33 3    
