  64CU    63CU(N,G), (POL N,G) E=TH     1983DE28                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         4.75 4         0.0            0.0            0.0       
       159.281 5        0.917 8       0.952 15       0.034 17       0.034 17    
      278.251 14        1.25 10       1.291 22         0.0            0.0       
      343.899 14        0.239 9        0.326 6       0.088 11       0.088 11    
       362.231 9        0.205 3        0.287 4        0.082 6        0.082 6    
      574.620 17      0.0586 20      0.0523 13     -0.0062 24     -0.0062 24    
      608.769 23       0.517 25        0.503 9        -0.01 3        -0.01 3    
        662.70 4        0.261 4        0.309 5        0.048 7        0.048 7    
        739.04 3        0.152 3      0.2057 25        0.054 4        0.054 4    
        746.20 5      0.0982 18      0.0966 20       -0.002 3       -0.002 3    
        878.18 5      0.0555 19        0.091 9        0.036 9        0.036 9    
        895.72 6      0.0525 24       0.0553 8      0.0028 25      0.0028 25    
        927.06 3        0.200 9        0.201 5         0.0            0.0       
       1241.01 3        0.113 3      0.0872 17       -0.026 4       -0.026 4    
       1242.62 9        0.095 5        0.026 3       -0.069 6       -0.069 6    
       1287.12 7      0.0113 13       0.0088 3     -0.0025 14     -0.0025 14    
       1298.11 3      0.0652 19      0.0640 18        -0.0           -0.0       
       1320.26 8      0.0474 15      0.0380 14     -0.0094 21     -0.0094 21    
       1354.21 4       0.0124 7       0.0281 7      0.0157 10      0.0157 10    
      1363.17 11      0.0165 12         0.0        -0.0165 12     -0.0165 12    
       1438.68 4      0.0224 10        0.044 9        0.022 9        0.022 9    
      1461.34 17       0.0081 9      0.0032 14     -0.0049 17     -0.0049 17    
       1499.14 4      0.0295 17      0.0316 13      0.0022 21      0.0022 21    
       1521.04 4      0.0727 14      0.0593 15     -0.0134 21     -0.0134 21    
      1550.30 18       0.0055 6       0.0039 3      -0.0016 7      -0.0016 7    
       1594.22 4      0.0065 12      0.0204 17      0.0139 21      0.0139 21    
       1594.23 4      0.0296 18       0.0222 6     -0.0074 19     -0.0074 19    
       1607.20 7       0.0228 8     0.00227 20      -0.0206 8      -0.0206 8    
       1683.01 7      0.0244 13      0.0241 12         0.0            0.0       
       1700.55 6      0.0160 16       0.0082 6     -0.0079 17     -0.0079 17    
       1739.83 9       0.0036 3       0.0063 3       0.0027 4       0.0027 4    
       1742.60 8      0.0166 12      0.0163 10         0.0            0.0       
        1749.1 3        0.019 3         0.0          -0.019 3       -0.019 3    
      1768.93 12       0.0199 8       0.0044 3      -0.0155 9      -0.0155 9    
       1779.52 6       0.0103 6       0.0156 8      0.0053 10      0.0053 10    
       1852.60 8      0.0344 10      0.0267 16     -0.0077 19     -0.0077 19    
       1900.26 7      0.0120 12       0.0124 7         0.0            0.0       
       1905.04 5      0.0930 18       0.0482 9     -0.0448 20     -0.0448 20    
      1976.30 23       0.0013 4       0.0042 4       0.0029 6       0.0029 6    
      2049.89 15       0.0075 7       0.0065 7     -0.0010 10     -0.0010 10    
      2075.08 14       0.0094 4       0.0053 4      -0.0040 6      -0.0040 6    
      2092.26 19        0.018 3       0.0048 6       -0.014 3       -0.014 3    
       2144.40 9      0.0265 12      0.0215 11     -0.0049 16     -0.0049 16    
      2254.07 14       0.0067 6       0.0042 6      -0.0025 8      -0.0025 8    
       2266.98 9       0.0114 5       0.0100 6      -0.0015 8      -0.0015 8    
      2274.11 13       0.0046 3       0.0081 7       0.0035 8       0.0035 8    
       2279.77 6       0.0269 8       0.0085 7     -0.0183 11     -0.0183 11    
      2300.92 12       0.0257 9       0.0132 7     -0.0126 11     -0.0126 11    
      2316.54 11       0.0051 6       0.0091 6       0.0040 8       0.0040 8    
      2324.72 17      0.0074 12         0.0        -0.0074 12     -0.0074 12    
       2354.54 8      0.0499 23       0.0058 4     -0.0441 24     -0.0441 24    
      2360.51 18       0.0142 7       0.0019 3      -0.0123 8      -0.0123 8    
      2376.24 13      0.0127 10       0.0087 8     -0.0040 13     -0.0040 13    
      2387.90 15      0.0236 22       0.0027 4     -0.0208 23     -0.0208 23    
      2456.67 11       0.0036 6       0.0059 9      0.0023 10      0.0023 10    
      2465.38 14       0.0081 6       0.0065 6      -0.0016 8      -0.0016 8    
      2493.44 12      0.0153 14       0.0098 7     -0.0055 15     -0.0055 15    
       2497.45 5      0.1038 18      0.0632 22       -0.041 3       -0.041 3    
      2507.26 17       0.0208 9      0.0029 12     -0.0179 14     -0.0179 14    
      2533.56 12      0.0098 13       0.0069 7     -0.0029 15     -0.0029 15    
        2595.0 5       0.0029 6      0.0020 12     -0.0009 13     -0.0009 13    
      2635.48 15       0.0129 9      0.0172 22      0.0043 23      0.0043 23    
      2647.89 15       0.0042 7       0.0035 3      -0.0007 8      -0.0007 8    
       2657.19 7      0.0538 13        0.058 3        0.004 3        0.004 3    
      2695.21 13         0.0          0.0067 4       0.0067 4       0.0067 4    
      2717.97 12       0.0047 4       0.0022 4      -0.0025 6      -0.0025 6    
      2726.11 11      0.0348 10      0.0306 22     -0.0043 25     -0.0043 25    
      2732.37 17      0.0338 10      0.0165 12     -0.0173 16     -0.0173 16    
      2763.95 15       0.0139 6      0.0149 11      0.0010 12      0.0010 12    
      2776.55 10       0.0094 9      0.0188 17      0.0094 19      0.0094 19    
      2830.39 11       0.0171 7      0.0155 10     -0.0016 13     -0.0016 13    
      2892.27 11      0.0095 17       0.0122 6      0.0026 18      0.0026 18    
      2896.77 12        0.031 3       0.0186 8       -0.012 3       -0.012 3    
      2932.37 13      0.0318 13      0.0146 10     -0.0172 16     -0.0172 16    
       3013.03 8      0.0080 10      0.0136 17      0.0056 20      0.0056 20    
      3033.74 16       0.0020 6       0.0036 3       0.0016 7       0.0016 7    
      3051.63 21      0.0137 20      0.0124 10     -0.0013 22     -0.0013 22    
      3080.42 13       0.0061 6       0.0094 9      0.0033 11      0.0033 11    
      3111.76 12       0.0061 7      0.0202 23      0.0142 24      0.0142 24    
        3125.4 3       0.0055 7         0.0         -0.0055 7      -0.0055 7    
      3191.08 14       0.0094 4       0.0067 6      -0.0027 7      -0.0027 7    
      3207.42 13       0.0045 6      0.0194 12      0.0149 13      0.0149 13    
