  66CU    65CU(N,G) E=THERMAL           1983DE29                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           99 5         0.0            0.0            0.0       
      185.953 14        29.3 12           39 5           10 5           10 5    
      237.822 10        4.03 11          3.8 3         -0.3 3         -0.3 3    
      275.031 16         17.3 4        11.2 11        -6.2 12        -6.2 12    
       385.782 9         18.1 3        18.4 10         0.0            0.0       
       465.164 9         20.7 4        22.1 10         1.4 11         1.4 11    
      590.749 19         2.06 8          3.9 3          1.8 3          1.8 3    
      729.824 17        4.33 10        4.35 24         0.0            0.0       
       822.690 9        6.08 12        6.31 12        0.23 17        0.23 17    
      1008.49 10         0.16 5        0.085 8        -0.08 5        -0.08 5    
     1017.139 14         2.91 8         4.25          1.33 12        1.33 12    
     1052.082 17         2.06 7         2.93 7        0.87 10        0.87 10    
       1158.09 3         1.01 4         0.74 4        -0.27 6        -0.27 6    
     1212.514 20        3.33 16         2.75 6       -0.58 17       -0.58 17    
     1247.152 24         1.17 7         1.82 3         0.66 8         0.66 8    
     1344.012 22         1.28 4         1.32 4         0.04 6         0.04 6    
     1439.408 25         1.68 5         1.86 7         0.18 8         0.18 8    
       1547.39 3         0.90 4         1.19 4         0.30 6         0.30 6    
       1560.15 8         0.37 3       0.178 20        -0.19 3        -0.19 3    
       1577.34 4         0.93 6         0.39 3        -0.55 7        -0.55 7    
     1678.001 25         1.19 4         1.37 7         0.19 8         0.19 8    
       1694.07 5       0.607 24         0.41 5        -0.19 5        -0.19 5    
       1713.20 6         0.28 3       0.258 15        -0.02 3        -0.02 3    
       1735.96 6       0.251 24       0.215 13        -0.04 3        -0.04 3    
       1745.89 4        6.70 14          7.0 3          0.3 4          0.3 4    
     1820.352 14        7.33 14        6.81 12       -0.53 18       -0.53 18    
       1911.31 8         0.15 3       0.172 14         0.02 3         0.02 3    
       1927.19 4         0.69 3        1.38 13        0.70 14        0.70 14    
       1971.18 4         0.65 3         0.67 3         0.02 4         0.02 4    
       2018.36 3         3.51 9        3.42 13       -0.09 15       -0.09 15    
     2023.314 23        5.69 10          5.0 3         -0.7 3         -0.7 3    
      2124.09 10       0.350 16         0.32 3        -0.03 4        -0.03 4    
       2163.12 8         0.72 4         0.38 3        -0.35 5        -0.35 5    
       2166.01 7         0.58 5       0.318 22        -0.27 5        -0.27 5    
       2260.66 8        0.218 9         0.35 4         0.13 4         0.13 4    
       2363.63 5         0.50 4         1.02 6         0.53 7         0.53 7    
      2394.93 11        0.184 9       0.137 18      -0.047 20      -0.047 20    
      2449.19 15       0.262 21         0.14 4        -0.12 4        -0.12 4    
       2453.05 5       0.359 21       0.443 22         0.08 3         0.08 3    
       2503.00 9       0.315 11         0.26 3        -0.05 3        -0.05 3    
      2520.77 13       0.186 21       0.149 19        -0.04 3        -0.04 3    
      2560.43 16       0.052 14         0.19 3         0.14 3         0.14 3    
       2586.27 4         1.37 3         1.05 5        -0.32 6        -0.32 6    
       2597.49 6         0.72 3         0.69 5        -0.03 6        -0.03 6    
      2608.50 11         0.36 3         0.24 4        -0.11 5        -0.11 5    
       2629.30 8         0.47 3       0.214 16        -0.25 3        -0.25 3    
       2664.44 5         1.02 4         0.99 5        -0.03 6        -0.03 6    
       2681.16 4         3.29 6         2.22 6        -1.07 8        -1.07 8    
       2688.22 7         0.72 3         0.76 6         0.04 6         0.04 6    
       2739.16 6       0.795 18         0.40 3        -0.40 4        -0.40 4    
      2767.86 12       0.213 12         0.27 5         0.06 5         0.06 5    
       2799.85 7         0.64 3         0.77 9         0.14 *         0.14 *    
       2813.84 9         0.34 3         0.37 3         0.03 5         0.03 5    
       2844.72 9       0.329 16         0.31 3        -0.01 3        -0.01 3    
       2867.69 7         1.02 3         0.87 6        -0.15 6        -0.15 6    
      2943.33 14       0.310 22         0.23 4        -0.08 5        -0.08 5    
       2948.76 7         0.83 4         0.68 4        -0.14 6        -0.14 6    
       2953.35 9         0.58 4         0.84 7         0.26 8         0.26 8    
      2987.96 20       0.126 17         0.15 3         0.02 3         0.02 3    
      3010.18 10         0.32 3         0.35 5         0.03 6         0.03 6    
       3026.09 6         0.70 3         0.66 3        -0.05 4        -0.05 4    
      3045.94 13       0.194 24         0.27 5         0.08 5         0.08 5    
      3048.81 11         0.31 3         0.41 3         0.10 4         0.10 4    
      3077.29 12        0.59 19         0.57 7         0.0            0.0       
       3091.37 6       0.368 20         0.73 4         0.36 4         0.36 4    
       3099.08 8       0.483 23         0.41 6        -0.07 6        -0.07 6    
       3110.85 6       0.274 25         0.47 3         0.20 4         0.20 4    
      3141.74 15       0.035 10         0.37 3         0.33 3         0.33 3    
       3151.97 9       0.062 11       0.311 22       0.249 25       0.249 25    
       3165.77 6         1.14 3         1.00 6        -0.14 6        -0.14 6    
       3208.95 8       0.393 16         0.39 3         0.0            0.0       
       3247.83 8       0.475 16       0.198 16      -0.276 23      -0.276 23    
       3287.36 9       0.453 21         0.80 5         0.34 6         0.34 6    
       3333.77 5       0.230 20       0.476 17         0.25 3         0.25 3    
      3342.05 10       0.442 24         0.15 3        -0.29 4        -0.29 4    
       3371.24 8       0.137 12         0.55 4         0.41 4         0.41 4    
      3397.63 10       0.214 17         0.23 4         0.02 4         0.02 4    
      3432.37 13       0.133 14         0.24 3         0.11 3         0.11 3    
      3479.48 12       0.070 17         0.22 3         0.15 3         0.15 3    
      3487.05 10         0.32 3         0.57 6         0.25 7         0.25 7    
      3508.84 10         0.39 4         0.78 7         0.38 8         0.38 8    
       3535.49 7         0.67 3        0.86 19        0.20 19        0.20 19    
      3583.53 12         0.31 3         0.50 5         0.19 6         0.19 6    
       3601.00 6         0.60 3         0.67 4         0.06 5         0.06 5    
       3636.56 7         0.99 3         1.06 6         0.07 7         0.07 7    
      3705.08 10       0.143 14       0.306 24         0.16 3         0.16 3    
       3750.30 7         0.31 3         0.60 4         0.29 5         0.29 5    
      3780.19 10         0.31 3       0.210 20        -0.10 4        -0.10 4    
       3814.66 9         0.23 3         0.54 4         0.32 5         0.32 5    
       3896.38 8         0.19 3         0.70 4         0.51 5         0.51 5    
      3934.58 15       0.163 22       0.218 21         0.06 3         0.06 3    
      4013.69 11       0.216 22         0.41 3         0.19 4         0.19 4    
       4056.98 7       0.279 20         0.77 3         0.49 3         0.49 3    
      4116.41 10         0.18 3         0.81 5         0.63 6         0.63 6    
        4300.2 3         0.11 4       0.152 25         0.04 5         0.04 5    
      4462.70 10         0.22 4       0.556 17         0.34 4         0.34 4    
       4527.91 9         0.07 3         0.64 4         0.58 5         0.58 5    
       4850.76 8        1.53 19         1.15 6       -0.39 20       -0.39 20    
       5077.21 7         0.34 3         0.41 3         0.07 4         0.07 4    
     7066.213 19         0.0            87.1 5         87.1 5         87.1 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            99 5           99 5    
             TOTAL UNPLACED GAMMA INTENSITY =          33.9 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
