  66CU    65CU(N,G) E=THERMAL           1983DE29                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       2.134 18         0.0            0.0            0.0       
        185.96 4        0.710 9       0.800 10       0.090 13       0.090 13    
        237.80 4        0.082 3      0.0746 13       -0.007 4       -0.007 4    
        275.04 4       0.372 16        0.349 7      -0.023 17      -0.023 17    
        385.77 3       0.376 20        0.435 6       0.059 21       0.059 21    
        465.14 3       0.429 18        0.461 7       0.032 19       0.032 19    
        590.73 4        0.049 3      0.0811 13        0.032 4        0.032 4    
        729.82 4        0.088 4      0.0895 21         0.0            0.0       
      822.678 24        0.128 5        0.128 6         0.0            0.0       
      1008.47 17      0.0032 13     0.00172 19     -0.0015 13     -0.0015 13    
       1017.10 4        0.062 4        0.086 4        0.024 5        0.024 5    
       1052.02 5      0.0424 22        0.060 3        0.017 4        0.017 4    
       1158.05 6      0.0207 18       0.0152 9     -0.0054 21     -0.0054 21    
       1212.54 4        0.083 5      0.0558 23       -0.027 6       -0.027 6    
       1247.15 5      0.0250 14      0.0373 23        0.012 3        0.012 3    
       1343.97 5      0.0259 16      0.0318 24        0.006 3        0.006 3    
       1439.39 5        0.042 5        0.038 5       -0.004 7       -0.004 7    
       1547.39 6      0.0235 20      0.0242 23         0.0            0.0       
      1560.12 15       0.0075 7       0.0036 6      -0.0039 9      -0.0039 9    
       1577.32 9      0.0191 13       0.0082 6     -0.0109 14     -0.0109 14    
      1677.86 12      0.0248 12      0.0280 18      0.0031 22      0.0031 22    
      1693.95 14       0.0124 8      0.0084 13     -0.0040 15     -0.0040 15    
      1713.18 11       0.0057 7       0.0053 5      -0.0005 8      -0.0005 8    
      1735.97 11       0.0051 6       0.0043 4      -0.0008 7      -0.0008 7    
       1745.82 8        0.143 7        0.134 5       -0.009 9       -0.009 9    
       1820.32 3       0.149 10        0.141 7      -0.008 12      -0.008 12    
      1911.30 14       0.0030 6       0.0035 3       0.0005 7       0.0005 7    
       1927.14 9       0.0141 9        0.028 3        0.014 3        0.014 3    
       1971.18 8        0.013 3      0.0171 21        0.004 4        0.004 4    
       2018.37 6        0.071 5       0.070 13         0.0            0.0       
       2023.25 6        0.116 5        0.103 7       -0.012 9       -0.012 9    
      2124.04 17       0.0072 6       0.0065 8      -0.0006 9      -0.0006 9    
      2163.12 15        0.015 3      0.0078 10       -0.007 3       -0.007 3    
      2165.99 13        0.024 4       0.0067 7       -0.017 4       -0.017 4    
      2260.62 16       0.0044 4      0.0120 22      0.0076 22      0.0076 22    
      2363.71 10      0.0099 14      0.0208 19      0.0109 24      0.0109 24    
         2395 13       0.0038 4      0.0224 25        0.019 3        0.019 3    
        2449.3 4       0.0054 6      0.0029 13     -0.0024 14     -0.0024 14    
       2453.01 9       0.0074 6      0.0092 16      0.0018 17      0.0018 17    
      2502.94 17       0.0064 5      0.0053 10     -0.0011 11     -0.0011 11    
      2520.73 22       0.0038 5       0.0030 5      -0.0007 7      -0.0007 7    
        2560.5 3       0.0010 3      0.0039 11      0.0028 11      0.0028 11    
       2586.23 7        0.028 3      0.0214 18       -0.007 4       -0.007 4    
      2597.43 11      0.0150 14      0.0139 11     -0.0011 18     -0.0011 18    
      2608.44 20       0.0073 7       0.0049 8     -0.0024 10     -0.0024 10    
      2629.28 14       0.0095 7       0.0044 6      -0.0051 9      -0.0051 9    
      2664.39 10      0.0209 14        0.026 3        0.005 3        0.005 3    
       2681.05 8        0.067 4      0.0458 19       -0.021 4       -0.021 4    
      2688.22 15      0.0146 10      0.0156 14      0.0010 17      0.0010 17    
      2738.98 14      0.0162 10      0.0136 20     -0.0026 22     -0.0026 22    
      2767.78 22       0.0043 4      0.0108 17      0.0065 17      0.0065 17    
      2799.79 12      0.0129 13      0.0237 21      0.0108 24      0.0108 24    
      2813.81 16      0.0139 17        0.014 4         0.0            0.0       
      2844.68 16       0.0067 5      0.0062 18         0.0            0.0       
      2867.62 13      0.0208 13      0.0178 15     -0.0030 19     -0.0030 19    
      2943.17 25       0.0063 6      0.0047 10     -0.0017 11     -0.0017 11    
      2948.70 14      0.0172 13      0.0141 10     -0.0031 16     -0.0031 16    
      2953.12 21      0.0120 13        0.026 3        0.014 4        0.014 4    
        2987.9 3       0.0026 4       0.0031 7       0.0005 8       0.0005 8    
      3010.19 17       0.0065 7      0.0070 15         0.0            0.0       
      3026.02 11      0.0143 10        0.021 4        0.006 4        0.006 4    
      3045.90 22       0.0039 6      0.0054 15      0.0015 16      0.0015 16    
      3048.80 20      0.0071 10      0.0088 10      0.0016 14      0.0016 14    
      3077.24 22        0.012 4      0.0151 22        0.003 5        0.003 5    
      3091.29 13       0.0075 7      0.0148 10      0.0073 12      0.0073 12    
      3099.12 16       0.0098 7        0.011 3         0.0            0.0       
      3110.85 10       0.0056 6        0.010 3        0.004 3        0.004 3    
      3141.74 25     0.00071 23        0.007 3        0.007 3        0.007 3    
      3152.10 16       0.0013 3      0.0062 18      0.0049 19      0.0049 19    
      3165.77 13      0.0230 16      0.0208 17     -0.0023 24     -0.0023 24    
      3208.90 15       0.0080 7       0.0081 8         0.0            0.0       
      3247.79 13       0.0097 7       0.0041 5      -0.0057 9      -0.0057 9    
      3287.46 23      0.0091 23      0.0195 23        0.010 3        0.010 3    
       3333.73 8      0.0045 13        0.010 3        0.005 3        0.005 3    
      3341.99 18      0.0091 23      0.0029 13       -0.006 3       -0.006 3    
      3371.21 14       0.0028 7       0.0113 9      0.0085 11      0.0085 11    
      3397.67 18       0.0044 6      0.0070 15      0.0026 16      0.0026 16    
      3432.30 24       0.0027 7       0.0054 7      0.0027 10      0.0027 10    
      3479.46 21       0.0015 4       0.0047 6       0.0032 7       0.0032 7    
      3486.90 20       0.0065 9        0.016 3        0.009 3        0.009 3    
      3508.79 19      0.0081 10      0.0154 18      0.0073 20      0.0073 20    
      3535.40 12      0.0136 10        0.018 4        0.004 4        0.004 4    
      3583.48 20       0.0063 7      0.0170 23      0.0106 24      0.0106 24    
      3600.94 11      0.0123 10      0.0135 12      0.0012 15      0.0012 15    
      3636.49 12      0.0204 13        0.029 4        0.009 4        0.009 4    
      3705.03 19       0.0030 4       0.0062 6       0.0031 7       0.0031 7    
      3750.25 13      0.0062 10      0.0122 11      0.0060 15      0.0060 15    
      3780.18 17       0.0066 7       0.0042 6      -0.0023 9      -0.0023 9    
      3814.70 17        0.013 3      0.0111 10       -0.002 3       -0.002 3    
      3896.33 14       0.0038 7      0.0143 15      0.0105 16      0.0105 16    
      3934.55 25       0.0033 5       0.0044 6       0.0011 8       0.0011 8    
      4013.83 23       0.0044 6      0.0082 10      0.0038 12      0.0038 12    
      4057.00 13       0.0058 5      0.0155 13      0.0097 14      0.0097 14    
      4116.47 21        0.016 4      0.0230 19        0.007 5        0.007 5    
        4300.1 5      0.0039 13       0.0031 5     -0.0008 14     -0.0008 14    
      4462.70 18      0.0045 16       0.0114 8      0.0068 18      0.0068 18    
      4527.85 15      0.0058 16      0.0131 11      0.0072 19      0.0072 19    
      4850.55 20      0.0282 19      0.0239 14     -0.0043 24     -0.0043 24    
      5077.18 12       0.0073 8       0.0084 7      0.0011 11      0.0011 11    
       7066.13 4         0.0            1.81 3         1.81 3         1.81 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          2.13 4         2.13 4    
             TOTAL UNPLACED GAMMA INTENSITY =          33.9 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0925                          
