  66CU    65CU(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       1.966 17         0.0            0.0            0.0       
      185.852 23        0.603 9        0.792         0.188 13       0.188 13    
        237.44 3        0.087 4      0.0746 13       -0.013 4       -0.013 4    
        274.88 3        0.286 7        0.325 6        0.039 *        0.039 *    
      385.414 24       0.312 10        0.435 6       0.123 12       0.123 12    
      464.794 20       0.337 17        0.455 7       0.118 18       0.118 18    
        590.28 4        0.067 5      0.0811 13        0.014 5        0.014 5    
        729.42 4        0.034 3      0.0899 21        0.056 3        0.056 3    
        822.10 3        0.117 6      0.0522 20       -0.065 6       -0.065 6    
      1008.49 10         0.0            0.0            0.0            0.0       
       1016.27 4        0.048 4      0.0351 16       -0.013 5       -0.013 5    
       1051.49 4        0.028 4        0.085 4        0.057 6        0.057 6    
      1156.97 13      0.0019 19      0.0101 18        0.008 3        0.008 3    
       1212.15 8        0.053 4      0.0337 23       -0.019 5       -0.019 5    
       1246.79 7      0.0198 25      0.0428 19        0.023 3        0.023 3    
      1343.92 12      0.0116 23      0.0120 16         0.0            0.0       
      1438.46 19        0.032 3       0.0026         -0.030 3       -0.030 3    
       1547.06 6        0.032 3        0.066 4        0.034 5        0.034 5    
       1560.15 8         0.0            0.0            0.0            0.0       
       1577.02 9        0.030 3       0.0091         -0.021 3       -0.021 3    
      1677.40 13        0.030 3      0.0156 19       -0.014 4       -0.014 4    
       1694.21 5      0.0139 16         0.0        -0.0139 16     -0.0139 16    
       1713.20 6         0.0            0.0            0.0            0.0       
      1734.95 22         0.0          0.0036         0.0036 *       0.0036 *    
       1745.61 5        0.143 6        0.111 4       -0.032 7       -0.032 7    
       1819.60 4        0.123 7        0.089 4       -0.035 8       -0.035 8    
       1911.31 8         0.0            0.0            0.0            0.0       
       1926.99 4        0.037 3         0.0          -0.037 3       -0.037 3    
      1970.84 11      0.0019 16      0.0146 16      0.0127 23      0.0127 23    
      2017.54 16        0.045 4        0.023 3       -0.022 5       -0.022 5    
       2022.63 5        0.112 6        0.061 3       -0.050 7       -0.050 7    
      2124.06 10      0.0081 19         0.0        -0.0081 19     -0.0081 19    
       2163.12 8         0.0            0.0            0.0            0.0       
      2165.20 16        0.025 3      0.0101 16       -0.015 3       -0.015 3    
        2259.4 3         0.0         0.0127 21      0.0127 21      0.0127 21    
      2363.51 16      0.0132 11      0.0107 13     -0.0025 17     -0.0025 17    
        2395.6 3         0.0         0.0068 16      0.0068 16      0.0068 16    
      2449.01 21         0.0         0.0156 19      0.0156 19      0.0156 19    
       2453.06 5        0.011 4         0.0          -0.011 4       -0.011 4    
        2504.0 6         0.0         0.0042 19      0.0042 19      0.0042 19    
      2520.93 10       0.0097           0.0         -0.0097 *      -0.0097 *    
        2560.6 3         0.0         0.0075 19      0.0075 19      0.0075 19    
        2585.1 3        0.018 3      0.0039 13       -0.014 3       -0.014 3    
      2597.26 17        0.010 3      0.0061 20       -0.004 3       -0.004 3    
        2608.4 8         0.0         0.0036 23      0.0036 23      0.0036 23    
       2629.29 8      0.0068 13         0.0        -0.0068 13     -0.0068 13    
