  20F     19F(N,G) E=THERMAL            96RA04                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.0 16          100          -0.0           -0.0       
        656.00 4         21.8 6        20.9 11        -0.9 12        -0.9 12    
        822.68 8        6.52 21          7.0 4          0.4 5          0.4 5    
        983.71 5         12.6 3         12.2 6         -0.3 7         -0.3 7    
      1056.848 4         10.7 5          9.9 4         -0.8 7         -0.8 7    
       1309.34 5          8.7 3          8.8 3         0.0            0.0       
       1843.97 8        6.74 15          7.1 3          0.3 4          0.3 4    
       1970.80 7        5.13 17          5.4 3          0.2 3          0.2 3    
       2044.05 6          9.6 3          9.5 3         -0.1 4         -0.1 4    
       2194.36 8        2.71 11        2.99 11        0.27 16        0.27 16    
       2864.9 15         0.46 5         0.44 6        -0.02 8        -0.02 8    
       2966.0 15        3.55 13        3.55 12         0.0            0.0       
        3172.6 4       0.074 21       0.137 21         0.06 3         0.06 3    
       3488.49 6         10.3 3         10.5 5          0.2 6          0.2 6    
       3526.28 7         2.00 8         2.08 8        0.08 12        0.08 12    
       3586.56 9          8.6 4          9.3 4          0.7 5          0.7 5    
          3600           2.23 9         2.26 8        0.03 12        0.03 12    
       3680.13 6         2.10 8         1.97 9       -0.13 12       -0.13 12    
      3965.19 16         1.30 7         1.42 8        0.12 11        0.12 11    
      4082.08 11         1.65 8         1.61 7       -0.04 11       -0.04 11    
      4277.22 14         1.24 5         1.14 6        -0.10 8        -0.10 8    
      4371.38 12         0.55 5         0.69 6         0.14 8         0.14 8    
          4592 3         0.50 4         0.37 5        -0.13 6        -0.13 6    
          4900           0.27 3         0.21 3        -0.06 5        -0.06 5    
          5200         0.053 21         0.0         -0.053 21      -0.053 21    
          5300         0.243 21       0.148 24        -0.10 3        -0.10 3    
      5318.87 17         0.91 5         0.89 6        -0.02 8        -0.02 8    
          5500         0.095 21       0.042 21        -0.05 3        -0.05 3    
      5555.34 13         1.87           1.80 8       -0.07 12       -0.07 12    
          5600          0.64 11         0.61 6       -0.03 12       -0.03 12    
       5810.4 25       0.042 11         0.0         -0.042 11      -0.042 11    
       5936.09 5         15.7 8         15.5 3         -0.2 9         -0.2 9    
          5900          1.08 16         0.94 7       -0.14 17       -0.14 17    
       6017.77 3        38.0 16         38.2 7         0.0            0.0       
       6044.98 8        2.13 14         2.06 9       -0.07 16       -0.07 16    
          6299 4       0.053 21         0.0         -0.053 21      -0.053 21    
       6601.31 5         0.0          100.8 19       100.8 19       100.8 25    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 3          100 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.27 4                   
              NORMALIZATION UNCERTAINTY (%) =   1.6098                          
