  20F     19F(N,G) E=THERMAL            96RA04                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0     0.00949 11         0.0            0.0            0.0       
      656.017 18      0.00203 4      0.00197 7      -6E-05 8       -6E-05 8     
      822.718 19    0.000609 16    0.000633 20       2E-05 3        2E-05 3     
      983.564 20      0.00122 4      0.00116 4      -6E-05 5       -6E-05 5     
     1056.806 17      0.00102 5      0.00095 3      -7E-05 6       -7E-05 6     
     1309.172 17    0.000899 22      0.00083 3      -7E-05 4       -7E-05 4     
     1843.780 21    0.000661 23    0.000658 23         0.0            0.0       
     1970.831 20    0.000504 24    0.000571 19       7E-05 3        7E-05 3     
     2043.970 20      0.00090 3      0.00090 3         0.0            0.0       
     2194.288 21    0.000269 10     0.000281 9     1.2E-05 14     1.2E-05 14    
       2864.87 9     4.4E-05 5      4.8E-05 5        4E-06 7        4E-06 7     
     2966.090 22    0.000337 12    0.000348 11     1.1E-05 16     1.1E-05 16    
      3171.70 14     7.0E-06 20    1.30E-05 21       6E-06 3        6E-06 3     
     3488.391 18      0.00101 3      0.00100 4         0.0            0.0       
       3526.31 4    1.86E-04 8     1.94E-04 9        8E-06 12       8E-06 12    
     3586.531 17      0.00086 3      0.00088 4       2E-05 5        2E-05 5     
       3589.79 3    2.10E-04 9     2.15E-04 9        5E-06 13       5E-06 13    
       3680.16 3    1.99E-04 8     1.88E-04 10    -1.1E-05 13    -1.1E-05 13    
       3965.06 3    1.22E-04 6     1.33E-04 8      1.1E-05 10     1.1E-05 10    
       4082.15 3    1.54E-04 7     1.62E-04 10       8E-06 13       8E-06 13    
       4277.08 3    1.18E-04 5     1.20E-04 9          0.0            0.0       
       4371.46 9     5.3E-05 5      6.5E-05 6      1.2E-05 7      1.2E-05 7     
       4591.71 6     4.6E-05 4      3.5E-05 4     -1.1E-05 6     -1.1E-05 6     
      4892.80 15     2.5E-05 3      2.0E-05 3       -5E-06 4       -5E-06 4     
        5226.1 4     5.0E-06 20         0.0       -5.0E-06 20    -5.0E-06 20    
       5282.82 9    2.34E-05 20    1.40E-05 24      -9E-06 3       -9E-06 3     
       5319.15 4     8.5E-05 5      8.3E-05 6          0.0            0.0       
      5465.84 15    1.08E-05 20     4.0E-06 20      -7E-06 3       -7E-06 3     
       5555.34 3    1.79E-04 8     1.71E-04 7       -8E-06 11      -8E-06 11    
       5623.13 5     6.8E-05 6      5.8E-05 6     -1.0E-05 8     -1.0E-05 8     
        5810.1 3     4.0E-06 10         0.0       -4.0E-06 10    -4.0E-06 10    
     5936.125 20      0.00149 6      0.00146 3      -3E-05 7       -3E-05 7     
      5939.08 10    1.02E-04 15    1.12E-04 20     1.0E-05 25     1.0E-05 25    
     6017.774 16     0.00356 12      0.00372 7     1.6E-04 14     1.6E-04 14    
       6044.94 4    2.01E-04 8     2.00E-04 8          0.0            0.0       
      6299.10 21     5.0E-06 20         0.0       -5.0E-06 20    -5.0E-06 20    
     6601.344 16         0.0        0.00951 14     0.00951 14     0.00951 14    
 *****************************************************************************
                       TOTAL BETA INTENSITY =      0.00949 20     0.00949 20    
             TOTAL UNPLACED GAMMA INTENSITY =          0.27 4                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
