  20F     19F(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0     0.00943 16         0.0            0.0            0.0       
        656.00 4      0.00190 6      0.00196 9       6E-05 11       6E-05 11    
        822.68 8    0.000590 24    0.000626 23       4E-05 3        4E-05 3     
        983.71 5      0.00120 5      0.00117 5      -3E-05 7       -3E-05 7     
      1056.848 4      0.00078 5      0.00096 4     1.8E-04 6      1.8E-04 6     
       1309.34 5      0.00082 4      0.00079 4      -2E-05 6       -2E-05 6     
       1843.97 8      0.00062 3      0.00064 3       2E-05 5        2E-05 5     
       1970.80 7      0.00046 3    0.000558 23     1.0E-04 4      1.0E-04 4     
       2044.05 6      0.00071 3      0.00086 4     1.6E-04 5      1.6E-04 5     
       2194.36 8    0.000276 20    0.000274 18         0.0            0.0       
       2864.9 15         0.0        2.4E-05 5      2.4E-05 5      2.4E-05 5     
       2966.0 15    0.000327 23    0.000370 20       4E-05 3        4E-05 3     
        3172.6 4         0.0            0.0            0.0            0.0       
       3488.49 6      0.00102 5      0.00097 5      -5E-05 7       -5E-05 7     
       3526.28 7    1.75E-04 16    1.71E-04 13         0.0            0.0       
       3586.56 9      0.00082 4      0.00076 4      -5E-05 5       -5E-05 5     
          3600      1.87E-04 18     2.0E-04 3        1E-05 4        1E-05 4     
       3680.13 6    1.83E-04 14     7.0E-05 11   -1.13E-04 18   -1.13E-04 18    
      3965.19 16     7.6E-05 12     8.6E-05 12     1.0E-05 17     1.0E-05 17    
      4082.08 11    1.36E-04 13    1.72E-04 15     3.6E-05 20     3.6E-05 20    
      4277.22 14    1.23E-04 10    1.05E-04 13    -1.8E-05 16    -1.8E-05 16    
      4371.38 12     5.7E-05 11     6.1E-05 9          0.0            0.0       
          4592 3     3.7E-05 7          0.0       -3.7E-05 7     -3.7E-05 7     
          4900       2.1E-05 6          0.0       -2.1E-05 6     -2.1E-05 6     
          5200           0.0            0.0            0.0            0.0       
          5300       2.7E-05 7          0.0       -2.7E-05 7     -2.7E-05 7     
      5318.87 17     8.2E-05 9      4.2E-05 9     -4.0E-05 13    -4.0E-05 13    
          5500       1.5E-05 5          0.0       -1.5E-05 5     -1.5E-05 5     
      5555.34 13    1.84E-04 12    1.48E-04 16    -3.6E-05 20    -3.6E-05 20    
          5600       7.1E-05 7          0.0       -7.1E-05 7     -7.1E-05 7     
       5810.4 25         0.0            0.0            0.0            0.0       
       5936.09 5      0.00150 7      0.00124 6     -0.00026 9     -0.00026 9    
          5900           0.0        5.7E-05 10     5.7E-05 10     5.7E-05 10    
       6017.77 3     0.00352 15      0.00375       2.3E-04 18     2.3E-04 18    
       6044.98 8    0.000252 11    1.90E-04 16    -6.2E-05 20    -6.2E-05 20    
          6299 4         0.0            0.0            0.0            0.0       
       6601.31 5         0.0        0.00932 19     0.00932 19     0.00932 19    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        0.0094 3       0.0094 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
