  57FE    56FE(N,G), (POL N,G) E=THERMAL1980VE05,1978VE06,1969KO0598ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           93 5         0.0            0.0            0.0       
            14             54 4           54 4         0.0            0.0       
      136.481 13        3.18 12           5.          1.99 12        1.99 12    
       366.747 9         13.9 6         12.0 5         -1.9 8         -1.9 8    
      706.389 16         4.86          5.62 22        0.76 24        0.76 24    
      1007.15 14         0.48 4       0.210 14        -0.27 4        -0.27 4    
        1197.4 4         0.14 3         0.0           -0.14 3        -0.14 3    
     1265.057 21        1.96 14         2.02 8        0.06 16        0.06 16    
      1357.15 13         0.38 4         0.0           -0.38 4        -0.38 4    
     1627.238 16         11.2 8        8.85 18         -2.4 8         -2.4 8    
     1725.395 18         10.8 7          9.2 3         -1.5 8         -1.5 8    
      1976.69 20       0.160 14       0.080 22        -0.08 3        -0.08 3    
      2113.00 16         0.31 5       0.190 22        -0.12 5        -0.12 5    
      2206.77 13         0.62 5         0.48 7        -0.14 8        -0.14 8    
      2217.70 17       0.240 24         0.29 5         0.05 5         0.05 5    
      2330.06 12         0.45 5       0.050 20        -0.40 6        -0.40 6    
        2455.1 5       0.280 20         0.0         -0.280 20      -0.280 20    
      2505.26 14       0.110 17       0.200 22         0.09 3         0.09 3    
      2564.30 20         0.16 3       0.110 14        -0.05 3        -0.05 3    
      2599.84 22         0.45 6       0.100 14        -0.35 6        -0.35 6    
      2697.27 16         1.01           0.76 5       -0.25 11       -0.25 11    
       2758.32 9       0.540 24       0.280 22        -0.26 3        -0.26 3    
      2821.10 23         0.09 3         0.23 3         0.14 4         0.14 4    
       2835.88 6        2.09 11         1.06 5       -1.03 13       -1.03 13    
        2855.1 3         0.15 4         0.0           -0.15 4        -0.15 4    
      2904.25 24       0.070 20         0.25 5         0.18 5         0.18 5    
      2921.47 11         0.38 4         0.12 4        -0.26 5        -0.26 5    
      2970.93 14         0.48 4       0.070 20        -0.41 5        -0.41 5    
      2987.55 11         0.09 3         0.63 5         0.54 6         0.54 6    
        3059.2 3       0.040 10       0.070 20       0.030 22       0.030 22    
      3098.97 18       0.100 22         0.38 3         0.28 4         0.28 4    
      3122.75 19       0.020 10        0.57 10        0.55 10        0.55 10    
      3182.85 14         0.57 5        0.51 14       -0.06 15       -0.06 15    
        3205.6 5       0.030 10       0.030 10         0.0            0.0       
       3240.01 7         1.70 8         1.88          0.18 13        0.18 13    
      3301.92 10       0.210 10         0.27 4         0.06 4         0.06 4    
      3322.50 10         0.25 4         0.66 4         0.41 5         0.41 5    
      3336.62 24         0.13 3       0.180 20         0.05 4         0.05 4    
        3339.9 5       0.020 10       0.280 20       0.260 22       0.260 22    
      3371.17 12         0.28 5       0.440 24         0.16 6         0.16 6    
       3427.62 4        6.77 19        3.43 10       -3.34 22       -3.34 22    
      3535.94 16         0.0          0.250 20       0.250 20       0.250 20    
      3561.39 11        0.19 10       0.290 22        0.10 10        0.10 10    
      3608.48 20       0.140 20       0.080 20        -0.06 3        -0.06 3    
       3791.58 7       0.190 20         1.21 8         1.02 8         1.02 8    
      3862.31 17         0.0          0.150 20       0.150 20       0.150 20    
          3900           0.0            1.34 8         1.34 8         1.34 8    
      3982.02 15       0.490 22         0.35 6        -0.14 6        -0.14 6    
      4042.65 22       0.040 10       0.160 20       0.120 22       0.120 22    
      4136.85 10         0.05 3        0.78 11        0.73 12        0.73 12    
        4143.5 4         0.18 5         0.10 3        -0.08 6        -0.08 6    
      4209.56 11        1.63 11         1.26 7       -0.37 13       -0.37 13    
      4378.80 11         1.29 5         0.30 3        -0.99 6        -0.99 6    
      4459.74 11         0.68 3         0.92 6         0.24 7         0.24 7    
        4572.3 3         0.11 5       0.150 20         0.04 5         0.04 5    
        4597.6 3       0.040 10       0.050 20       0.010 22       0.010 22    
      4691.86 11         0.36 3         0.62 5         0.26 6         0.26 6    
      5140.24 18       0.040 10         0.28 3         0.24 3         0.24 3    
      5179.29 16       0.080 20         0.60 6         0.52 6         0.52 6    
      5221.52 24       0.060 20         0.31 5         0.25 5         0.25 5    
        5238.3 4       0.100 20       0.050 20        -0.05 3        -0.05 3    
       7645.99 3         0.0              99 5           99 5           99 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            93 7           93 7    
             TOTAL UNPLACED GAMMA INTENSITY =           7.4 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
