  57FE    56FE(N,G), (POL N,G) E=THERMAL1980VE05,1978VE06,1969KO05               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         2.49 5         0.0            0.0            0.0       
       14.411 14       1.598 16         1.55 5        -0.05 6        -0.05 6    
      136.488 14        0.093 3        0.122 3        0.029 4        0.029 4    
      366.759 10        0.381 8        0.382 3         0.0            0.0       
      706.376 20        0.151 3      0.1747 20        0.024 4        0.024 4    
      1007.14 10      0.0098 11       0.0059 5     -0.0039 12     -0.0039 12    
      1197.47 25       0.0033 3         0.0         -0.0033 3      -0.0033 3    
       1265.04 3      0.0487 25      0.0626 11        0.014 3        0.014 3    
      1357.14 14      0.0111 18         0.0        -0.0111 18     -0.0111 18    
     1627.222 20        0.287 6        0.274 3       -0.013 7       -0.013 7    
     1725.316 21        0.281 6        0.282 4         0.0            0.0       
      1976.47 25       0.0033 5       0.0024 7      -0.0009 9      -0.0009 9    
      2113.00 24      0.0089 18       0.0056 7     -0.0034 19     -0.0034 19    
       2206.99 9      0.0204 19       0.0084 6     -0.0120 20     -0.0120 20    
      2217.71 16      0.0076 10      0.0085 20      0.0009 22      0.0009 22    
      2329.98 12      0.0131 25       0.0014 8       -0.012 3       -0.012 3    
        2455.1 3     0.00062 22         0.0       -0.00062 22    -0.00062 22    
      2505.14 11       0.0043 5      0.0059 14      0.0016 15      0.0016 15    
        2564.5 4       0.0064 9       0.0043 7     -0.0022 11     -0.0022 11    
        2599.7 3      0.0118 19       0.0029 8     -0.0088 20     -0.0088 20    
      2697.17 11      0.0235 22      0.0231 15         0.0            0.0       
       2758.38 8      0.0140 10      0.0082 11     -0.0058 15     -0.0058 15    
      2821.20 22      0.0026 10      0.0068 12      0.0041 16      0.0041 16    
       2835.89 7      0.0535 18      0.0344 19       -0.019 3       -0.019 3    
      2855.41 18       0.0039 6         0.0         -0.0039 6      -0.0039 6    
      2904.17 23       0.0021 8      0.0073 17      0.0052 19      0.0052 19    
      2921.35 10      0.0111 14      0.0035 14     -0.0076 20     -0.0076 20    
      2970.90 11      0.0159 14       0.0025 6     -0.0134 15     -0.0134 15    
      2987.44 10       0.0038 6      0.0168 22      0.0130 22      0.0130 22    
        3059.2 3       0.0012 3       0.0013 6         0.0            0.0       
      3098.42 12       0.0039 9       0.0069 4      0.0029 10      0.0029 10    
      3122.76 19       0.0005 3        0.016 6        0.016 6        0.016 6    
      3182.90 10      0.0191 13      0.0202 20      0.0011 24      0.0011 24    
        3205.7 5       0.0014 3       0.0015 3         0.0            0.0       
       3239.84 7      0.0511 16      0.0561 24        0.005 3        0.005 3    
       3301.78 8       0.0061 7       0.0117 9      0.0056 11      0.0056 11    
       3322.57 8      0.0068 11      0.0193 19      0.0125 22      0.0125 22    
        3336.7 3      0.0038 12       0.0031 6     -0.0008 13     -0.0008 13    
        3339.9 3     0.00085 23     0.00062 22      -2E-04 3       -2E-04 3     
      3371.18 12      0.0162 10       0.0133 8     -0.0029 13     -0.0029 13    
       3427.65 5        0.108 3      0.1024 22       -0.006 4       -0.006 4    
      3535.89 16         0.0          0.0073 8       0.0073 8       0.0073 8    
      3561.48 10        0.005 3       0.0084 8        0.003 3        0.003 3    
      3608.23 20      0.0041 11       0.0023 7     -0.0019 13     -0.0019 13    
       3791.44 6      0.0363 13      0.0437 13      0.0074 19      0.0074 19    
      3862.18 15         0.0          0.0056 4       0.0056 4       0.0056 4    
        3936.1 8         0.0           0.039 4        0.039 4        0.039 4    
      3981.89 17       0.0097 8      0.0102 20         0.0            0.0       
      4042.64 21       0.0012 4       0.0047 8       0.0035 9       0.0035 9    
       4136.73 9      0.0014 10        0.022 4        0.021 4        0.021 4    
        4143.8 4      0.0052 17      0.0029 12     -0.0023 21     -0.0023 21    
       4209.33 9        0.049 4      0.0349 24       -0.014 5       -0.014 5    
       4378.74 8      0.0400 14      0.0130 11     -0.0270 18     -0.0270 18    
       4460.14 9       0.0199 9        0.024 3        0.004 3        0.004 3    
        4574.2 4      0.0032 17       0.0029 3         0.0            0.0       
        4597.7 3       0.0012 3       0.0014 8         0.0            0.0       
      4691.89 10       0.0120 8      0.0187 21      0.0068 22      0.0068 22    
        5139.0 4       0.0012 4      0.0099 10      0.0087 11      0.0087 11    
        5179.0 3      0.0023 10      0.0133 19      0.0110 22      0.0110 22    
      5221.76 16       0.0029 8      0.0106 17      0.0076 19      0.0076 19    
      5238.44 17      0.0037 10       0.0014 8     -0.0023 12     -0.0023 12    
     7646.0954 6         0.0          2.447 22       2.447 22       2.447 24    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          2.49 6         2.49 6    
             TOTAL UNPLACED GAMMA INTENSITY =           7.4 3                   
              NORMALIZATION UNCERTAINTY (%) =    .3670                          
