  58FE    57FE(N,G) E=TH                1969FA05,1973KO27         97ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 3         0.0            0.0            0.0       
        810.56 9        63.8 21           62 3           -2 4           -2 4    
      1674.31 15        27.8 16        33.4 15         5.6 22         5.6 22    
        2133.5 3          1.6 3        1.39 10         -0.2 4         -0.2 4    
      2256.97 24         1.12 6          3.3 3          2.2 3          2.2 3    
      2781.78 18        13.4 12         14.3 7         0.9 14         0.9 14    
      2876.12 24        20.3 12         11.2 7        -9.1 14        -9.1 14    
        3083.8 3         10.7          12.2 14         1.5 17         1.5 17    
        3244.2 4         0.75 9          1.9 3          1.1 3          1.1 3    
        3537.2 4          6.4 8          9.9 7         3.6 10         3.6 10    
        3630.0 7        1.50 19          1.8 3          0.3 3          0.3 3    
        3879.9 3          3.1 3          3.2 4         0.0            0.0       
          4006 4         0.0           0.37 19        0.37 19        0.37 19    
        4015.6 4        1.12 19         0.0          -1.12 19       -1.12 19    
        4139.4 4          2.4 3          2.2 3         -0.2 4         -0.2 4    
        4297.8 4        2.24 19          1.9 3         -0.4 3         -0.4 3    
      4322.47 25        2.34 19          5.4 5          3.1 5          3.1 5    
        4352.7 4        2.34 19         0.0          -2.34 19       -2.34 19    
        4444.2 4        1.03 19          1.5 3          0.5 3          0.5 3    
        4550.3 3        27.1 13        23.6 13        -3.5 18        -3.5 18    
       4832.3 21          0.6 3         0.0            -0.6 3         -0.6 3    
        5000.6 4         10.0 8          7.0 5         -3.0 9         -3.0 9    
        5221.0 5        2.24 19          1.7 4         -0.6 4         -0.6 4    
        5294.8 5        2.81 19          3.3 4          0.5 5          0.5 5    
        5417.8 5        3.09 19         18.2          15.1 10        15.1 10    
       5523.1 21        0.75 19        0.56 19         -0.2 3         -0.2 3    
     10044.64 21         0.0              89 3           89 3           89 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 5          100 5    
             TOTAL UNPLACED GAMMA INTENSITY =          10.5 8                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
