  58FE    57FE(N,G) E=TH                1969FA05,1973KO27                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          1.9 5         0.0            0.0            0.0       
        810.72 3        1.75 23         1.29 4       -0.45 24       -0.45 24    
       1674.52 6         0.38 4          0.7 5          0.3 5          0.3 5    
      2133.63 21         0.0            0.02 4         0.02 4         0.0       
      2256.77 19        0.034 7        0.07 12         0.0            0.0       
      2781.83 10         0.22 5       0.236 19         0.0            0.0       
      2876.08 15          0.4 5        0.14 19         -0.3 5         -0.3 5    
      3084.34 17          0.7 4         0.18 4         -0.5 4         -0.5 4    
        3244.0 3         0.0          0.066 19       0.066 19       0.066 19    
      3537.22 23         0.16 3       0.104 24        -0.06 4        -0.06 4    
        3630.0 5         0.0            0.0            0.0            0.0       
        3881.5 4        0.06 12       0.137 19        0.08 12        0.08 12    
          4006 4         0.0            0.0            0.0            0.0       
        4015.6 4         0.0            0.0            0.0            0.0       
      4139.04 20         0.0          0.071 24       0.071 24       0.071 24    
      4297.57 11         0.05 8         0.71 4         0.66 9         0.66 9    
      4322.17 16         0.05 8       0.231 20         0.18 8         0.18 8    
        4352.7 4         0.05 8         0.0           -0.05 8        -0.05 8    
        4444.2 3         0.0            0.0            0.0            0.0       
      4550.42 20          0.5 4          0.3 5         0.0            0.0       
       4832.4 19         0.0            0.0            0.0            0.0       
      5000.66 25         0.16 3       0.090 19        -0.07 3        -0.07 3    
      5222.39 20         0.05 8       0.297 24         0.25 8         0.25 8    
        5294.8 4         0.06 8         0.0           -0.06 8        -0.06 8    
        5417.8 4         0.06 8          0.3 4          0.3 4          0.3 4    
       5523.1 16         0.0            0.0            0.0            0.0       
     10044.65 14         0.0             1.5 5          1.5 5          1.5 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           1.9 9          1.9 9    
             TOTAL UNPLACED GAMMA INTENSITY =          528 40                   
              NORMALIZATION UNCERTAINTY (%) =    .4662                          
