  59FE    58FE(N,G), (POL N,G) E=THERMAL1983VEZZ,1980VE05,1978VE0693ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 3         0.0            0.0            0.0       
      287.028 18           52 5           60 3            8 6            8 6    
         473.5 4         0.10 3         0.0           -0.10 3        -0.10 3    
        570.89 3        4.08 17          4.9 3          0.9 4          0.9 4    
       613.06 15        0.69 10         0.20 5       -0.48 12       -0.48 12    
         642.8 3       0.061 20       0.091 20         0.03 3         0.03 3    
        726.47 4        19.1 15         21.2 8         2.0 17         2.0 17    
      1077.83 12         0.89 7         0.23 4        -0.66 8        -0.66 8    
       1162.10 3         7.4 11        4.84 14        -2.6 11        -2.6 11    
      1211.40 10        1.21 12        1.97 12        0.76 17        0.76 17    
       1569.93 8        0.37 11         0.71 4        0.33 12        0.33 12    
      1749.81 14         0.53 6       0.121 23        -0.40 6        -0.40 6    
       1918.95 5         8.3 10        7.51 19        -0.8 10        -0.8 10    
       1962.01 5          3.4 6        3.46 22         0.0            0.0       
        2162.1 4         0.49 5         0.07 3        -0.42 6        -0.42 6    
        2277.9 4       0.071 20         0.11 4         0.04 4         0.04 4    
      2321.09 19         0.39 3         0.28 5        -0.11 6        -0.11 6    
        2348.3 3         0.0            0.16 3         0.16 3         0.16 3    
       2447.30 6        3.62 18        3.74 17        0.12 25        0.12 25    
        2493.7 3         0.35 5       0.051 20        -0.30 5        -0.30 5    
        2569.6 3        0.72 11         0.15 4       -0.57 12       -0.57 12    
      2757.08 22         0.23 3         0.08 4        -0.15 5        -0.15 5    
      2810.35 14         0.33 4         1.00 7         0.67 8         0.67 8    
        3070.5 4       0.040 20         0.16 4         0.12 4         0.12 4    
        3104.4 3       0.061 20         0.67 6         0.61 6         0.61 6    
      3159.63 15       0.061 20         0.30 9         0.24 9         0.24 9    
      3239.90 21         1.07 5         1.01 5        -0.06 7        -0.06 7    
      3384.59 11         0.10 5         0.17 3         0.07 6         0.07 6    
       6581.11 5         0.0              93 6           93 6           93 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 6          100 6    
             TOTAL UNPLACED GAMMA INTENSITY =          15.6 5                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
