  59FE    58FE(N,G), (POL N,G) E=THERMAL1983VEZZ,1980VE05,1978VE06               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         1.30 5         0.0            0.0            0.0       
      287.025 19         0.66           0.77 5         0.11 5         0.11 5    
         473.5 5       0.0013           0.0         -0.0013        -0.0013      
        570.90 3        0.053          0.064          0.011       0.01104 16    
       612.96 16       0.0089         0.0026        -0.0063        -0.0063      
         642.8 3      0.00078         0.0012        0.00039       0.000391 6    
        726.46 4         0.25           0.28          0.028         0.0276 4    
      1077.80 12        0.011         0.0030        -0.0084        -0.0084      
       1162.12 3        0.096          0.063         -0.033         -0.033      
      1211.40 11        0.016          0.026         0.0098       0.00980 14    
       1569.90 8         0.0          0.0092         0.0092       0.00923 13    
        1571.4 5       0.0050           0.0         -0.0050        -0.0050      
      1749.83 17       0.0070         0.0016        -0.0054        -0.0054      
       1918.98 5         0.11          0.097        -0.0092        -0.0092      
       1962.00 5        0.046          0.045        -0.0012        -0.0012      
        2162.1 4       0.0064        0.00092        -0.0055        -0.0055      
        2277.7 4      0.00092         0.0014        0.00050       0.000497 7    
      2320.91 20       0.0050         0.0036        -0.0014        -0.0014      
        2348.3 3         0.0          0.0021         0.0021        0.00209 3    
       2447.27 6        0.046          0.049         0.0026        0.00256 4    
        2493.7 3       0.0046        0.00064        -0.0040        -0.0040      
        2569.6 3       0.0092         0.0020        -0.0073        -0.0073      
      2757.00 21       0.0030         0.0011        -0.0020        -0.0020      
      2810.30 15       0.0043          0.013         0.0088       0.00880 12    
        3070.5 4      0.00053         0.0021         0.0016      0.001562 22    
        3104.3 3      0.00078         0.0087         0.0079       0.00792 11    
      3159.65 15      0.00078         0.0039         0.0031        0.00312 4    
      3239.87 20        0.014          0.013       -0.00071       -0.00071      
      3384.51 11       0.0013         0.0022        0.00092      0.000923 13    
       6581.02 6         0.0              1.             1.         1.196 17    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          1.30 5         1.30 6    
             TOTAL UNPLACED GAMMA INTENSITY =        550E+118                   
              NORMALIZATION UNCERTAINTY (%) =   1.4085                          
