  59FE    58FE(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         0.78 5         0.0            0.0            0.0       
        287.02 5         0.0            0.78 5         0.78 5         0.78 6    
         473.5 4         0.0            0.0            0.0            0.0       
        570.89 3         0.0            0.0            0.0            0.0       
       613.06 15         0.0            0.0            0.0            0.0       
         642.8 3         0.0            0.0            0.0            0.0       
        726.47 4         0.0            0.0            0.0            0.0       
      1077.83 12         0.0            0.0            0.0            0.0       
       1162.10 3         0.0            0.0            0.0            0.0       
      1211.40 10         0.0            0.0            0.0            0.0       
      1571.17 20         0.0            0.0            0.0            0.0       
      1749.81 14         0.0            0.0            0.0            0.0       
       1918.95 5         0.0            0.0            0.0            0.0       
       1962.01 5         0.0            0.0            0.0            0.0       
        2162.1 4         0.0            0.0            0.0            0.0       
        2277.9 4         0.0            0.0            0.0            0.0       
      2321.09 19         0.0            0.0            0.0            0.0       
        2348.3 3         0.0            0.0            0.0            0.0       
       2447.30 6         0.0            0.0            0.0            0.0       
        2493.7 3         0.0            0.0            0.0            0.0       
      2570.06 23         0.0            0.0            0.0            0.0       
      2756.94 19         0.0            0.0            0.0            0.0       
      2810.35 14         0.0            0.0            0.0            0.0       
        3070.1 3         0.0            0.0            0.0            0.0       
        3104.8 4         0.0            0.0            0.0            0.0       
      3159.63 15         0.0            0.0            0.0            0.0       
      3239.91 12         0.0            0.0            0.0            0.0       
        3384.9 3         0.0            0.0            0.0            0.0       
      6582.11 23         0.0            0.0            0.0            0.0       
 *****************************************************************************
                       TOTAL BETA INTENSITY =          0.78 5         0.78 6    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =   3.6415                          
