  70GA    69GA(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        100.0 6         0.0            0.0            0.0       
       508.75 24      42.657 24           44         1.593 24       1.593 24    
       651.09 18        9.50 24           9.           0.0            0.0       
       691.22 19        30.68 6           28          -2.36 6        -2.36 6    
         878.7 3         0.0              18             18             18      
        901.8 20         0.0              7.             7.             7.      
         995.3 6         0.74 6           1.           0.55 6         0.55 6    
        1009.6 4         0.0              11             11             11      
       1015.7 14       0.094 18         0.0         -0.094 18      -0.094 18    
        1024.9 3        44.61 6           4.         -40.42 6       -40.42 6    
        1140.1 4         10.0 4           4.           -5.6 4         -5.6 4    
        1204.3 7         3.04 3           31          27.46 3        27.46 3    
       1253.7 14         0.32 5         0.0           -0.32 5        -0.32 5    
        1263.5 6           4.             1.            -2.            -2.      
        1307.6 6        1.12 18         0.94         -0.18 18       -0.18 18    
       1312.7 14         0.56 9           1.           1.21 9         1.21 9    
        1360.1 7         1.67 6           4.           2.93 6         2.93 6    
        1414.8 9         0.32 5         0.35           0.03 5         0.03 5    
        1449.0 5         0.40 6           2.           1.72 6         1.72 6    
        1457.5 8         0.48 8           1.           0.94 8         0.94 8    
        1519.1 8        0.76 11           1.          0.96 11        0.96 11    
        1533.3 4         0.58 8           53          52.10 8        52.10 8    
        1555.7 8         0.58 8           1.           1.24 8         1.24 8    
        1623.7 7       0.106 18         0.0         -0.106 18      -0.106 18    
        1634.7 7       0.124 18         0.0         -0.124 18      -0.124 18    
        1692.2 8         0.17 3           2.           2.31 3         2.31 3    
        1721.5 9         0.18 3           1.           1.12 3         1.12 3    
        1726.9 9         0.50 8         0.89           0.39 8         0.39 8    
        1736.7 7         0.14 3         0.0           -0.14 3        -0.14 3    
        1794.9 9         0.28 5         0.47           0.19 5         0.19 5    
        1824.7 9         0.39 6         0.71           0.32 6         0.32 6    
       1847.7 14        1.24 18         0.0          -1.24 18       -1.24 18    
       1866.7 17       0.077 18         0.65         0.572 18       0.572 18    
       1907.3 17        0.80 12         0.77           0.0            0.0       
       1931.0 17         0.46 8         0.53           0.07 8         0.07 8    
       1938.7 14       0.112 18         0.0         -0.112 18      -0.112 18    
        1971.7 7         0.28 5         0.0           -0.28 5        -0.28 5    
        1985.7 7         0.34 6         0.0           -0.34 6        -0.34 6    
       2017.7 14         0.34 6         0.0           -0.34 6        -0.34 6    
       2027.7 14        0.97 15         0.0          -0.97 15       -0.97 15    
        2075.7 7         0.41 7         0.0           -0.41 7        -0.41 7    
       2115.9 17        0.73 11         0.83          0.09 11        0.09 11    
       2127.7 21        0.059           0.0          -0.059         -0.059      
       2143.3 17         0.44 7         0.77           0.33 7         0.33 7    
       2165.2 10          1.8 3         0.35           -1.4 3         -1.4 3    
       2190.7 14       0.077 18         0.0         -0.077 18      -0.077 18    
       2214.7 14         0.18 3         0.0           -0.18 3        -0.18 3    
       2234.7 14       0.059 18         0.0         -0.059 18      -0.059 18    
       2255.7 14         0.21 4         0.0           -0.21 4        -0.21 4    
        2320.7 7         0.47 8         0.0           -0.47 8        -0.47 8    
        2352.7 7         0.28 5         0.0           -0.28 5        -0.28 5    
        2389.7 7       0.094 18         0.0         -0.094 18      -0.094 18    
       2410.4 10       0.106 18         0.18         0.071 18       0.071 18    
        2431.7 7         0.32 6         0.0           -0.32 6        -0.32 6    
       2465.3 10         0.48 8         0.35          -0.13 8        -0.13 8    
        2478.7 7         0.34 6         0.0           -0.34 6        -0.34 6    
        2521.7 7        0.74 11         0.0          -0.74 11       -0.74 11    
       2549.7 14         0.23 5         0.0           -0.23 5        -0.23 5    
        2572.7 7        0.76 11         0.0          -0.76 11       -0.76 11    
       2625.7 14       0.106 18         0.0         -0.106 18      -0.106 18    
        2655.7 7        0.67 11         0.0          -0.67 11       -0.67 11    
       2698.6 17        1.30 18         0.24         -1.06 18       -1.06 18    
      7654.65 23         0.0            30.3           30.3 *         30.3 *    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         100.0 *        100.0 *    
             TOTAL UNPLACED GAMMA INTENSITY =         80.2 10                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
