  72GA    71GA(N,G), (POL N,G) E=THERMAL1970LI04,1971VE03                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.1 12         0.0            0.0            0.0       
         16.43 3           77 4           79              2 4            2 4    
        119.65 4         10.3 6        10.3 10         0.0            0.0       
        128.81 4          4.0 4         10.5           6.5 11         6.5 11    
        161.52 4         11.9 4           32 3           20 3           20 3    
        197.94 3         10.1 8         11.0 9         0.9 12         0.9 12    
        208.46 4          9.4 7        17.0 13         7.5 15         7.5 15    
        228.86 4        2.31 25          7.4 6          5.1 6          5.1 6    
        248.94 3          3.4 4          7.3 8          3.9 8          3.9 8    
        282.57 4        2.19 24          5.9 4          3.7 5          3.7 5    
        330.05 8          2.8 3          3.2 4          0.4 5          0.4 5    
        392.53 4        1.18 19         14.4           13.2 *         13.2 *    
        408.16 8          2.9 4          2.6 3         -0.3 6         -0.3 6    
        512.96 4          3.1 4          5.6 5          2.5 6          2.5 6    
       514.73 10         0.0           1.24 19        1.24 19        1.24 19    
        564.34 6         0.19 3          3.9 4          3.7 4          3.7 4    
        600.76 6        0.78 12        1.74 23          1.0 3          1.0 3    
        619.64 5        0.95 14          4.2 4          3.3 4          3.3 4    
       636.04 11       0.554 19        1.40 20        0.85 20        0.85 20    
        650.34 6       0.149 25        1.00 19        0.85 19        0.85 19    
        737.75 5         0.0           1.24 19        1.24 19        1.24 19    
        741.32 9        1.31 19          2.1 3          0.7 3          0.7 3    
        798.9 14        1.18 19         0.0          -1.18 19       -1.18 19    
         828.8 8        1.18 19         0.0          -1.18 19       -1.18 19    
         856.8 8         0.60 9         0.0           -0.60 9        -0.60 9    
         869.8 8        0.83 12         0.0          -0.83 12       -0.83 12    
        876.8 15         0.38 6         0.0           -0.38 6        -0.38 6    
        893.9 14       0.037 12         0.0         -0.037 12      -0.037 12    
         918.8 8          3.5 5         0.0            -3.5 5         -3.5 5    
        944.8 15        0.062           0.0          -0.062         -0.062      
        978.8 15         0.55 8         0.0           -0.55 8        -0.55 8    
       1002.8 15        0.062           0.0          -0.062         -0.062      
       1021.8 15       0.137 25         0.0         -0.137 25      -0.137 25    
       1032.8 15         0.52 8         0.0           -0.52 8        -0.52 8    
       1050.8 15         0.17 3         0.0           -0.17 3        -0.17 3    
       1059.9 14         0.24 6         0.0           -0.24 6        -0.24 6    
       1076.9 14       0.093 19         0.0         -0.093 19      -0.093 19    
       1115.8 15         0.19 3         0.0           -0.19 3        -0.19 3    
       1129.8 15       0.149 25         0.0         -0.149 25      -0.149 25    
       1149.8 15       0.137 25         0.0         -0.137 25      -0.137 25    
        1180.8 8          2.2 3         0.0            -2.2 3         -2.2 3    
        1186.8 8        1.18 19         0.0          -1.18 19       -1.18 19    
       1200.8 15       0.112 19         0.0         -0.112 19      -0.112 19    
       1205.9 14       0.087 19         0.0         -0.087 19      -0.087 19    
       1216.9 14       0.068 12         0.0         -0.068 12      -0.068 12    
       1237.9 14       0.075 12         0.0         -0.075 12      -0.075 12    
       1248.9 14       0.143 25         0.0         -0.143 25      -0.143 25    
        1262.8 8         0.26 4         0.0           -0.26 4        -0.26 4    
        1285.9 8          2.1 3         0.0            -2.1 3         -2.1 3    
        1296.9 8        0.93 12         0.0          -0.93 12       -0.93 12    
        1323.9 8          2.2 3         0.0            -2.2 3         -2.2 3    
        1359.9 8        0.83 13         0.0          -0.83 13       -0.83 13    
       1395.9 15         0.19 4         0.0           -0.19 4        -0.19 4    
       1427.9 21         0.42 6         0.0           -0.42 6        -0.42 6    
       1441.9 15       0.137 25         0.0         -0.137 25      -0.137 25    
        1465.9 8         0.55 9         0.0           -0.55 9        -0.55 9    
       1472.9 14       0.156 25         0.0         -0.156 25      -0.156 25    
       1489.0 14       0.100 19         0.0         -0.100 19      -0.100 19    
       1504.9 15         0.21 4         0.0           -0.21 4        -0.21 4    
       1515.9 15       0.149 25         0.0         -0.149 25      -0.149 25    
       1532.9 15       0.137 25         0.0         -0.137 25      -0.137 25    
       1612.9 15       0.056 12         0.0         -0.056 12      -0.056 12    
        1629.9 8        1.18 19         0.0          -1.18 19       -1.18 19    
        1652.9 8        1.18 19         0.0          -1.18 19       -1.18 19    
        1680.9 8          2.4 4         0.0            -2.4 4         -2.4 4    
       1713.9 15         0.18 3         0.0           -0.18 3        -0.18 3    
        1727.9 8        1.18 19         0.0          -1.18 19       -1.18 19    
       1749.9 15       0.100 12         0.0         -0.100 12      -0.100 12    
        1758.9 8         0.52 8         0.0           -0.52 8        -0.52 8    
       1777.0 14       0.037 12         0.0         -0.037 12      -0.037 12    
       1790.9 15       0.124 19         0.0         -0.124 19      -0.124 19    
       1801.9 15         0.26 5         0.0           -0.26 5        -0.26 5    
       1815.9 15         0.23 4         0.0           -0.23 4        -0.23 4    
       1833.9 15         0.40 8         0.0           -0.40 8        -0.40 8    
       1841.9 15         0.20 4         0.0           -0.20 4        -0.20 4    
       1855.9 15         0.21 4         0.0           -0.21 4        -0.21 4    
       1869.9 15         0.21 4         0.0           -0.21 4        -0.21 4    
       1881.9 15       0.075 12         0.0         -0.075 12      -0.075 12    
       1897.9 15         0.24 4         0.0           -0.24 4        -0.24 4    
       1913.0 21       0.037 12         0.0         -0.037 12      -0.037 12    
       1917.9 15         0.12 3         0.0           -0.12 3        -0.12 3    
       1924.9 15         0.16 4         0.0           -0.16 4        -0.16 4    
        1941.9 8         0.34 6         0.0           -0.34 6        -0.34 6    
        1976.9 8        0.63 10         0.0          -0.63 10       -0.63 10    
       2007.0 10         0.0            0.0            0.0            0.0       
       2018.0 10         0.0            0.0            0.0            0.0       
       2024.0 10         0.0            0.0            0.0            0.0       
       2043.0 10         0.0            0.0            0.0            0.0       
       2056.0 21         0.19           0.0           -0.19          -0.19      
       2073.0 21         0.19           0.0           -0.19          -0.19      
      6520.07 20         0.0           54.1 13        54.1 13        54.1 13    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 4          100 4    
             TOTAL UNPLACED GAMMA INTENSITY =           130 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
