  72GA    71GA(N,G), (POL N,G) E=THERMAL1970LI04,1971VE03                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        4.29 17         0.0            0.0            0.0       
       16.393 24       3.001 25        3.07 17         0.0            0.0       
        119.64 4         0.61 3        0.429 9        -0.18 3        -0.18 3    
        128.76 4        0.167 4        0.425 8        0.258 9        0.258 9    
        161.53 4       0.603 18       1.215 18         0.61 3         0.61 3    
        197.94 5       0.476 10       0.435 10      -0.041 14      -0.041 14    
        208.50 4       0.460 12       0.690 15       0.230 19       0.230 19    
        228.98 4        0.122 3        0.241 4        0.119 5        0.119 5    
        248.89 4       0.184 11       0.341 20       0.157 23       0.157 23    
        282.54 4        0.079 5       0.259 13       0.179 14       0.179 14    
       330.01 11       0.127 14       0.133 19         0.0            0.0       
        392.59 4        0.057 6        0.586 8       0.529 10       0.529 10    
       408.44 20       0.138 10        0.160 6       0.023 12       0.023 12    
        512.92 4       0.173 13        0.410 6       0.237 14       0.237 14    
       514.61 14         0.0          0.046 10       0.046 10       0.046 10    
        564.30 5      0.0080 18       0.179 13       0.171 13       0.171 13    
        600.79 6        0.033 3        0.103 4        0.070 5        0.070 5    
        619.63 5        0.043 4        0.268 5        0.224 6        0.224 6    
       636.63 15      0.0241 10        0.046 4        0.022 4        0.022 4    
        650.34 5      0.0065 15      0.0569 20      0.0504 25      0.0504 25    
        737.71 5         0.0          0.053 10       0.053 10       0.053 10    
       741.08 12       0.055 10       0.093 13       0.038 16       0.038 16    
        799.1 13       0.050 10         0.0         -0.050 10      -0.050 10    
         828.0 3        0.053 3         0.0          -0.053 3       -0.053 3    
         856.2 5        0.025 3        0.009 4       -0.016 5       -0.016 5    
         868.9 4        0.034 5         0.0          -0.034 5       -0.034 5    
         875.4 7        0.016 5      0.0050 25       -0.011 6       -0.011 6    
       894.85 20        0.019 4      0.0278 23        0.009 5        0.009 5    
         918.5 3       0.158 10      0.0070 20      -0.151 10      -0.151 10    
         943.3 6        0.015 5      0.0035 20       -0.011 5       -0.011 5    
       976.38 13        0.036 4      0.0253 20       -0.010 5       -0.010 5    
      1002.72 25      0.0028 10      0.0183 20      0.0155 22      0.0155 22    
        1022.6 5        0.023 3         0.0          -0.023 3       -0.023 3    
       1033.0 13        0.023 6         0.0          -0.023 6       -0.023 6    
      1051.25 17      0.0073 23      0.0286 25        0.021 3        0.021 3    
        1060.4 5        0.010 4      0.0068 20       -0.004 4       -0.004 4    
        1075.6 5      0.0040 13      0.0133 20      0.0093 24      0.0093 24    
       1116.0 13      0.0083 23         0.0        -0.0083 23     -0.0083 23    
        1130.0 5      0.0123 25         0.0        -0.0123 25     -0.0123 25    
       1150.0 13      0.0058 13         0.0        -0.0058 13     -0.0058 13    
        1179.8 3        0.102 5         0.0          -0.102 5       -0.102 5    
        1185.3 5       0.050 18      0.0065 23      -0.044 18      -0.044 18    
        1200.4 3      0.0048 18      0.0196 23        0.015 3        0.015 3    
        1206.9 8      0.0123 25         0.0        -0.0123 25     -0.0123 25    
        1217.5 9      0.0030 10        0.019 5        0.016 5        0.016 5    
       1238.1 13      0.0033 10         0.0        -0.0033 10     -0.0033 10    
        1247.6 6        0.014 4      0.0098 20       -0.005 4       -0.005 4    
        1263.0 7      0.0110 18         0.0        -0.0110 18     -0.0110 18    
        1286.7 3        0.086 5         0.0          -0.086 5       -0.086 5    
        1296.9 7        0.039 3      0.0163 23       -0.023 4       -0.023 4    
        1325.2 5        0.085 8         0.0          -0.085 8       -0.085 8    
      1359.55 17        0.039 3        0.037 3        -0.0           -0.0       
        1396.0 8      0.0083 20        0.006 3       -0.002 4       -0.002 4    
        1428.4 9      0.0175 23         0.0        -0.0175 23     -0.0175 23    
       1442.1 13      0.0058 13         0.0        -0.0058 13     -0.0058 13    
        1466.2 5        0.024 3         0.0          -0.024 3       -0.024 3    
       1473.1 13      0.0068 18         0.0        -0.0068 18     -0.0068 18    
       1489.1 13      0.0043 13         0.0        -0.0043 13     -0.0043 13    
        1505.1 8      0.0093 18         0.0        -0.0093 18     -0.0093 18    
       1516.1 13      0.0065 23         0.0        -0.0065 23     -0.0065 23    
      1532.93 17      0.0058 20        0.043 3        0.037 4        0.037 4    
       1612.3 10      0.0080 20         0.0        -0.0080 20     -0.0080 20    
        1629.8 3        0.048 4         0.0          -0.048 4       -0.048 4    
        1652.1 4        0.047 4         0.0          -0.047 4       -0.047 4    
        1680.4 3        0.100 8         0.0          -0.100 8       -0.100 8    
        1713.2 7      0.0090 13         0.0        -0.0090 13     -0.0090 13    
        1727.6 3        0.052 4         0.0          -0.052 4       -0.052 4    
       1750.1 13       0.0043 8         0.0         -0.0043 8      -0.0043 8    
        1758.7 4      0.0196 23         0.0        -0.0196 23     -0.0196 23    
       1777.1 13       0.0015 8         0.0         -0.0015 8      -0.0015 8    
       1791.1 13      0.0053 13         0.0        -0.0053 13     -0.0053 13    
        1801.1 9      0.0130 20         0.0        -0.0130 20     -0.0130 20    
        1816.2 7      0.0115 15         0.0        -0.0115 15     -0.0115 15    
        1833.5 5      0.0165 23      0.0055 25       -0.011 3       -0.011 3    
       1842.1 13      0.0085 23         0.0        -0.0085 23     -0.0085 23    
        1855.6 8      0.0090 15         0.0        -0.0090 15     -0.0090 15    
        1871.0 7      0.0098 15         0.0        -0.0098 15     -0.0098 15    
        1881.6 8       0.0032 6         0.0         -0.0032 6      -0.0032 6    
        1899.3 7      0.0110 18         0.0        -0.0110 18     -0.0110 18    
        1913.8 6       0.0015 8      0.0063 23      0.0048 24      0.0048 24    
       1918.1 13      0.0053 20         0.0        -0.0053 20     -0.0053 20    
        1924.9 5        0.023 3         0.0          -0.023 3       -0.023 3    
        1942.1 7        0.015 3         0.0          -0.015 3       -0.015 3    
        1977.0 5        0.026 3         0.0          -0.026 3       -0.026 3    
       2007.0 19         0.0            0.0            0.0            0.0       
       2018.0 19         0.0            0.0            0.0            0.0       
       2024.0 19         0.0            0.0            0.0            0.0       
       2043.0 19         0.0            0.0            0.0            0.0       
       2054.3 10      0.0103 20         0.0        -0.0103 20     -0.0103 20    
       2073.1 19        0.008 3         0.0          -0.008 3       -0.008 3    
      6520.44 14         0.0            2.61 4         2.61 4         2.61 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         4.29 18        4.29 18    
             TOTAL UNPLACED GAMMA INTENSITY =           130 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0239                          
