  72GA    71GA(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        4.25 17         0.0            0.0            0.0       
       16.365 18         3.06 3        3.06 17         0.0            0.0       
      119.625 25        0.512 8       0.512 11         0.0            0.0       
        128.72 3        0.160 4        0.422 8        0.263 9        0.263 9    
      161.518 25       0.574 15       1.211 18       0.636 24       0.636 24    
      197.796 21        0.484 8       0.426 12      -0.058 14      -0.058 14    
      208.484 22        0.425 8        0.649 9       0.223 12       0.223 12    
      228.978 22        0.120 3        0.243 4        0.123 5        0.123 5    
      248.774 23        0.140 4       0.351 25       0.211 25       0.211 25    
        282.55 3        0.060 3        0.235 4        0.175 6        0.175 6    
        330.04 3        0.079 5        0.086 4        0.008 6        0.008 6    
      392.560 25        0.060 8        0.605 8       0.544 11       0.544 11    
        408.64 3       0.140 10        0.168 8       0.027 13       0.027 13    
        512.85 3       0.175 13        0.410 6       0.235 14       0.235 14    
       514.10 11         0.0         0.0158 25      0.0158 25      0.0158 25    
      564.396 24         0.0           0.139 4        0.139 4        0.139 4    
        600.63 4        0.033 4        0.093 3        0.060 5        0.060 5    
        619.57 3        0.044 4        0.255 4        0.211 6        0.211 6    
        636.72 7        0.034 4        0.037 3        0.003 5        0.003 5    
        650.35 7         0.0         0.0572 20      0.0572 20      0.0572 20    
        737.90 9         0.0         0.0241 23      0.0241 23      0.0241 23    
        740.86 7        0.027 3        0.044 3        0.017 5        0.017 5    
        798.9 14         0.0            0.0            0.0            0.0       
       828.18 16        0.053 4         0.0          -0.053 4       -0.053 4    
       855.77 24        0.024 4        0.009 4       -0.015 5       -0.015 5    
       868.78 24        0.026 5        0.018 4       -0.008 6       -0.008 6    
         875.0 4         0.0         0.0050 25      0.0050 25      0.0050 25    
       894.82 10        0.019 4      0.0278 23        0.009 5        0.009 5    
       918.65 15       0.158 10      0.0070 20      -0.151 10      -0.151 10    
         943.1 3        0.015 4      0.0035 20       -0.011 4       -0.011 4    
        976.45 7        0.036 5      0.0253 20       -0.011 5       -0.011 5    
      1002.71 13         0.0         0.0183 20      0.0183 20      0.0183 20    
        1023.0 3        0.023 3         0.0          -0.023 3       -0.023 3    
       1032.8 15         0.0            0.0            0.0            0.0       
       1051.26 9         0.0         0.0286 25      0.0286 25      0.0286 25    
        1060.4 3         0.0         0.0068 20      0.0068 20      0.0068 20    
      1075.47 25         0.0         0.0133 20      0.0133 20      0.0133 20    
       1115.8 15         0.0            0.0            0.0            0.0       
        1130.3 3      0.0125 20         0.0        -0.0125 20     -0.0125 20    
       1149.8 15         0.0            0.0            0.0            0.0       
      1179.97 15        0.103 6         0.0          -0.103 6       -0.103 6    
        1185.0 3         0.0         0.0065 23      0.0065 23      0.0065 23    
      1200.33 15         0.0         0.0196 23      0.0196 23      0.0196 23    
        1207.5 5      0.0123 25         0.0        -0.0123 25     -0.0123 25    
        1217.8 6         0.0           0.019 5        0.019 5        0.019 5    
       1237.9 14         0.0            0.0            0.0            0.0       
      1247.75 18        0.015 3      0.0098 20       -0.005 3       -0.005 3    
