  71GE    70GE(N,G) E=TH                1991IS01,1972GR34,1972WE10               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           92 5         0.0            0.0            0.0       
        174.88 4         17.6 6           22 4            4 4            4 4    
        198.34 6         10.8 4         10.8 4         0.0            0.0       
        499.92 4         13.8 5         21.1 7          7.3 9          7.3 9    
       524.83 11        3.52 16          8.7 4          5.2 4          5.2 4    
       589.65 10        2.50 22        3.20 20          0.7 3          0.7 3    
        708.19 4        5.07 23         10.2 5          5.1 6          5.1 6    
        747.09 7        1.30 10          5.1 5          3.8 5          3.8 5    
        808.19 8        1.30 10        3.10 14        1.80 17        1.80 17    
        831.29 4        2.50 21          9.2 6          6.7 6          6.7 6    
      1026.32 16         0.0             2.8 3          2.8 3          2.8 3    
       1095.65 5        3.26 13          9.2 4          5.9 4          5.9 4    
       1139.41 5        2.62 14          7.5 4          4.9 4          4.9 4    
      1205.06 14         0.0           1.40 20        1.40 20        1.40 20    
      1288.46 14         0.0           1.97 14        1.97 14        1.97 14    
       1298.80 5        5.30 23        7.11 23          1.8 3          1.8 3    
      1348.90 17        1.30 20        1.79 22          0.5 3          0.5 3    
       1378.61 6          7.1 3        3.95 17         -3.1 4         -3.1 4    
        1416.0 3         0.0           1.82 14        1.82 14        1.82 14    
        1476.1 4         0.0           1.10 10        1.10 10        1.10 10    
      1542.42 18       0.360 20        1.10 10        0.74 10        0.74 10    
        1558.5 3         0.0            0.62 8         0.62 8         0.62 8    
       1598.57 5        3.49 15        0.50 12       -2.99 19       -2.99 19    
        1631.2 3         0.0           3.60 14        3.60 14        3.60 14    
      1743.35 19         0.45 5        1.72 23        1.27 24        1.27 24    
      1793.67 19         0.0           1.51 22        1.51 22        1.51 22    
      1835.81 12         0.0            0.66 8         0.66 8         0.66 8    
      1940.42 11         0.0           1.53 14        1.53 14        1.53 14    
       1965.03 5        3.50 16         0.0          -3.50 16       -3.50 16    
       2031.86 7         1.62 7         0.0           -1.62 7        -1.62 7    
       2146.15 3         0.98 5         0.0           -0.98 5        -0.98 5    
       2224.56 8         0.71 5         0.0           -0.71 5        -0.71 5    
       2256.96 8         0.87 7         0.0           -0.87 7        -0.87 7    
        2352.3 7         1.04 5         0.0           -1.04 5        -1.04 5    
        2427.7 7         0.23 3         0.0           -0.23 3        -0.23 3    
        2435.2 7         0.60           0.0           -0.60          -0.60      
        2464.6 7         0.41 8         0.0           -0.41 8        -0.41 8    
      2515.31 24         0.32 3         0.0           -0.32 3        -0.32 3    
       2533.97 4        2.09 13         0.0          -2.09 13       -2.09 13    
     7415.967 23         0.0            43.8 6         43.8 6         43.8 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            92 5           92 5    
             TOTAL UNPLACED GAMMA INTENSITY =          64.4 7                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
