  71GE    70GE(N,G) E=TH                1991IS01,1972GR34,1972WE10               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         3.69 7         0.0            0.0            0.0       
        174.86 4         0.68 6       0.862 21         0.18 6         0.18 6    
        198.29 4       0.401 25         0.40 3         0.0            0.0       
        499.87 3         0.62 4         0.78 3         0.16 5         0.16 5    
        525.12 4        0.148 7       0.312 24       0.165 25         0.16 3    
        589.72 5         0.10 3        0.122 5         0.02 3         0.02 3    
        708.15 3       0.215 12       0.413 12       0.197 17       0.197 19    
        747.14 5        0.056 5       0.188 20       0.132 20       0.132 21    
        808.15 4       0.050 10       0.194 24         0.14 3         0.14 3    
        831.30 3        0.108 7        0.340 9       0.231 12       0.231 16    
      1026.57 13         0.0            0.12 3         0.12 3         0.12 4    
       1095.43 5       0.126 13         0.30 4         0.18 4         0.18 4    
       1139.28 6       0.103 10       0.246 12       0.143 16       0.143 17    
       1205.10 9         0.0           0.059 5        0.059 5        0.059 6    
       1288.47 8         0.0          0.096 15       0.096 15       0.096 15    
       1298.62 6         0.21 3       0.272 20         0.06 4         0.06 4    
       1349.08 8        0.051 8        0.084 7       0.033 11       0.033 11    
       1378.75 6       0.294 15       0.152 23        -0.14 3        -0.14 3    
      1416.16 15         0.0          0.072 24       0.072 24       0.072 25    
      1475.80 22         0.0            0.04 3         0.04 3         0.04 3    
      1542.48 11      0.0142 11        0.044 4        0.030 5        0.030 5    
        1558.7 3         0.0           0.025 3        0.025 3        0.025 4    
       1598.50 4       0.135 14        0.117 7      -0.017 16      -0.017 16    
        1631.1 3         0.0           0.142 8        0.142 8       0.142 10    
      1743.45 13      0.0178 24       0.066 13       0.049 13       0.049 13    
      1793.87 14         0.0           0.060 9        0.060 9        0.060 9    
      1835.99 10         0.0           0.043 4        0.043 4        0.043 4    
       1940.59 8         0.0           0.060 5        0.060 5        0.060 6    
       1965.01 5       0.135 19        0.054 5      -0.081 20      -0.081 20    
       2031.85 7        0.063 7        0.037 5       -0.026 9       -0.026 9    
       2146.14 3        0.038 8         0.0          -0.038 8       -0.038 8    
       2224.53 9       0.029 14        0.016 5      -0.013 15      -0.013 15    
       2256.95 9        0.034 3        0.024 5       -0.010 6       -0.010 6    
        2351.6 3        0.041 3        0.051 6        0.010 7        0.010 7    
        2427.7 6      0.0091 14         0.0        -0.0091 14     -0.0091 14    
        2435.2 6        0.024 5         0.0          -0.024 5       -0.024 5    
        2464.6 6        0.016 3         0.0          -0.016 3       -0.016 3    
      2515.29 21      0.0125 14         0.0        -0.0125 14     -0.0125 14    
       2533.96 4       0.082 14         0.0         -0.082 14      -0.082 14    
     7415.925 23         0.0            1.71 6         1.71 6        1.71 10    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         3.69 12        3.69 20    
             TOTAL UNPLACED GAMMA INTENSITY =           310 3                   
              NORMALIZATION UNCERTAINTY (%) =   4.3659                          
