  73GE    72GE(N,G) E=THERMAL           1972GR34,1972HA74,1972WE10               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           94           0.0            0.0            0.0       
         13.27 4         83.8 7           84           0.0            0.0       
         66.74 6        55.5 15           52          -3.6 15        -3.6 15    
       68.745 18         14.9 6           15           0.0            0.0       
       353.51 20           3.            6.0 3          2.6 3          2.6 3    
        364.00 9         16.7 8         16.5 7         0.0            0.0       
       392.49 10        29.7 21        31.7 11         2.0 24         2.0 24    
       498.93 20         0.0            11.8 5         11.8 5         11.8 5    
       501.41 12          5.4 5          5.6 7         0.0            0.0       
       554.88 12          5.6 5          5.4 7         0.0            0.0       
       597.61 21         0.0             3.7 3          3.7 3          3.7 3    
       915.49 24          1.7 5           3.            1.7 5          1.7 5    
       931.71 11        4.93 25          5.4 5          0.4 5          0.4 5    
      1042.53 10       10.75 13         3.6 20        -7.2 20        -7.2 20    
      1131.89 12        9.23 25          4.6 7         -4.6 7         -4.6 7    
      1264.43 10         20.9 4           15           -5.5 4         -5.5 4    
        1339.7 3         0.0             4.6 8          4.6 8          4.6 8    
       1386.9 11         0.47           0.0           -0.47          -0.47      
       1544.6 11         0.71           0.0           -0.71          -0.71      
        1892.1 4          1.4 4         0.0            -1.4 4         -1.4 4    
       2132.1 11         0.87           0.0           -0.87          -0.87      
       2188.8 11         0.89           0.0           -0.89          -0.89      
       2210.6 11         0.58           0.0           -0.58          -0.58      
       2290.9 11         0.78           0.0           -0.78          -0.78      
       2401.7 11         0.74           0.0           -0.74          -0.74      
       2419.4 11           1.           0.0             -1.            -1.      
       2483.5 11         0.65           0.0           -0.65          -0.65      
       2564.9 11           1.           0.0             -1.            -1.      
       2706.3 11           2.           0.0             -2.            -2.      
       2720.6 11           1.           0.0             -1.            -1.      
       2774.9 11           1.           0.0             -1.            -1.      
       2884.5 11           1.           0.0             -1.            -1.      
       2930.5 11         0.74           0.0           -0.74          -0.74      
       6782.95 9         0.0          105.9 10       105.9 10       105.9 10    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            94 3           94 3    
             TOTAL UNPLACED GAMMA INTENSITY =           191 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
