  73GE    72GE(N,G) E=THERMAL           1972GR34,1972HA74,1972WE10               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         0.77 8         0.0            0.0            0.0       
         13.28 3         0.67 6         0.67 8         0.0            0.0       
         66.78 5       0.500 11         0.46 4        -0.04 4        -0.04 4    
       68.750 17        0.105 3         0.12 3         0.02 3         0.02 3    
        353.73 5         0.0         0.0595 25      0.0595 25      0.0595 25    
        364.19 5        0.124 7        0.150 4        0.027 8        0.027 8    
        392.53 6        0.165 7        0.245 7       0.080 10       0.080 10    
        501.61 5      0.0585 25      0.0454 22       -0.013 3       -0.013 3    
        555.05 5        0.028 4        0.089 3        0.061 5        0.061 5    
        597.92 9         0.0           0.033 5        0.033 5        0.033 5    
       915.62 19        0.012 5         0.0          -0.012 5       -0.012 5    
        931.95 6        0.023 4      0.0585 25        0.036 4        0.036 4    
      1042.81 11        0.055 5        0.035 3       -0.020 6       -0.020 6    
       1132.08 8        0.042 4        0.050 4        0.008 6        0.008 6    
       1264.59 7        0.105 6         0.12 3         0.0            0.0       
      1339.97 11         0.0           0.038 4        0.038 4        0.038 4    
        1386.9 9      0.0036 11         0.0        -0.0036 11     -0.0036 11    
        1544.6 9      0.0054 15         0.0        -0.0054 15     -0.0054 15    
        1892.2 3        0.010 4         0.0          -0.010 4       -0.010 4    
        2132.2 9      0.0065 18         0.0        -0.0065 18     -0.0065 18    
        2188.9 9      0.0065 18         0.0        -0.0065 18     -0.0065 18    
        2209.4 6      0.0076 25         0.0        -0.0076 25     -0.0076 25    
       2291.0 12      0.0058 18         0.0        -0.0058 18     -0.0058 18    
       2401.8 12      0.0054 15         0.0        -0.0054 15     -0.0054 15    
       2419.5 12      0.0076 22         0.0        -0.0076 22     -0.0076 22    
       2481.3 10      0.0047 15         0.0        -0.0047 15     -0.0047 15    
       2565.0 11        0.014 4         0.0          -0.014 4       -0.014 4    
        2705.0 4        0.018 3         0.0          -0.018 3       -0.018 3    
        2718.0 4        0.017 3         0.0          -0.017 3       -0.017 3    
       2775.0 12      0.0087 25         0.0        -0.0087 25     -0.0087 25    
        2883.5 5        0.015 4         0.0          -0.015 4       -0.015 4    
       2930.6 12      0.0054 15         0.0        -0.0054 15     -0.0054 15    
       6783.12 6         0.0          0.620 19       0.620 19       0.620 19    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.77 10        0.77 10    
             TOTAL UNPLACED GAMMA INTENSITY =           311 5                   
              NORMALIZATION UNCERTAINTY (%) =    .1102                          
