  71GE    70GE(N,G) E=TH                1991IS01,1972GR34,1972WE10               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        3.58 16         0.0            0.0            0.0       
        175.1 19         0.24 3        0.77 15        0.53 16        0.53 16    
           199 5       0.385 15         0.0         -0.385 15      -0.385 15    
        499.8 15         0.64 6       0.744 19         0.10 6         0.10 6    
           525 4        0.169 8       0.300 14       0.131 16       0.131 16    
           590 6        0.096 6        0.116 4        0.021 7        0.021 7    
        708.2 18       0.275 12       0.396 11       0.121 16       0.121 16    
           747 3        0.046 4        0.175 8        0.129 8        0.129 8    
           808 3        0.099 6         0.19 3         0.09 3         0.09 3    
        831.4 17       0.089 10        0.329 8       0.240 13       0.240 13    
          1026 6         0.0          0.113 24       0.113 24       0.113 24    
       1095.6 21        0.158 7         0.30 3         0.14 3         0.14 3    
       1139.5 24        0.094 9        0.236 8       0.141 12       0.141 12    
          1205 7         0.0           0.047 4        0.047 4        0.047 4    
          1286 5      0.0339 24        0.085 5        0.051 6        0.051 6    
          1298 5       0.228 12         0.30 6         0.08 6         0.08 6    
          1377 6        0.043 4        0.105 8        0.061 9        0.061 9    
          1382 3       0.258 15        0.168 8      -0.090 17      -0.090 17    
         1415 12         0.0           0.090 7        0.090 7        0.090 7    
         1517 11         0.0           0.082 6        0.082 6        0.082 6    
          1543 9       0.0127 8        0.039 4        0.026 4        0.026 4    
          1598 9         0.0           0.099 5        0.099 5        0.099 5    
       1598.4 23       0.122 10        0.063 5      -0.059 11      -0.059 11    
         1638 11         0.0           0.160 7        0.160 7        0.160 7    
          1743 7      0.0160 19        0.106 9        0.090 9        0.090 9    
          1826 8         0.0           0.051 5        0.051 5        0.051 5    
          1842 5         0.0           0.057 4        0.057 4        0.057 4    
          1948 8         0.0           0.085 7        0.085 7        0.085 7    
          1965 3       0.122 14        0.036 5      -0.086 15      -0.086 15    
          2146 4         0.0            0.0            0.0            0.0       
       2146.2 16        0.091 9        0.016 5      -0.075 10      -0.075 10    
          2225 4        0.025 9        0.024 5         0.0            0.0       
          2257 8        0.031 3        0.049 6        0.019 6        0.019 6    
         2362 30      0.0367 19         0.0        -0.0367 19     -0.0367 19    
         2429 30      0.0081 11         0.0        -0.0081 11     -0.0081 11    
         2439 30        0.021 4         0.0          -0.021 4       -0.021 4    
         2492 25        0.015 3         0.0          -0.015 3       -0.015 3    
          2531 5      0.0113 11         0.0        -0.0113 11     -0.0113 11    
       2.5E+05           0.0           0.067 6        0.067 6        0.067 6    
       7416.1 11         0.0            1.55 4         1.55 4         1.55 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         3.58 18        3.58 18    
             TOTAL UNPLACED GAMMA INTENSITY =          64.4 7                   
              NORMALIZATION UNCERTAINTY (%) =    .1911                          
