  73GE    72GE(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       0.516 21         0.0            0.0            0.0       
         13.28 4       0.418 21       0.418 21         0.0            0.0       
         66.69 6       0.482 10       0.354 21      -0.128 23      -0.128 23    
         68.80 3        0.104 3        0.089 3       -0.016 5       -0.016 5    
        353.79 5         0.0         0.0593 25      0.0593 25      0.0593 25    
        364.09 6        0.119 7        0.150 4        0.031 8        0.031 8    
        392.45 6        0.164 7        0.235 7       0.070 10       0.070 10    
       498.81 16         0.0         0.0090 18      0.0090 18      0.0090 18    
        501.69 5      0.0582 25      0.0452 22       -0.013 3       -0.013 3    
        555.02 5        0.028 4        0.089 3        0.060 5        0.060 5    
        597.83 9         0.0         0.0174 14      0.0174 14      0.0174 14    
       915.49 24         0.0            0.0            0.0            0.0       
        932.06 6        0.023 4      0.0582 25        0.035 4        0.035 4    
       1042.88 8        0.055 5        0.035 3       -0.020 6       -0.020 6    
       1132.08 9        0.042 4        0.045 3        0.004 6        0.004 6    
      1264.46 10        0.105 6         0.0          -0.105 6       -0.105 6    
      1339.95 10         0.0           0.038 4        0.038 4        0.038 4    
       1386.9 11         0.0            0.0            0.0            0.0       
       1544.6 11         0.0            0.0            0.0            0.0       
        1892.1 4         0.0            0.0            0.0            0.0       
       2132.1 11         0.0            0.0            0.0            0.0       
       2188.8 11         0.0            0.0            0.0            0.0       
        2209.3 6      0.0076 25         0.0        -0.0076 25     -0.0076 25    
       2290.9 11         0.0            0.0            0.0            0.0       
       2401.7 11         0.0            0.0            0.0            0.0       
       2419.4 11         0.0            0.0            0.0            0.0       
        2480.1 8         0.0           0.010 3        0.010 3        0.010 3    
       2564.9 11         0.0            0.0            0.0            0.0       
        2704.9 4        0.018 3         0.0          -0.018 3       -0.018 3    
        2718.0 3        0.017 3         0.0          -0.017 3       -0.017 3    
       2774.9 11         0.0            0.0            0.0            0.0       
        2883.4 5        0.014 4         0.0          -0.014 4       -0.014 4    
       2930.5 11         0.0            0.0            0.0            0.0       
      6783.05 13         0.0          0.522 16       0.522 16       0.522 16    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          0.52 4         0.52 4    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .1107                          
